Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
09-006,01,01,AGROCAP,20,E,,
09-006,01,01,CALLISTA,0.1,E,,
09-006,01,01,CALTPAL,1,N,,
09-006,01,01,EQUIFLU,1,N,,
09-006,01,01,LITTER,5,,,
09-006,01,01,MUD,60,,,
09-006,01,01,OENCSAR,4,N,,
09-006,01,01,PHALARU,0.1,I,,
09-006,01,01,TYPHLAT,1,N,,
09-006,01,01,WOOD,7,,,
09-006,01,02,AGROCAP,92,E,,
09-006,01,02,ALISTRI,0.1,N,,
09-006,01,02,CALTPAL,4,N,,
09-006,01,02,CARELYN,1,N,,
09-006,01,02,EQUIFLU,0.1,N,,
09-006,01,02,MUD,2,,,
09-006,01,02,OENASAR,1,N,,
09-006,01,02,SCHOTAB,0.1,N,,
09-006,01,03,AGROCAP,30,E,,
09-006,01,03,ALISTRI,0.1,N,,
09-006,01,03,EQUIFLU,1,N,,
09-006,01,03,IMPACAP,0.1,N,,
09-006,01,03,LITTER,20,,,
09-006,01,03,LYCOEUR,1,E,,
09-006,01,03,LYTHSAL,3,I,,
09-006,01,03,MUD,40,,,
09-006,01,03,MYOSSCO,1,E,,
09-006,01,03,PHALARU,1,I,,
09-006,01,03,WOOD,2,,,
09-006,01,05,AGROCAP,0.1,E,,
09-006,01,05,CARELYN,1,N,,
09-006,01,05,EQUIFLU,1,N,,
09-006,01,05,IMPACAP,1,N,,
09-006,01,05,LITTER,70,,,
09-006,01,05,MUD,18,,,
09-006,01,05,SCHOTAB,0.1,N,,
09-006,01,05,TYPHLAT,0.1,N,,
09-006,01,06,EQUIFLU,0.1,N,,
09-006,01,06,IMPACAP,0.1,N,,
09-006,01,06,LITTER,87,,,
09-006,01,06,MUD,3,,,
09-006,01,06,PHALARU,2,I,,
09-006,01,06,TYPHANG,8,I,,
09-006,01,08,ALISTRI,0.1,N,,
09-006,01,08,EQUIFLU,0.1,N,,
09-006,01,08,GLYCSP,0.1,N,,collected
09-006,01,08,IMPACAP,0.1,N,,
09-006,01,08,LITTER,1,,,
09-006,01,08,LYCOEUR,2,E,,
09-006,01,08,LYTHSAL,5,I,,
09-006,01,08,MUD,80,,,
09-006,01,08,PERSSP,0.1,U,,
09-006,01,08,PHALARU,12,I,,
09-006,01,08,SAGILAT,0.1,N,,
09-006,01,09,AGROCAP,0.1,E,,
09-006,01,09,ALISTRI,0.1,N,,
09-006,01,09,EQUIFLU,0.1,N,,
09-006,01,09,LITTER,40,,,
09-006,01,09,LYTHSAL,5,I,,
09-006,01,09,MUD,40,,,
09-006,01,09,MYOSSCO,0.1,E,,
09-006,01,09,PHALARU,5,I,,
09-006,01,09,WOOD,10,,,
09-006,01,10,AGROCAP,0.1,E,,
09-006,01,10,EQUIFLU,0.1,N,,
09-006,01,10,GLYCSP,0.1,N,,collected
09-006,01,10,IMPACAP,0.1,N,,
09-006,01,10,LITTER,60,,,
09-006,01,10,LYTHSAL,1,I,,
09-006,01,10,MUD,34,,,
09-006,01,10,PHALARU,4,I,,
09-006,01,10,RUMESAL,0.1,N,,
09-006,01,10,SAGILAT,0.1,N,,
09-006,01,10,TYPHANG,0.1,I,,
09-006,01,10,TYPHLAT,1,N,,
09-006,01,12,EQUIFLU,0.1,N,,
09-006,01,12,IMPACAP,1,N,,
09-006,01,12,LITTER,83,,,
09-006,01,12,MUD,5,,,
09-006,01,12,PHALARU,3,I,,
09-006,01,12,TYPHGLA,8,I,,
09-006,01,13,AGROCAP,1,E,,
09-006,01,13,EPILCIL,0.1,N,,
09-006,01,13,EQUIFLU,5,N,,
09-006,01,13,GLYCSP,0.1,N,,collected
09-006,01,13,IMPACAP,4,N,,
09-006,01,13,LITTER,5,,,
09-006,01,13,LYCOEUR,1,E,,
09-006,01,13,LYTHSAL,1,I,,
09-006,01,13,MUD,80,,,
09-006,01,13,PERSSP,0.1,U,,
09-006,01,13,SCIRMIC,3,N,,
09-006,01,13,TYPHANG,0.1,I,,
09-006,01,13,TYPHLAT,0.1,N,,
09-006,01,14,AGROCAP,2,E,,
09-006,01,14,ALISTRI,0.1,N,,
09-006,01,14,GALITRI,0.1,N,,
09-006,01,14,GLYCSP,0.1,N,,collected
09-006,01,14,IMPACAP,2,N,,
09-006,01,14,JUNCART,0.1,N,,
09-006,01,14,LITTER,55,,,
09-006,01,14,LYTHSAL,2,I,,
09-006,01,14,MUD,35,,,
09-006,01,14,MYOSSCO,0.1,E,,
09-006,01,14,RUMESAL,0.1,N,,
09-006,01,14,TYPHANG,3,I,,
09-006,01,04,PHALARU,0.1,I,,
09-006,01,04,CARELYN,10,N,,
09-006,01,04,OENASAR,0.1,N,,
09-006,01,04,AGROCAP,2,E,,
09-006,01,04,CALLSTA,0.1,E,,
09-006,01,04,RANUSCE,0.1,N,,
09-006,01,04,MUD,85,,,
09-006,01,04,LITTER,3,,,
09-006,01,07,CALTPAL,8,N,,
09-006,01,07,ALISTRI,0.1,N,,
09-006,01,07,CARELYN,3,N,,
09-006,01,07,OENASAR,1,N,,
09-006,01,07,PHALARU,1,I,,
09-006,01,07,EQUIFLU,0.1,N,,
09-006,01,07,AGROCAP,0.1,E,,
09-006,01,07,LITTER,7,,,
09-006,01,07,MUD,80,,,
09-006,01,11,OENASAR,1,N,,
09-006,01,11,CALTPAL,2,N,,
09-006,01,11,AGROCAP,95,E,,
09-006,01,11,EQUIFLU,1,N,,
09-006,01,11,SIUMSUA,0.1,N,,
09-006,01,11,MUD,1,,,
