SITE_ID,PLOT,COMMUNITY,Scientific,Common,PERCENT_COVER,ORIGIN,MAX_LH
01-008,15,1,Myosotis scorpioides,European forget-me-not ,22,E,
01-008,15,1,Juncus supiniformis ,spreading rush,25,N,45
01-008,15,1,Juncus articulatus,jointed rush,10,N,40
01-008,15,1,Crassula aquatica,pigmyweed,3,N,
01-008,15,1,Myriophyllum ussuriense,Ussurian water-milfoil ,27,N,
01-008,15,1,Ludwigia palustris,water-purslane,7,N,
01-008,15,1,Bidens cernua,nodding beggarticks,0.5,N,
01-008,15,1,Mimulus guttatus,yellow monkey-flower,1,N,
01-008,15,1,Eleocharis palustris,common spike-rush,3,N,
01-008,15,1,Persicaria minor,Asian knotweed,1,E,
01-008,15,1,Galium trifidum,small bedstraw,0.5,N,
01-008,15,1,,ground,5,,
01-008,8,1,Juncus supiniformis ,spreading rush,31,N,54
01-008,8,1,Scirpus cyperinus,wool-grass,45,N,130
01-008,8,1,Phalaris arundinacea,reed canarygrass,2,E,
01-008,8,1,Ludwigia palustris,water-purslane,0.5,N,
01-008,8,1,Elodea canadensis ,Canadian waterweed,4,N,
01-008,8,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
01-008,8,1,Myosotis scorpioides,European forget-me-not ,1,E,
01-008,8,1,Juncus oxymeris,pointed rush,1,T,
01-008,8,1,Juncus effusus,common rush,0.5,N,
01-008,8,1,,ground,14.5,,
01-008,16,1,Juncus articulatus,jointed rush,8,N,44
01-008,16,1,Lycopus sp.,horehound,15,U,
01-008,16,1,Lythrum salicaria,purple loosestrife,8,I,
01-008,16,1,Myosotis scorpioides,European forget-me-not ,25,E,
01-008,16,1,Juncus tenuis,slender rush,4,N,
01-008,16,1,Equisetum fluviatile,swamp horsetail,0.5,N,
01-008,16,1,Juncus effusus,common rush,35,N,115
01-008,16,1,Agrostis capillaris,colonial bentgrass,8,E,
01-008,16,1,Philonotis fontana,spring moss,7,N,
01-008,16,1,Lysimachia terrestris,bog loosestrife,0.5,E,
01-008,16,1,Eleocharis palustris,common spike-rush,2,N,
