SITE_ID,PLOT,COMMUNITY,Scientific,Common,PERCENT_COVER,ORIGIN,MAX_LH
02-003-A,6,1,Equisetum fluviatile,swamp horsetail,0.5,N,
02-003-A,6,1,Lythrum salicaria,purple loosestrife,5,I,
02-003-A,6,1,Mentha aquatica,water mint,3,E,
02-003-A,6,1,Myosotis scorpioides,European forget-me-not,6,E,
02-003-A,6,1,Carex lyngbyei ,Lyngbye's sedge,60,N,95
02-003-A,6,1,Galium trifidum,small bedstraw,7,N,
02-003-A,6,1,Symphyotrichum subspicatum,Douglas' aster,1,N,
02-003-A,6,1,Poa trivalis,rough bluegrass,2,E,
02-003-A,6,1,Lycopus sp.,horehound,3,U,
02-003-A,6,1,Scirpus microcarpus,small-flowered bulrush,3,N,
02-003-A,6,1,Alisma sp.,water-plantain,0.5,U,
02-003-A,1,1,Equisetum fluviatile,swamp horsetail,30,N,
02-003-A,1,1,Myosotis scorpioides,European forget-me-not,3,E,
02-003-A,1,1,Bidens cernua,nodding beggarticks,6,N,
02-003-A,1,1,Alisma sp.,water-plantain,3,U,
02-003-A,1,1,Oenanthe sarmentosa,Pacific water-parsley ,5,N,
02-003-A,1,1,Agrostis stolonifera,creeping bentgrass,3,E,
02-003-A,1,1,Lythrum salicaria,purple loosestrife,2,I,
02-003-A,1,1,,Bare ground at stems,65,,
02-003-A,1,1,,Bare ground from above ,25,,
02-003-A,4,1,Carex lyngbyei ,Lyngbye's sedge,22,N,65
02-003-A,4,1,Lythrum salicaria,purple loosestrife,10,I,
02-003-A,4,1,Mentha aquatica,water mint,17,E,
02-003-A,4,1,Equisetum fluviatile,swamp horsetail,12,N,
02-003-A,4,1,Eleocharis palustris,common spike-rush,0.5,N,
02-003-A,4,1,Mimulus guttatus,yellow monkey-flower,1,N,
02-003-A,4,1,Oenanthe sarmentosa,Pacific water-parsley ,1,N,
02-003-A,4,1,Juncus articulatus,jointed rush,2,N,
02-003-A,4,1,Galium trifidum,small bedstraw,0.5,N,
02-003-A,4,1,Myosotis scorpioides,European forget-me-not,2,E,
02-003-A,4,1,,Bare ground at stems,40,,
02-003-A,4,1,,Bare ground from above ,15,,
02-003-A,9,1,Carex lyngbyei ,Lyngbye's sedge,50,N,128
02-003-A,9,1,Equisetum fluviatile,swamp horsetail,5,N,
02-003-A,9,1,Juncus balticus,Baltic rush,25,N,116
02-003-A,9,1,Mimulus guttatus,yellow monkey-flower,1,N,
02-003-A,9,1,Phalaris arundinacea,reed canarygrass,1,I,
02-003-A,9,1,Epilobium ciliatum ssp. watsonii,purple-leaved willowherb,1,N,
02-003-A,9,1,,Bare ground at stems,55,,
02-003-A,9,1,,Bare ground from above ,15,,
02-003-A,10,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,25,,230
02-003-A,10,1,Lythrum salicaria,purple loosestrife,23,I,
02-003-A,10,1,Equisetum fluviatile,swamp horsetail,23,N,
02-003-A,10,1,Mentha aquatica,water mint,1,E,
02-003-A,10,1,Oenanthe sarmentosa,Pacific water-parsley ,3,N,
02-003-A,10,1,Myosotis scorpioides,European forget-me-not,1,E,
02-003-A,10,1,Agrostis stolonifera,creeping bentgrass,0.5,E,
02-003-A,10,1,Carex lyngbyei ,Lyngbye's sedge,1,N,
02-003-A,10,1,,Bare ground at stems,4,,
02-003-A,10,1,,Bare ground from above ,55,,
02-003-A,7,1,Carex lyngbyei ,Lyngbye's sedge,27,N,82
02-003-A,7,1,Equisetum fluviatile,swamp horsetail,17,N,
02-003-A,7,1,Myosotis scorpioides,European forget-me-not,15,E,
02-003-A,7,1,Juncus oxymeris,pointed rush,1,T,
02-003-A,7,1,Eleocharis palustris,common spike-rush,3,N,
02-003-A,7,1,Poa trivalis,rough bluegrass,7,E,
02-003-A,7,1,Juncus articulatus,jointed rush,3,N,
02-003-A,7,1,,Bare ground at stems,50,,
02-003-A,7,1,,Bare ground from above ,10,,
02-003-A,3,1,Lythrum salicaria,purple loosestrife,15,I,
02-003-A,3,1,Mentha aquatica,water mint,9,E,
02-003-A,3,1,Juncus articulatus,jointed rush,0.5,N,
02-003-A,3,1,Galium trifidum,small bedstraw,17,N,
02-003-A,3,1,Carex lyngbyei ,Lyngbye's sedge,27,N,97
02-003-A,3,1,Lycopus sp.,horehound,5,U,
02-003-A,3,1,Symphyotrichum subspicatum,Douglas' aster,2,N,
02-003-A,3,1,Rosa nutkana,Nootka rose,4,N,
02-003-A,3,1,Potentilla anserina,common silverweed,1,N,
02-003-A,3,1,Myosotis scorpioides,European forget-me-not,1,E,
02-003-A,3,1,Equisetum fluviatile,swamp horsetail,1,N,
02-003-A,3,1,Scirpus microcarpus,small-flowered bulrush,1,N,
02-003-A,3,1,Epilobium ciliatum ssp. watsonii,purple-leaved willowherb,1,N,
02-003-A,3,1,,Bare ground at stems,45,,
02-003-A,3,1,,Bare ground from above ,5,,
02-003-A,5,1,Lythrum salicaria,purple loosestrife,26,I,
02-003-A,5,1,Mentha aquatica,water mint,3,E,
02-003-A,5,1,Myosotis scorpioides,European forget-me-not,6,E,
02-003-A,5,1,Equisetum fluviatile,swamp horsetail,15,N,
02-003-A,5,1,Galium trifidum,small bedstraw,13,N,
02-003-A,5,1,Juncus balticus,Baltic rush,30,N,105
02-003-A,5,1,Potentilla anserina,common silverweed,2,N,
02-003-A,5,1,Oenanthe sarmentosa,Pacific water-parsley,1,N,
02-003-A,5,1,Sium suave,water-parsnip,1,N,
02-003-A,5,1,Carex lyngbyei ,Lyngbye's sedge,0.5,N,
02-003-A,5,1,Agrostis gigantea,redtop,1,E,
02-003-A,5,1,Mimulus guttatus,yellow monkey-flower,0.5,N,
02-003-A,5,1,,Bare ground at stems,40,,
02-003-A,5,1,,Bare ground from above ,5,,
02-003-A,8,1,Lythrum salicaria,purple loosestrife,8,I,
02-003-A,8,1,Equisetum fluviatile,swamp horsetail,5,N,
02-003-A,8,1,Agrostis stolonifera,creeping bentgrass,6,E,
02-003-A,8,1,Galium trifidum,small bedstraw,2,N,
02-003-A,8,1,Potentilla anserina,common silverweed,3,N,
02-003-A,8,1,Lysimachia terrestris,bog loosestrife,5,E,
02-003-A,8,1,Lycopus sp.,horehound,10,U,
02-003-A,8,1,Mentha aquatica,water mint,35,E,
02-003-A,8,1,Symphyotrichum subspicatum,Douglas' aster,8,N,
02-003-A,8,1,Mimulus guttatus,yellow monkey-flower,0.5,N,
02-003-A,8,1,Carex lyngbyei ,Lyngbye's sedge,1,N,
02-003-A,8,1,Myosotis scorpioides,European forget-me-not,1,E,
02-003-A,8,1,,Bare ground at stems,30,,
02-003-A,8,1,,Bare ground from above ,3,,
02-003-A,2,1,Carex lynbyeii,Lyngby's sedge,20,N,75
02-003-A,2,1,Juncus balticus,Baltic rush,55,N,94
02-003-A,2,1,Lycopus sp.,horehound,10,U,
02-003-A,2,1,Bidens cernua,nodding beggarticks,0.5,N,
02-003-A,2,1,Phalaris arundinacea,reed canarygrass,7,I,
02-003-A,2,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
02-003-A,2,1,,Bare ground at stems,50,,
02-003-A,2,1,,Bare ground from above ,3,,
02-003-A,11,1,Carex lyngbyei ,Lyngbye's sedge,65,N,110
02-003-A,11,1,Lycopus sp.,horehound,21,U,
02-003-A,11,1,Mentha aquatica,water mint,12,E,
02-003-A,11,1,Mimulus guttatus,yellow monkey-flower,3,N,
02-003-A,11,1,Potentilla anserina,common silverweed,7,N,
02-003-A,11,1,Symphyotrichum subspicatum,Douglas' aster,3,N,
02-003-A,11,1,Trifolium wormskioldii,springbank clover,2,N,
02-003-A,11,1,Eleocharis palustris,common spike-rush,5,N,89
02-003-A,11,1,Myosotis scorpioides,European forget-me-not ,5,E,
