SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,ORIGIN,PERCENT_COVER,MAX_LH
02-003-B,5,1,Juncus balticus,Baltic rush,N,23,125
02-003-B,9,1,Juncus balticus,Baltic rush,N,100,131
02-003-B,1,1,,bare ground,S,28,
02-003-B,2,1,,bare ground,S,66,
02-003-B,3,1,,bare ground,S,64,
02-003-B,4,1,,bare ground,S,60,
02-003-B,5,1,,bare ground,S,34,
02-003-B,6,1,,bare ground,S,60,
02-003-B,7,1,,bare ground,S,62,
02-003-B,8,1,,bare ground,S,36,
02-003-B,10,1,,bare ground,S,6,
02-003-B,11,1,,bare ground,S,6,
02-003-B,2,1,Sagittaria latifolia,broad-leaved arrowhead,N,5,
02-003-B,2,1,Typha latifolia,common cattail,N,8,
02-003-B,4,1,Typha latifolia,common cattail,N,8,
02-003-B,6,1,Typha latifolia,common cattail,N,3,
02-003-B,9,1,Agrostis stolonifera,creeping bentgrass,E,5,
02-003-B,10,1,Agrostis stolonifera,creeping bentgrass,E,20,
02-003-B,11,1,Agrostis stolonifera,creeping bentgrass,E,2,
02-003-B,3,1,Myosotis scorpioides,European forget-me-not,E,5,
02-003-B,5,1,Myosotis scorpioides,European forget-me-not,E,1,
02-003-B,6,1,Myosotis scorpioides,European forget-me-not,E,0.5,
02-003-B,8,1,Myosotis scorpioides,European forget-me-not,E,2,
02-003-B,10,1,Myosotis scorpioides,European forget-me-not,E,10,
02-003-B,11,1,Myosotis scorpioides,European forget-me-not ,E,8,
02-003-B,8,1,Lycopus sp.,horehound,U,1,
02-003-B,10,1,Juncus articulatus,jointed rush,N,0.5,
02-003-B,7,1,Athyrium filix-femina,lady fern,N,2,
02-003-B,1,1,Typha angustifolia,lesser cattail,I,50,
02-003-B,5,1,Typha angustifolia,lesser cattail,I,17,
02-003-B,9,1,Typha angustifolia,lesser cattail,I,3,
02-003-B,10,1,,log,S,10,
02-003-B,5,1,Carex lynbyei,Lyngbye’s sedge,N,17,149
02-003-B,8,1,Carex lynbyei,Lyngbye’s sedge,N,60,150
02-003-B,9,1,Carex lynbyei,Lyngbye’s sedge,N,12,112
02-003-B,10,1,Carex lynbyei,Lyngbye’s sedge,N,30,99
02-003-B,2,1,Bidens cernua,nodding beggarticks,N,2,
02-003-B,3,1,Bidens cernua,nodding beggarticks,N,1,
02-003-B,6,1,Bidens cernua,nodding beggarticks,N,2,
02-003-B,7,1,Bidens cernua,nodding beggarticks,N,5,
02-003-B,11,1,Bidens cernua,nodding beggarticks,N,5,
02-003-B,8,1,Oenanthe sarmentosa,Pacific water-parsley,N,0.5,
02-003-B,9,1,Oenanthe sarmentosa,Pacific water-parsley,N,1,
02-003-B,11,1,Oenanthe sarmentosa,Pacific water-parsley,N,7,
