SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH
02-005-C,2,1,Eleocharis obtusa,blunt spike-rush,2,N,
02-005-C,4,1,Eleocharis obtusa,blunt spike-rush,1,N,
02-005-C,5,1,Eleocharis obtusa,blunt spike-rush,5,N,
02-005-C,3,2,Gratiola ebracteata,bractless hedge-hyssop,0.5,N,
02-005-C,1,1,Agrostis capillaris,colonial bentgrass,2,E,
02-005-C,4,1,Agrostis capillaris,colonial bentgrass,9,E,
02-005-C,5,2,Agrostis capillaris,colonial bentgrass,0.5,E,
02-005-C,1,1,Eleocharis palustris,common spike-rush,1,N,
02-005-C,5,2,Eleocharis palustris,common spike-rush,0.5,N,
02-005-C,1,2,Myosotis scorpiodes,European forget-me-not ,0.5,E,
02-005-C,2,2,Myosotis scorpiodes,European forget-me-not ,1,E,
02-005-C,1,1,Myosotis scorpiodes,European forget-me-not ,4,E,
02-005-C,2,1,Myosotis scorpiodes,European forget-me-not ,2,E,
02-005-C,4,1,Myosotis scorpiodes,European forget-me-not ,5,E,
02-005-C,5,1,Myosotis scorpiodes,European forget-me-not ,4,E,
02-005-C,1,2,,ground,63,S,
02-005-C,2,2,,ground,33,S,
02-005-C,1,1,,ground,31,S,
02-005-C,2,1,,ground,56.5,S,
02-005-C,3,1,,ground,47,S,
02-005-C,4,1,,ground,30.5,S,
02-005-C,5,1,,ground,23,S,
02-005-C,6,1,,ground,20,S,
02-005-C,7,1,,ground,30,S,
02-005-C,8,1,,ground,35,S,
02-005-C,3,2,,ground,88,S,
02-005-C,4,2,,ground,75,S,
02-005-C,5,2,,ground,80,S,
02-005-C,1,1,Cardamine oligosperma,little western bitter-cress,0.5,N,
02-005-C,2,1,Cardamine oligosperma,little western bitter-cress,0.5,N,
02-005-C,4,1,Cardamine oligosperma,little western bitter-cress,0.5,N,
02-005-C,4,1,Carex lyngbei,Lyngbye's sedge ,1,N,
02-005-C,1,2,Persicaria hydropiper,marshpepper smartweed,1,E,
02-005-C,2,2,Persicaria hydropiper,marshpepper smartweed,0.5,E,
02-005-C,2,1,Persicaria hydropiper,marshpepper smartweed,1,E,
02-005-C,3,2,Persicaria hydropiper,marshpepper smartweed,1,E,
02-005-C,5,2,Persicaria hydropiper,marshpepper smartweed,20,E,
02-005-C,1,2,Sparganium angustifolium,narrow-leaved bur-reed,0.5,N,
02-005-C,2,2,Sparganium angustifolium,narrow-leaved bur-reed,1,N,
02-005-C,1,1,Sparganium angustifolium,narrow-leaved bur-reed,33,N,
02-005-C,2,1,Sparganium angustifolium,narrow-leaved bur-reed,8,N,
02-005-C,3,1,Sparganium angustifolium,narrow-leaved bur-reed,50,N,
02-005-C,4,1,Sparganium angustifolium,narrow-leaved bur-reed,1,N,
02-005-C,5,1,Sparganium angustifolium,narrow-leaved bur-reed,30,N,
02-005-C,6,1,Sparganium angustifolium,narrow-leaved bur-reed,50,N,
02-005-C,7,1,Sparganium angustifolium,narrow-leaved bur-reed,65,N,
02-005-C,8,1,Sparganium angustifolium,narrow-leaved bur-reed,60,N,
02-005-C,3,2,Sparganium angustifolium,narrow-leaved bur-reed,2,N,
02-005-C,4,2,Sparganium angustifolium,narrow-leaved bur-reed,5,N,
02-005-C,1,1,Bidens cernua,nodding beggarticks,0.5,N,
02-005-C,4,1,Bidens cernua,nodding beggarticks,0.5,N,
02-005-C,5,1,Bidens cernua,nodding beggarticks,0.5,N,
02-005-C,3,2,Bidens cernua,nodding beggarticks,0.5,N,
02-005-C,1,1,Crassula aquatica,pigmyweed,0.5,N,
02-005-C,2,1,Crassula aquatica,pigmyweed,0.5,N,
02-005-C,5,1,Crassula aquatica,pigmyweed,1,N,
02-005-C,1,2,Callitriche stagnalis,pond water-starwort,35,E,
02-005-C,2,2,Callitriche stagnalis,pond water-starwort,65,E,
02-005-C,1,1,Callitriche stagnalis,pond water-starwort,25,E,
02-005-C,2,1,Callitriche stagnalis,pond water-starwort,1,E,
02-005-C,3,1,Callitriche stagnalis,pond water-starwort,3,E,
02-005-C,4,1,Callitriche stagnalis,pond water-starwort,0.5,E,
02-005-C,5,1,Callitriche stagnalis,pond water-starwort,0.5,E,
02-005-C,6,1,Callitriche stagnalis,pond water-starwort,40,E,
02-005-C,7,1,Callitriche stagnalis,pond water-starwort,7,E,
02-005-C,8,1,Callitriche stagnalis,pond water-starwort,4,E,
02-005-C,3,2,Callitriche stagnalis,pond water-starwort,10,E,
02-005-C,4,2,Callitriche stagnalis,pond water-starwort,22,E,
02-005-C,5,2,Callitriche stagnalis,pond water-starwort,4,E,
02-005-C,4,1,Lythrum salicaria,purple loosestrife,1,I,
02-005-C,5,1,Lythrum salicaria,purple loosestrife,1,I,
02-005-C,5,2,Lythrum salicaria,purple loosestrife,1,I,
02-005-C,2,1,Phalaris arundinacea,reed canarygrass,25,I,
02-005-C,4,1,Leersia oryzoides ,rice cutgrass,35,N,
02-005-C,5,1,Leersia oryzoides ,rice cutgrass,30,N,
02-005-C,8,1,Leersia oryzoides ,rice cutgrass,1,N,
02-005-C,5,2,Leersia oryzoides ,rice cutgrass,0.5,N,
02-005-C,1,1,Eleocharis parvula,small spike-rush,1,N,
02-005-C,5,1,Eleocharis parvula,small spike-rush,0.5,N,
02-005-C,5,2,Eleocharis parvula,small spike-rush,0.5,N,
