SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH
02-005-D,2,1,Lysimachia terrestris,bog loosestrife,10,E,
02-005-D,4,1,Gratiola ebracteata,bractless hedge-hyssop,0.5,N,
02-005-D,2,1,Rumex conglomeratus,clustered dock,2,E,
02-005-D,6,1,Rumex conglomeratus,clustered dock,1,E,
02-005-D,2,1,Agrostis capillaris,colonial bentgrass,4,E,
02-005-D,3,1,Agrostis capillaris,colonial bentgrass,4,E,
02-005-D,4,1,Agrostis capillaris,colonial bentgrass,3,E,
02-005-D,5,1,Agrostis capillaris,colonial bentgrass,7,E,
02-005-D,6,1,Agrostis capillaris,colonial bentgrass,5,E,
02-005-D,2,1,Eleocharis palustris,common spike-rush,0.5,N,
02-005-D,3,1,Eleocharis palustris,common spike-rush,5,N,63
02-005-D,4,1,Eleocharis palustris,common spike-rush,4,N,
02-005-D,5,1,Eleocharis palustris,common spike-rush,1,N,
02-005-D,2,2,Myosotis scorpiodes,European forget-me-not ,1,E,
02-005-D,3,2,Myosotis scorpiodes,European forget-me-not ,3,E,
02-005-D,2,1,Myosotis scorpiodes,European forget-me-not ,75,E,
02-005-D,3,1,Myosotis scorpiodes,European forget-me-not ,20,E,
02-005-D,4,1,Myosotis scorpiodes,European forget-me-not ,5,E,
02-005-D,5,1,Myosotis scorpiodes,European forget-me-not ,27,E,
02-005-D,6,1,Myosotis scorpiodes,European forget-me-not ,95,E,
02-005-D,4,1,Lilaea scilloides,flowering quillwort,1,N,
02-005-D,5,1,Lilaea scilloides,flowering quillwort,0.5,N,
02-005-D,1,2,,ground,65,S,
02-005-D,2,2,,ground,65,S,
02-005-D,3,2,,ground,5,S,
02-005-D,1,1,,ground,15,S,
02-005-D,2,1,,ground,10,S,
02-005-D,3,1,,ground,9.5,S,
02-005-D,4,1,,ground,58,S,
02-005-D,2,1,Juncus articulatus,jointed rush,1,N,
02-005-D,3,1,Carex lyngbei,Lyngbye's sedge ,7,N,63
02-005-D,4,1,Carex lyngbei,Lyngbye's sedge ,1,N,
02-005-D,6,1,Carex lyngbei,Lyngbye's sedge ,1,N,
02-005-D,1,2,Persicaria hydropiper,marshpepper smartweed,0.5,U,
02-005-D,4,1,Persicaria hydropiper,marshpepper smartweed,0.5,U,
02-005-D,1,2,Sparganium angustifolium,narrow-leaved bur-reed,0.5,N,
02-005-D,2,2,Sparganium angustifolium,narrow-leaved bur-reed,4,N,
02-005-D,3,1,Sparganium angustifolium,narrow-leaved bur-reed,50,N,
02-005-D,5,1,Sparganium angustifolium,narrow-leaved bur-reed,75,N,
02-005-D,2,1,Bidens cernua,nodding beggarticks,0.5,N,
02-005-D,4,1,Bidens cernua,nodding beggarticks,6,N,
02-005-D,6,1,Bidens cernua,nodding beggarticks,2,N,
02-005-D,2,2,Crassula aquatica,pigmyweed,0.5,N,
02-005-D,2,1,Crassula aquatica,pigmyweed,0.5,N,
02-005-D,3,1,Crassula aquatica,pigmyweed,0.5,N,
02-005-D,4,1,Crassula aquatica,pigmyweed,0.5,N,
02-005-D,1,2,Callitriche stagnalis,pond water-starwort,45,E,
02-005-D,2,2,Callitriche stagnalis,pond water-starwort,30,E,
02-005-D,3,2,Callitriche stagnalis,pond water-starwort,92,E,
02-005-D,3,1,Callitriche stagnalis,pond water-starwort,0.5,E,
02-005-D,4,1,Callitriche stagnalis,pond water-starwort,5,E,
02-005-D,5,1,Callitriche stagnalis,pond water-starwort,3,E,
02-005-D,6,1,Callitriche stagnalis,pond water-starwort,0.5,E,
02-005-D,2,1,Lythrum salicaria,purple loosestrife,1,I,
02-005-D,3,1,Lythrum salicaria,purple loosestrife,0.5,I,
02-005-D,5,1,Lythrum salicaria,purple loosestrife,3,I,
02-005-D,1,2,Phalaris arundinacea,reed canarygrass,0.5,I,
02-005-D,1,1,Phalaris arundinacea,reed canarygrass,85,I,
02-005-D,4,1,Leersia oryzoides ,rice cutgrass,10,N,
02-005-D,3,1,Leersia oryzoides ,rice cutgrass,2,N,
02-005-D,2,2,Eleocharis parvula,small spike-rush,0.5,N,
02-005-D,2,2,Limosella aquatica,water mudwort,0.5,N,
02-005-D,2,1,Limosella aquatica,water mudwort,0.5,N,
02-005-D,4,1,Limosella aquatica,water mudwort,0.5,N,
02-005-D,2,2,Alisma sp.,water-plantain,1,U,
02-005-D,2,1,Alisma sp.,water-plantain,0.5,U,
02-005-D,3,1,Alisma sp.,water-plantain,1,U,
02-005-D,4,1,Alisma sp.,water-plantain,5,U,
02-005-D,5,1,Alisma sp.,water-plantain,2,U,
02-005-D,6,1,Alisma sp.,water-plantain,1,U,
