SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH
02-007-A,1-Jan,1,Agrostis stolonifera,creeping bentgrass,8,E,
02-007-A,1-Jan,1,Persicaria hydropiper,marshpepper smartweed,2,E,
02-007-A,1-Jan,1,Myosotis scorpioides,European forget-me-not ,7,E,
02-007-A,1-Jan,1,Lysimachia terrestris ,bog loosestrife,2,E,
02-007-A,2-Jan,1,Myosotis scorpioides,European forget-me-not ,10,E,
02-007-A,2-Jan,1,Agrostis stolonifera,creeping bentgrass,15,E,
02-007-A,3-Jan,1,Persicaria hydropiper,marshpepper smartweed,2,E,
02-007-A,3-Jan,1,Agrostis stolonifera,creeping bentgrass,25,E,
02-007-A,4-Jan,1,Agrostis stolonifera,creeping bentgrass,45,E,
02-007-A,5-Jan,1,Agrostis stolonifera,creeping bentgrass,17,E,
02-007-A,6-Jan,1,Agrostis stolonifera,creeping bentgrass,30,E,
02-007-A,6-Jan,1,Myosotis scorpioides,European forget-me-not ,3,E,
02-007-A,7-Jan,1,Myosotis scorpioides,European forget-me-not ,10,E,
02-007-A,7-Jan,1,Agrostis stolonifera,creeping bentgrass,15,E,
02-007-A,8-Jan,1,Myosotis scorpioides,European forget-me-not ,25,E,
02-007-A,8-Jan,1,Agrostis stolonifera,creeping bentgrass,15,E,
02-007-A,9-Jan,1,Myosotis scorpioides,European forget-me-not ,30,E,
02-007-A,9-Jan,1,Agrostis stolonifera,creeping bentgrass,45,E,
02-007-A,9-Jan,1,Persicaria hydropiper,marshpepper smartweed,1,E,
02-007-A,10-Jan,1,Agrostis stolonifera,creeping bentgrass,30,E,90
02-007-A,10-Jan,1,Myosotis scorpioides,European forget-me-not ,6,E,
02-007-A,1-Feb,2,Callitriche stagnalis,pond water-starwort,20,E,
02-007-A,2-Feb,2,Callitriche stagnalis,pond water-starwort,0.5,E,
02-007-A,3-Feb,2,Callitriche stagnalis,pond water-starwort,2,E,
02-007-A,4-Feb,2,Callitriche stagnalis,pond water-starwort,1,E,
02-007-A,4-Feb,2,Persicaria hydropiper,marshpepper smartweed,2,E,
02-007-A,5-Feb,2,Callitriche stagnalis,pond water-starwort,0.5,E,
02-007-A,2-Jan,1,Lythrum salicaria,purple loosestrife,3,I,
02-007-A,4-Jan,1,Lythrum salicaria,purple loosestrife,2,I,
02-007-A,7-Jan,1,Phalaris arundinacea,reed canarygrass,15,I,
02-007-A,7-Jan,1,Lythrum salicaria,purple loosestrife,3,I,
02-007-A,9-Jan,1,Lythrum salicaria,purple loosestrife,20,I,
02-007-A,10-Jan,1,Lythrum salicaria,purple loosestrife,12,I,
02-007-A,2-Feb,2,Lythrum salicaria,purple loosestrife,1,I,
02-007-A,1-Jan,1,Carex lynbyei,Lyngbye’s sedge,30,N,103
02-007-A,1-Jan,1,Eleocharis palustris,common spike-rush,15,N,75
02-007-A,1-Jan,1,Equisetum fluviatile,swamp horsetail,13,N,
02-007-A,1-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,2,N,
02-007-A,1-Jan,1,Galium trifidum,small bedstraw,15,N,
02-007-A,1-Jan,1,Oenanthe sarmentosa,Pacific water-parsley,3,N,
02-007-A,1-Jan,1,Mimulus guttatus,yellow monkey-flower,1,N,
02-007-A,2-Jan,1,Carex lynbyei,Lyngbye’s sedge,30,N,56
02-007-A,2-Jan,1,Eleocharis palustris,common spike-rush,30,N,65
02-007-A,2-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,5,N,141
02-007-A,2-Jan,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
02-007-A,2-Jan,1,Galium trifidum,small bedstraw,9,N,
02-007-A,2-Jan,1,Bidens cernua,nodding beggarticks,3,N,
02-007-A,2-Jan,1,Equisetum fluviatile,swamp horsetail,5,N,
02-007-A,2-Jan,1,Callitriche hermaphroditica,northern starwort,2,N,
02-007-A,3-Jan,1,Carex lynbyei,Lyngbye’s sedge,25,N,122
02-007-A,3-Jan,1,Equisetum fluviatile,swamp horsetail,60,N,
02-007-A,3-Jan,1,Sagittaria latifolia,broad-leaved arrowhead,7,N,
02-007-A,3-Jan,1,Bidens cernua,nodding beggarticks,3,N,
02-007-A,3-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,3,N,
02-007-A,3-Jan,1,Lilaeopsis occidentalis,western lilaeopsis,2,N,
02-007-A,3-Jan,1,Symphyotrichum subspicatum ,Douglas' aster,2,N,
02-007-A,4-Jan,1,Carex lynbyei,Lyngbye’s sedge,25,N,84
02-007-A,4-Jan,1,Eleocharis palustris,common spike-rush,10,N,71
02-007-A,4-Jan,1,Equisetum fluviatile,swamp horsetail,4,N,
02-007-A,4-Jan,1,Galium trifidum,small bedstraw,15,N,
02-007-A,4-Jan,1,Symphyotrichum subspicatum ,Douglas' aster,0.5,N,
02-007-A,5-Jan,1,Carex lynbyei,Lyngbye’s sedge,87,N,96
02-007-A,5-Jan,1,Eleocharis palustris,common spike-rush,0.5,N,
02-007-A,5-Jan,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
02-007-A,6-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,55,N,176
02-007-A,6-Jan,1,Carex lynbyei,Lyngbye’s sedge,5,N,82
02-007-A,6-Jan,1,Leersia oryzoides ,rice cutgrass,5,N,
02-007-A,6-Jan,1,Eleocharis palustris,common spike-rush,5,N,79
02-007-A,6-Jan,1,Lilaeopsis occidentalis,western lilaeopsis,2,N,
02-007-A,6-Jan,1,Bidens cernua,nodding beggarticks,3,N,
02-007-A,7-Jan,1,Sciprus microcarpus,small-flowered bulrush,4,N,
02-007-A,7-Jan,1,Carex lynbyei,Lyngbye’s sedge,27,N,129
02-007-A,7-Jan,1,Equisetum fluviatile,swamp horsetail,7,N,
02-007-A,7-Jan,1,Potentilla anserina,common silverweed,5,N,
02-007-A,7-Jan,1,Galium trifidum,small bedstraw,5,N,
02-007-A,7-Jan,1,Symphyotrichum subspicatum ,Douglas' aster,4,N,
02-007-A,8-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,40,N,202
02-007-A,8-Jan,1,Eleocharis palustris,common spike-rush,2,N,
02-007-A,8-Jan,1,Equisetum fluviatile,swamp horsetail,15,N,
02-007-A,8-Jan,1,Galium trifidum,small bedstraw,10,N,
02-007-A,8-Jan,1,Leersia oryzoides ,rice cutgrass,2,N,
02-007-A,8-Jan,1,Potentilla anserina,common silverweed,2,N,
02-007-A,9-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,20,N,166
02-007-A,9-Jan,1,Eleocharis palustris,common spike-rush,4,N,
02-007-A,9-Jan,1,Sagittaria latifolia,broad-leaved arrowhead,2,N,
02-007-A,9-Jan,1,Equisetum fluviatile,swamp horsetail,2,N,
02-007-A,9-Jan,1,Bidens cernua,nodding beggarticks,2,N,
02-007-A,10-Jan,1,Carex lynbyei,Lyngbye’s sedge,35,N,98
02-007-A,10-Jan,1,Sagittaria latifolia,broad-leaved arrowhead,7,N,
02-007-A,10-Jan,1,Juncus articulatus,jointed rush,2,N,
02-007-A,10-Jan,1,Equisetum fluviatile,swamp horsetail,3,N,
02-007-A,10-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,5,N,148
02-007-A,10-Jan,1,Mimulus guttatus,yellow monkey-flower,2,N,
02-007-A,10-Jan,1,Galium trifidum,small bedstraw,2,N,
02-007-A,1-Feb,2,Limosella aquatica,water mudwort,4,N,
02-007-A,1-Feb,2,Equisetum fluviatile,swamp horsetail,1,N,
02-007-A,1-Feb,2,Crassula aquatica,pigmyweed,1,N,
02-007-A,1-Feb,2,Gratiola ebracteata,bractless hedge-hyssop,3,N,
02-007-A,2-Feb,2,Limosella aquatica,water mudwort,1,N,
02-007-A,2-Feb,2,Crassula aquatica,pigmyweed,4,N,
02-007-A,2-Feb,2,Gratiola ebracteata,bractless hedge-hyssop,3,N,
02-007-A,2-Feb,2,Jointed rush ,jointed rush,1,N,
02-007-A,3-Feb,2,Limosella aquatica,water mudwort,2,N,
02-007-A,3-Feb,2,Crassula aquatica,pigmyweed,4,N,
