SITE_ID,PLOT,COMMUNITY,Scientific,Common,PERCENT_COVER,ORIGIN,MAX_LH
09-002-A,1-1,1,Juncus balticus,Baltic rush ,85.0,N,114.0
09-002-A,1-1,1,Carex lyngbyei,Lyngbye's sedge,20.0,N,95.0
09-002-A,1-1,1,Iris pseudacorus,yellow iris,4.0,I,
09-002-A,1-1,1,Potentilla egedii,coast silverweed,3.0,N,
09-002-A,1-2,1,Juncus balticus,Baltic rush ,85.0,N,117.0
09-002-A,1-2,1,Carex lyngbyei,Lyngbye's sedge,20.0,N,108.0
09-002-A,1-2,1,Iris pseudacorus,yellow iris,4.0,I,
09-002-A,1-2,1,Potentilla egedii,coast silverweed,10.0,N,
09-002-A,1-2,1,Lilaeopsis occidentalis,western lilaeopsis,1.0,N,
09-002-A,1-3,1,Juncus balticus,Baltic rush ,55.0,N,100.0
09-002-A,1-3,1,Carex lyngbyei,Lyngbye's sedge,30.0,N,102.0
09-002-A,1-3,1,Triglochin maritima,seaside arrow-grass,25.0,N,
09-002-A,1-3,1,Potentilla egedii,coast silverweed,15.0,N,
09-002-A,1-3,1,,rock,10.0,,
09-002-A,1-4,1,Juncus balticus,Baltic rush ,62.0,N,121.0
09-002-A,1-4,1,Carex lyngbyei,Lyngbye's sedge,10.0,N,108.0
09-002-A,1-4,1,Triglochin maritima,seaside arrow-grass,15.0,N,
09-002-A,1-4,1,Potentilla egedii,coast silverweed,17.0,N,
09-002-A,1-4,1,Eleocharis palustris,common spike-rush,5.0,N,100.0
09-002-A,1-4,1,,rock,25.0,,
09-002-A,1-5,1,Carex lyngbyei,Lyngbye's sedge,35.0,N,112.0
09-002-A,1-5,1,Juncus balticus,Baltic rush ,55.0,N,102.0
09-002-A,1-5,1,Potentilla egedii,coast silverweed,30.0,N,
09-002-A,1-5,1,Lilaeopsis occidentalis,western lilaeopsis,2.0,N,
09-002-A,1-6,1,Carex lyngbyei,Lyngbye's sedge,30.0,N,114.0
09-002-A,1-6,1,Juncus balticus,Baltic rush ,60.0,N,99.0
09-002-A,1-6,1,Lythrum salicaria,purple loosestrife,6.0,I,
09-002-A,1-6,1,Lilaeopsis occidentalis,western lilaeopsis,1.0,N,
09-002-A,1-6,1,Potentilla egedii,coast silverweed,5.0,N,
09-002-A,1-6,1,Bidens cernua,nodding beggarticks,1.0,N,
09-002-A,1-6,1,Schoenoplectus pungens ,American bulrush,1.0,N,
09-002-A,1-6,1,Eleocharis palustris,common spike-rush,1.0,N,
09-002-A,1-7,1,Carex lyngbyei,Lyngbye's sedge,95.0,N,125.0
09-002-A,1-7,1,Juncus balticus,Baltic rush ,3.0,N,
09-002-A,1-7,1,Eleocharis palustris,common spike-rush,5.0,N,91.0
09-002-A,1-7,1,Lilaeopsis occidentalis,western lilaeopsis,6.0,N,
09-002-A,1-7,1,Bidens cernua,nodding beggarticks,1.0,N,
09-002-A,1-8,1,Phalaris arundinacea,reed canarygrass,2.0,I,
09-002-A,1-8,1,Juncus balticus,Baltic rush ,85.0,N,86.0
09-002-A,1-8,1,Carex lyngbyei,Lyngbye's sedge,15.0,N,85.0
09-002-A,1-8,1,Potentilla egedii,coast silverweed,22.0,N,
09-002-A,1-8,1,Symphyotrichum subspicatum,Douglas' aster,7.0,N,
09-002-A,1-8,1,Iris pseudacorus,yellow iris,10.0,I,
09-002-A,1-8,1,Lilaeopsis occidentalis,western lilaeopsis,3.0,N,
09-002-A,1-9,1,Juncus balticus,Baltic rush ,60.0,N,117.0
09-002-A,1-9,1,Carex lyngbyei,Lyngbye's sedge,40.0,N,
09-002-A,1-9,1,Iris pseudacorus,yellow iris,2.0,I,
09-002-A,1-9,1,Potentilla egedii,coast silverweed,2.0,N,
09-002-A,1-9,1,Lilaeopsis occidentalis,western lilaeopsis,1.0,N,
09-002-A,1-10,1,Juncus balticus,Baltic rush ,85.0,N,98.0
09-002-A,1-10,1,Carex lyngbyei,Lyngbye's sedge,10.0,N,109.0
09-002-A,1-10,1,Iris pseudacorus,yellow iris,7.0,I,
09-002-A,1-10,1,Potentilla egedii,coast silverweed,5.0,N,
09-002-A,1-10,1,Schoenoplectus pungens ,American bulrush,3.0,N,118.0
09-002-A,1-10,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
09-002-A,1-10,1,Schedonorus arundinaceus,tall fescue,2.0,E,
09-002-A,1-10,1,Lythrum salicaria,purple loosestrife,1.0,I,102.0
09-002-A,1-11,1,Juncus balticus,Baltic rush ,90.0,N,108.0
09-002-A,1-11,1,Carex lyngbyei,Lyngbye's sedge,7.0,N,
09-002-A,1-11,1,Lythrum salicaria,purple loosestrife,6.0,I,
09-002-A,1-11,1,Potentilla egedii,coast silverweed,6.0,N,
09-002-A,1-11,1,Schedonorus arundinaceus,tall fescue,4,E,
09-002-A,1-11,1,Rumex conglomeratus,clustered dock,2,E,
09-002-A,1-11,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
09-002-A,1-11,1,Schoenoplectus pungens ,American bulrush,2,N,
09-002-A,1-12,1,Juncus balticus,Baltic rush ,50,N,87
09-002-A,1-12,1,Carex lyngbyei,Lyngbye's sedge,5,N,60
09-002-A,1-12,1,Iris pseudacorus,yellow iris,10,I,
09-002-A,1-12,1,Potentilla egedii,coast silverweed,18,N,
09-002-A,1-12,1,Symphyotrichum subspicatum,Douglas' aster,30,N,
09-002-A,1-12,1,Lythrum salicaria,purple loosestrife,6,I,
09-002-A,1-12,1,Sium suave,water-parsnip,2,N,
09-002-A,1-12,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
09-002-A,1-12,1,Schoenoplectus pungens ,American bulrush,1,N,
09-002-A,1-12,1,Agrostis stolonifera,creeping bentgrass,2,E,
09-002-A,1-13,1,Juncus balticus,Baltic rush ,85,N,96
09-002-A,1-13,1,Carex lyngbyei,Lyngbye's sedge,3,N,
09-002-A,1-13,1,Lilaeopsis occidentalis,western lilaeopsis,2,N,
09-002-A,1-13,1,Potentilla egedii,coast silverweed,10,N,
09-002-A,1-13,1,Schedonorus arundinaceus,tall fescue,15,E,
09-002-A,1-13,1,Symphyotrichum subspicatum,Douglas' aster,1,N,
09-002-A,1-13,1,Lythrum salicaria,purple loosestrife,3,I,
