SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH
10-002-B,02-Feb,2,Carex stipata ,awl-fruited sedge,1,N,
10-002-B,24-Jan,1,Juncus balticus,Baltic rush ,3,N,
10-002-B,16-Jan,1,Juncus balticus,Baltic rush ,3,N,
10-002-B,02-Feb,2,Lysimachia terrestris ,bog loosestrife,2,E,
10-002-B,01-Feb,2,Sagittaria latifolia,broad-leaved arrowhead,9,N,
10-002-B,03-Jan,1,Sagittaria latifolia,broad-leaved arrowhead,35,N,
10-002-B,08-Jan,1,Sagittaria latifolia,broad-leaved arrowhead,7,N,
10-002-B,11-Feb,2,Sagittaria latifolia,broad-leaved arrowhead,8,N,
10-002-B,10-Feb,2,Sagittaria latifolia,broad-leaved arrowhead,10,N,
10-002-B,13-Feb,2,Sagittaria latifolia,broad-leaved arrowhead,4,N,
10-002-B,14-Jan,1,Rumex conglomeratus,clustered dock,1,E,
10-002-B,17-Jan,1,Rumex conglomeratus,clustered dock,1,E,
10-002-B,12-Jan,1,Rumex conglomeratus,clustered dock,1,E,
10-002-B,24-Jan,1,Potentilla anserina,coast silverweed,2,N,
10-002-B,16-Jan,1,Potentilla anserina,coast silverweed,5,N,
10-002-B,04-Feb,2,Agrostis capillaris,colonial bentgrass,1,E,
10-002-B,14-Jan,1,Agrostis capillaris,colonial bentgrass,5,E,
10-002-B,18-Jan,1,Agrostis capillaris,colonial bentgrass,15,E,
10-002-B,17-Jan,1,Agrostis capillaris,colonial bentgrass,5,E,
10-002-B,06-Jan,1,Agrostis capillaris,colonial bentgrass,20,E,
10-002-B,12-Jan,1,Agrostis capillaris,colonial bentgrass,8,E,
10-002-B,08-Jan,1,Agrostis capillaris,colonial bentgrass,5,E,
10-002-B,10-Feb,2,Agrostis capillaris,colonial bentgrass,0.5,E,
10-002-B,01-Feb,2,Typha latifolia,common cattail,45,N,
10-002-B,05-Feb,2,Typha latifolia,common cattail,10,N,
10-002-B,03-Jan,1,Potentilla anserina,common silverweed,0.5,N,
10-002-B,12-Jan,1,Eleocharis palustris,common spike-rush,3,N,
10-002-B,08-Jan,1,Eleocharis palustris,common spike-rush,5,N,98
10-002-B,16-Jan,1,Eleocharis palustris,common spike-rush,3,N,
10-002-B,02-Feb,2,Eleocharis palustris,common spike-rush,1,N,
10-002-B,16-Jan,1,Symphyotrichum subspicatum ,Douglas' aster,2,N,
10-002-B,10-Feb,2,Symphyotrichum subspicatum ,Douglas' aster,1,N,
10-002-B,14-Jan,1,Myosotis scorpiodes,European forget-me-not,5,E,
10-002-B,18-Jan,1,Myosotis scorpiodes,European forget-me-not,6,E,
10-002-B,17-Jan,1,Myosotis scorpiodes,European forget-me-not ,27,E,
10-002-B,06-Jan,1,Myosotis scorpiodes,European forget-me-not ,0.5,E,
10-002-B,08-Jan,1,Myosotis scorpiodes,European forget-me-not ,35,E,
10-002-B,05-Feb,2,Myosotis scorpiodes,European forget-me-not ,0.5,E,
10-002-B,01-Feb,2,,ground,15,S,
10-002-B,04-Feb,2,,ground,50,S,
10-002-B,05-Feb,2,,ground,51,S,
10-002-B,11-Feb,2,,ground,38,S,
10-002-B,02-Feb,2,,ground,10,S,
10-002-B,10-Feb,2,,ground,43.5,S,
10-002-B,15-Feb,2,,ground,10,S,
10-002-B,13-Feb,2,,ground,15,S,
10-002-B,07-Feb,2,,ground,20,S,
10-002-B,04-Feb,2,Lycopus sp.,horehound,2,U,
10-002-B,14-Jan,1,Lycopus sp.,horehound,10,U,
10-002-B,17-Jan,1,Lycopus sp.,horehound,3,U,
10-002-B,08-Jan,1,Lycopus  sp.,horehound,3,U,
10-002-B,02-Feb,2,Lycopus  sp.,horehound,2,U,
10-002-B,10-Feb,2,Lycopus sp.,horehound,1,U,
10-002-B,15-Feb,2,Lycopus sp.,horehound,0.5,U,
10-002-B,13-Feb,2,Lycopus sp.,horehound,1,U,
10-002-B,14-Jan,1,Carex lyngbyei ,Lyngbye's sedge,40,N,
10-002-B,18-Jan,1,Carex lyngbyei ,Lyngbye's sedge,90,N,155
10-002-B,17-Jan,1,Carex lyngbyei ,Lyngbye's sedge,88,N,125
10-002-B,06-Jan,1,Carex lyngbyei ,Lyngbye's sedge,75,N,
10-002-B,12-Jan,1,Carex lyngbyei ,Lyngbye's sedge,55,N,96
10-002-B,24-Jan,1,Carex lyngbyei ,Lyngbye's sedge,2,N,
10-002-B,08-Jan,1,Carex lyngbyei ,Lyngbye's sedge,2,N,
10-002-B,16-Jan,1,Carex lyngbyei ,Lyngbye's sedge,52,N,158
10-002-B,14-Jan,1,Persicaria hydropiper,marshpepper smartweed,1,E,
10-002-B,17-Jan,1,Persicaria hydropiper,marshpepper smartweed,3,E,
10-002-B,12-Jan,1,Persicaria hydropiper,marshpepper smartweed,1,E,
10-002-B,08-Jan,1,Persicaria hydropiper,marshpepper smartweed,1,E,
10-002-B,02-Feb,2,Persicaria hydropiper,marshpepper smartweed,1,E,
10-002-B,04-Feb,2,Bidens cernua,nodding beggarticks,12,N,
10-002-B,14-Jan,1,Bidens cernua,nodding beggarticks,1,N,
10-002-B,17-Jan,1,Bidens cernua,nodding beggarticks,1,N,
10-002-B,06-Jan,1,Bidens cernua,nodding beggarticks,1,N,
10-002-B,12-Jan,1,Bidens cernua,nodding beggarticks,3,N,
10-002-B,03-Jan,1,Bidens cernua,nodding beggarticks,2,N,
10-002-B,16-Jan,1,Bidens cernua,nodding beggarticks,2,N,
10-002-B,05-Feb,2,Bidens cernua,nodding beggarticks,10,N,
10-002-B,11-Feb,2,Bidens cernua,nodding beggarticks,12,N,
10-002-B,02-Feb,2,Bidens cernua,nodding beggarticks,2,N,
10-002-B,12-Jan,1,Oenanthe sarmentosa,Pacific water-parsley,3,N,
10-002-B,14-Jan,1,Juncus oxymeris,pointed rush,5,N,123
10-002-B,12-Jan,1,Juncus oxymeris,pointed rush,7,N,114
10-002-B,03-Jan,1,Lythrum salicaria,purple loosestrife,5,I,
10-002-B,24-Jan,1,Lythrum salicaria,purple loosestrife,12,I,
10-002-B,10-Feb,2,Lythrum salicaria,purple loosestrife,1,I,
10-002-B,13-Feb,2,Lythrum salicaria,purple loosestrife,0.5,I,
10-002-B,07-Feb,2,Lythrum salicaria,purple loosestrife,0.5,I,
10-002-B,18-Jan,1,Epilobium ciliatum,purple-leaved willowherb,3,N,
10-002-B,17-Jan,1,Epilobium ciliatum,purple-leaved willowherb,1,N,
10-002-B,12-Jan,1,Epilobium ciliatum,purple-leaved willowherb,4,N,
10-002-B,08-Jan,1,Epilobium ciliatum,purple-leaved willowherb,3,N,
10-002-B,16-Jan,1,Epilobium ciliatum,purple-leaved willowherb,1,N,
10-002-B,13-Feb,2,Epilobium ciliatum,purple-leaved willowherb,0.5,N,
10-002-B,01-Feb,2,Phalaris arundinacea,reed canarygrass,2,I,
10-002-B,14-Jan,1,Phalaris arundinacea,reed canarygrass,50,I,
10-002-B,12-Jan,1,Phalaris arundinacea,reed canarygrass,5,I,
10-002-B,03-Jan,1,Phalaris arundinacea,reed canarygrass,45,I,
10-002-B,24-Jan,1,Phalaris arundinacea,reed canarygrass,4,I,
10-002-B,08-Jan,1,Phalaris arundinacea,reed canarygrass,1,I,
10-002-B,05-Feb,2,Phalaris arundinacea,reed canarygrass,1,I,
10-002-B,02-Feb,2,Phalaris arundinacea,reed canarygrass,3,I,
10-002-B,07-Feb,2,Phalaris arundinacea,reed canarygrass,0.5,I,
10-002-B,12-Jan,1,Leersia oryzoides ,rice cutgrass,3,N,
10-002-B,24-Jan,1,Leersia oryzoides ,rice cutgrass,1,N,
10-002-B,24-Jan,1,Carex obnupta,slough sedge,90,N,134
10-002-B,14-Jan,1,Galium trifidum,small bedstraw,22,N,
10-002-B,18-Jan,1,Galium trifidum,small bedstraw,2,N,
10-002-B,17-Jan,1,Galium trifidum,small bedstraw,50,N,
10-002-B,24-Jan,1,Galium trifidum,small bedstraw,3,N,
10-002-B,16-Jan,1,Scirpus microcarpus,small-flowered bulrush,2,N,
10-002-B,03-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush ,4,N,
10-002-B,14-Jan,1,Impatiens capensis,spotted touch-me-not,2,E,
10-002-B,24-Jan,1,Impatiens capensis,spotted touch-me-not,8,E,
10-002-B,08-Jan,1,Impatiens capensis,spotted touch-me-not,7,E,
10-002-B,16-Jan,1,Impatiens capensis,spotted touch-me-not,0.5,E,
10-002-B,12-Jan,1,Juncus supiniformis,spreading rush,0.5,N,
10-002-B,03-Jan,1,Juncus supiniformis,spreading rush,15,N,76
10-002-B,08-Jan,1,Juncus supiniformis,spreading rush,45,N,67
10-002-B,16-Jan,1,Juncus supiniformis,spreading rush,5,N,
10-002-B,16-Jan,1,Lotus pedunculatus,stalked birds-foot trefoil,6,E,
10-002-B,14-Jan,1,Equisetum fluvitale,swamp horsetail,1,N,
