SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH,
12-004,25,1,Myosotis scorpiodes,European forget-me-not ,1.0,E,,
12-004,20,1,Myosotis scorpiodes,European forget-me-not ,5.0,E,,
12-004,37,2,Callitriche stagnalis,pond-water starwort,45.0,E,,
12-004,23,2,Callitriche stagnalis,pond-water starwort,80.0,E,,
12-004,29,2,Callitriche stagnalis,pond-water starwort,8.0,E,,
12-004,22,1,Myosotis scorpiodes,European forget-me-not ,6.0,E,,
12-004,22,1,Agrostis capillaris,colonial bentgrass,1.0,E,,
12-004,45,1,Myosotis scorpiodes,European forget-me-not ,10.0,E,,
12-004,30,1,Myosotis scorpiodes,European forget-me-not ,4.0,E,,
12-004,30,1,Callitriche stagnalis,pond-water starwort,0.5,E,,
12-004,8,2,Callitriche stagnalis,pond-water starwort,80.0,E,,
12-004,36,1,Myosotis scorpiodes,European forget-me-not ,4.0,E,,
12-004,36,1,Callitriche stagnalis,pond-water starwort,0.5,E,,
12-004,36,1,Agrostis capillaris,colonial bentgrass,1.0,E,,
12-004,4,2,Callitriche stagnalis,pond-water starwort,98.0,E,,
12-004,41,1,Myosotis scorpiodes,European forget-me-not ,1.0,E,,
12-004,41,1,Agrostis capillaris,colonial bentgrass,1.0,E,,
12-004,18,1,Myosotis scorpiodes,European forget-me-not ,25.0,E,,
12-004,18,1,Callitriche stagnalis,pond-water starwort,0.5,E,,
12-004,16,1,Myosotis scorpiodes,European forget-me-not ,27.0,E,,
12-004,16,1,Agrostis capillaris,colonial bentgrass,70.0,E,,
12-004,16,1,Callitriche stagnalis,pond-water starwort,0.5,E,,
12-004,28,1,Myosotis scorpiodes,European forget-me-not ,30.0,E,,
12-004,28,1,Agrostis capillaris,colonial bentgrass,40.0,E,,
12-004,1,1,Myosotis scorpiodes,European forget-me-not ,65.0,E,,
12-004,26,1,Myosotis scorpiodes,European forget-me-not ,37.0,E,,
12-004,26,1,Agrostis capillaris,colonial bentgrass,3.0,E,,
12-004,6,2,Callitriche stagnalis,pond-water starwort,20.0,E,,
12-004,6,2,Agrostis capillaris,colonial bentgrass,1.0,E,,
12-004,6,2,Myosotis scorpiodes,European forget-me-not ,1.0,E,,
12-004,5,1,Myosotis scorpiodes,European forget-me-not ,32.0,E,,
12-004,5,1,Agrostis capillaris,colonial bentgrass,50.0,E,,
12-004,39,1,Myosotis scorpiodes,European forget-me-not ,45.0,E,,
12-004,39,1,Agrostis capillaris,colonial bentgrass,5.0,E,,
12-004,33,1,Myosotis scorpiodes,European forget-me-not ,2.0,E,,
12-004,33,1,Agrostis capillaris,colonial bentgrass,5.0,E,,
12-004,27,1,Myosotis scorpiodes,European forget-me-not ,25.0,E,,
12-004,24,1,Myosotis scorpiodes,European forget-me-not ,17.0,E,,
12-004,21,1,Myosotis scorpiodes,European forget-me-not ,45.0,E,,
12-004,9,1,Myosotis scorpiodes,European forget-me-not ,15.0,E,,
12-004,40,1,Agrostis capillaris,colonial bentgrass,30.0,E,,
12-004,40,1,Myosotis scorpiodes,European forget-me-not ,16.0,E,,
12-004,31,1,Myosotis scorpiodes,European forget-me-not ,35,E,,
12-004,31,1,Callitriche stagnalis,pond-water starwort,0.5,E,,
