SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH
13-001,3-Jan,1,Juncus balticus,Baltic rush,90,N,110
13-001,4-Jan,1,Juncus balticus,Baltic rush,85,N,145
13-001,5-Jan,1,Juncus balticus,Baltic rush,80,N,94
13-001,6-Jan,1,Juncus balticus,Baltic rush,35,N,115
13-001,7-Jan,1,Juncus balticus,Baltic rush,50,N,120
13-001,2-Jan,1,,bare ground,6,S,
13-001,4-Jan,1,,bare ground,2,S,
13-001,6-Jan,1,,bare ground,5,S,
13-001,6-Jan,1,Lotus corniculatus,birds-foot trefoil,1,E,
13-001,1-Jan,1,Populus balsamifera,black cottonwood,12,N,
13-001,2-Jan,1,Potentilla egedii,coast silverweed,4,N,
13-001,1-Jan,1,Equisetum arvense,common horsetail,1,N,
13-001,3-Jan,1,Equisetum arvense,common horsetail,4,N,
13-001,4-Jan,1,Equisetum arvense,common horsetail,1,N,
13-001,5-Jan,1,Equisetum arvense,common horsetail,3,N,
13-001,6-Jan,1,Equisetum arvense,common horsetail,2,N,
13-001,7-Jan,1,Equisetum arvense,common horsetail,3,N,
13-001,2-Jan,1,Juncus effusus,common rush,4,N,
13-001,7-Jan,1,Juncus effusus,common rush,8,N,
13-001,1-Jan,1,Juncus effusus,common rush,1,N,
13-001,3-Jan,1,Eleocharis palustris,common spike-rush,17,N,
13-001,6-Jan,1,Eleocharis palustris,common spike-rush,35,N,47
13-001,7-Jan,1,Eleocharis palustris,common spike-rush,10,N,
13-001,2-Jan,1,Agrostis stolonifera,creeping bentgrass,3,E,
13-001,2-Jan,1,Ranunculus repens,creeping buttercup,5,E,
13-001,5-Jan,1,Ranunculus repens,creeping buttercup,4,E,
13-001,7-Jan,1,Ranunculus repens,creeping buttercup,2,E,
13-001,1-Jan,1,Carex cusickii,Cusick's sedge,40,N,99
13-001,1-Jan,1,Symphyotrichum subspicatum,Douglas' aster,3,N,
13-001,2-Jan,1,Symphyotrichum subspicatum,Douglas' aster,2,N,
13-001,5-Jan,1,Symphyotrichum subspicatum,Douglas' aster,3,N,
13-001,7-Jan,1,Symphyotrichum subspicatum,Douglas' aster,1,N,
13-001,3-Jan,1,Myosotis scorpioides,European forget-me-not,1,E,
13-001,7-Jan,1,Myosotis scorpioides,European forget-me-not,1,E,
13-001,1-Jan,1,Rubus armeniacus,Himalayan blackberry,37,I,40
13-001,7-Jan,1,Rubus armeniacus,Himalayan blackberry,5,I,
13-001,2-Jan,1,Lycopus sp.,horehound,3,U,
13-001,3-Jan,1,Lycopus sp.,horehound,3,U,
13-001,6-Jan,1,Lycopus sp.,horehound,5,U,
13-001,2-Jan,1,Juncus articulatus,jointed rush,3,N,
13-001,3-Jan,1,Juncus articulatus,jointed rush,1,N,
13-001,5-Jan,1,,log,10,S,
13-001,6-Jan,1,,log,5,S,
13-001,1-Jan,1,Carex lyngbei,Lyngbye's sedge,0.5,N,
13-001,2-Jan,1,Carex lyngbei,Lyngbye's sedge,10,N,
13-001,3-Jan,1,Carex lyngbei,Lyngbye's sedge,10,N,
13-001,4-Jan,1,Carex lyngbei,Lyngbye's sedge,3,N,
13-001,6-Jan,1,Carex lyngbei,Lyngbye's sedge,20,N,82
13-001,7-Jan,1,Carex lyngbei,Lyngbye's sedge,50,N,115
13-001,6-Jan,1,Persicaria hydropiper,marshpepper smartweed,1,E,
13-001,3-Jan,1,Lythrum salicaria,purple loosestrife,10,I,
13-001,6-Jan,1,Lythrum salicaria,purple loosestrife,1,I,
13-001,7-Jan,1,Lythrum salicaria,purple loosestrife,4,I,
13-001,3-Jan,1,Epilobium ciliatum ssp. watsonii,purple-leaved willowherb,1,N,
13-001,5-Jan,1,Rosa multiflora,rambler rose,3,E,
13-001,1-Jan,1,Phalaris arundinacea,reed canarygrass,5,I,
13-001,2-Jan,1,Phalaris arundinacea,reed canarygrass,12,I,
13-001,3-Jan,1,Phalaris arundinacea,reed canarygrass,17,I,
13-001,4-Jan,1,Phalaris arundinacea,reed canarygrass,20,I,120
13-001,6-Jan,1,Phalaris arundinacea,reed canarygrass,3,I,
13-001,7-Jan,1,Phalaris arundinacea,reed canarygrass,20,I,121
13-001,1-Jan,1,Leersia oryzoides,rice cutgrass,20,N,75
13-001,2-Jan,1,Leersia oryzoides,rice cutgrass,60,N,83
13-001,5-Jan,1,Leersia oryzoides,rice cutgrass,20,N,74
13-001,7-Jan,1,Salix lucida,shining willow,7,N,
13-001,5-Jan,1,Carex obnupta,slough sedge,10,N,
13-001,3-Jan,1,Galium trifidum,small bedstraw,4,N,
13-001,4-Jan,1,Galium trifidum,small bedstraw,3,N,
13-001,6-Jan,1,Galium trifidum,small bedstraw,1,N,
13-001,7-Jan,1,Galium trifidum,small bedstraw,1,N,
13-001,2-Jan,1,Equisetum fluviatile,swamp horsetail,0.5,N,
13-001,3-Jan,1,Equisetum fluviatile,swamp horsetail,4,N,
13-001,4-Jan,1,Equisetum fluviatile,swamp horsetail,1,N,
13-001,6-Jan,1,Equisetum fluviatile,swamp horsetail,1,N,
13-001,7-Jan,1,Equisetum fluviatile,swamp horsetail,6,N,
13-001,2-Jan,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,15,N,
13-001,5-Jan,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,10,N,
13-001,7-Jan,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,6,N,
13-001,5-Jan,1,Iris pseudacorus,yellow iris,3,I,
