SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH,COMMUNITY_MAPPED
15-001-B,1,1,Carex utriculata,beaked sedge,5,N,138,1
15-001-B,1,1,Myosotis scorpioides,European forget-me-not ,0.5,E,,1
15-001-B,1,1,,ground,5,S,,1
15-001-B,1,1,Phalaris arundinacea,reed canarygrass,15,I,,1
15-001-B,1,1,Galium trifidum,small bedstraw,1,N,,1
15-001-B,1,1,Scirpus atrocinctus,wool-grass,80,N,167,1
15-001-B,2,1,,ground,4,S,,1
15-001-B,2,1,Comarum palustre,marsh cinquefoil,94,N,,1
15-001-B,2,1,Phalaris arundinacea,reed canarygrass,2,I,,1
15-001-B,3,1,,leaf litter,25,S,,1
15-001-B,3,1,Comarum palustre,marsh cinquefoil,75,N,,1
15-001-B,4,1,Myosotis scorpioides,European forget-me-not ,2,E,,1
15-001-B,4,1,,leaf litter,35.5,S,,1
15-001-B,4,1,Phalaris arundinacea,reed canarygrass,62,I,,1
15-001-B,4,1,Galium trifidum,small bedstraw,0.5,N,,1
15-001-B,4,1,Iris pseudacorus,yellow iris,3,I,,1
15-001-B,5,1,,leaf litter,22,S,,1
15-001-B,5,1,Comarum palustre,marsh cinquefoil,40,N,,1
15-001-B,5,1,Phalaris arundinacea,reed canarygrass,12,I,,1
15-001-B,5,1,Galium trifidum,small bedstraw,1,N,,1
15-001-B,5,1,Scirpus atrocinctus,wool-grass,25,N,162,1
15-001-B,6,1,Myosotis scorpioides,European forget-me-not ,1,E,,1
15-001-B,6,1,,ground,7,S,,1
15-001-B,6,1,Lycopus sp.,horehound,1,U,,1
15-001-B,6,1,Comarum palustre,marsh cinquefoil,90,N,,1
15-001-B,6,1,Carex scoparia,pointed broom sedge,1,N,,1
15-001-B,7,1,Phalaris arundinacea,reed canarygrass,100,I,,1
15-001-B,7,1,Galium trifidum,small bedstraw,1,N,,1
15-001-B,7,1,Equisetum fluvitale,swamp horsetail,2,N,,1
15-001-B,8,1,Sagittaria latifolia,broad-leaved arrowhead,12,N,,1
15-001-B,8,1,Lycopus americanus,cut-leaved water horehound,1,N,,1
15-001-B,8,1,Myosotis scorpioides,European forget-me-not ,4,E,,1
15-001-B,8,1,,ground,7,S,,1
15-001-B,8,1,Juncus articulatus,jointed rush,0.5,N,,1
15-001-B,8,1,,log,32,S,,1
15-001-B,8,1,Veronica scutellata,marsh speedwell,2,N,,1
15-001-B,8,1,Carex scoparia,pointed broom sedge,2,N,,1
15-001-B,8,1,Lythrum salicaria,purple loosestrife,0.5,I,,1
15-001-B,8,1,Galium trifidum,small bedstraw,12,N,,1
15-001-B,8,1,Bidens tripartita,three-parted beggarticks,22,E,,1
15-001-B,8,1,,unknown moss 1,5,N,,1
15-001-B,9,1,Carex utriculata,beaked sedge,9,N,191,1
15-001-B,9,1,Sagittaria latifolia,broad-leaved arrowhead,2,N,,1
15-001-B,9,1,Myosotis scorpioides,European forget-me-not ,0.5,E,,1
15-001-B,9,1,,ground,5,S,,1
15-001-B,9,1,Spiraea douglasii,hardhack,2,N,,1
15-001-B,9,1,Lycopus sp.,horehound,1,U,,1
15-001-B,9,1,,log,40,S,,1
15-001-B,9,1,Carex scoparia,pointed broom sedge,0.5,N,,1
15-001-B,9,1,Lythrum salicaria,purple loosestrife,2,I,,1
15-001-B,9,1,Phalaris arundinacea,reed canarygrass,30,I,,1
15-001-B,9,1,Galium trifidum,small bedstraw,4,N,,1
15-001-B,9,1,Equisetum fluvitale,swamp horsetail,0.5,N,,1
15-001-B,9,1,Bidens tripartita,three-parted beggarticks,1,E,,1
15-001-B,9,1,Sagittaria cuneata,wool-grass,5,N,125,1
15-001-B,10,1,,ground,7.5,S,,1
15-001-B,10,1,Phalaris arundinacea,reed canarygrass,80,I,,1
15-001-B,10,1,Equisetum fluvitale,swamp horsetail,0.5,N,,1
15-001-B,10,1,Iris pseudacorus,yellow iris,12,I,,1
15-001-B,11,1,Lysimachia terrestris ,bog loosestrife,0.5,E,,1
15-001-B,11,1,,log,50,S,,1
15-001-B,11,1,Carex scoparia,pointed broom sedge,0.5,N,,1
15-001-B,11,1,Lythrum salicaria,purple loosestrife,5,I,,1
15-001-B,11,1,Phalaris arundinacea,reed canarygrass,45,I,,1
15-001-B,11,1,Galium trifidum,small bedstraw,0.5,N,,1
15-001-B,11,1,,unknown lichen,0.5,N,,1
15-001-B,11,1,,unknown moss 2,3,N,,1
15-001-B,11,1,Iris pseudacorus,yellow iris,1,I,,1
15-001-B,12,1,,log,53.5,S,,1
15-001-B,12,1,Carex scoparia,pointed broom sedge,10,N,,1
15-001-B,12,1,Lythrum salicaria,purple loosestrife,5,I,,1
15-001-B,12,1,Phalaris arundinacea,reed canarygrass,12,I,,1
15-001-B,12,1,Galium trifidum,small bedstraw,10,N,,1
15-001-B,12,1,Equisetum fluvitale,swamp horsetail,2,N,,1
15-001-B,12,1,Bidens tripartita,three-parted beggarticks,7,E,,1
15-001-B,12,1,,unknown lichen,0.5,N,,1
15-001-B,12,1,,unknown moss 1,0.5,N,,1
15-001-B,12,1,,unknown moss 3,0.5,N,,1
15-001-B,2,1,Sagittaria cuneata,arum-leaved arrowhead,12,N,,2
15-001-B,3,1,Sagittaria cuneata,arum-leaved arrowhead,0.5,N,,2
15-001-B,4,1,Sagittaria cuneata,arum-leaved arrowhead,7,N,,2
15-001-B,5,1,Sagittaria cuneata,arum-leaved arrowhead,0.5,N,,2
15-001-B,6,1,Sagittaria cuneata,arum-leaved arrowhead,0.5,N,,2
15-001-B,1,2,Persicaria minor,Asian knotweed ,2,E,,2
15-001-B,1,2,,bare ground,64.5,S,,2
15-001-B,1,2,Eleocharis palustris,common spike-rush,15,N,34,2
15-001-B,1,2,Potamogeton natans,floating-leaved pondweed,0.5,N,,2
15-001-B,1,2,Callitriche stagnalis,pond water-starwort,3,E,,2
15-001-B,1,2,Equisetum fluvitale,swamp horsetail,15,N,,2
15-001-B,2,2,Persicaria minor,Asian knotweed ,1,E,,2
15-001-B,2,2,,bare ground,45.5,S,,2
15-001-B,2,2,Eleocharis palustris,common spike-rush,32,N,48,2
15-001-B,2,2,Callitriche stagnalis,pond water-starwort,1,E,,2
15-001-B,2,2,Equisetum fluvitale,swamp horsetail,8,N,,2
15-001-B,2,2,Limosella aquatica,water mudwort,0.5,N,,2
15-001-B,3,2,Eleocharis palustris,common spike-rush,30,N,54,2
15-001-B,3,2,Potamogeton natans,floating-leaved pondweed,0.5,N,,2
15-001-B,3,2,,ground,56,S,,2
15-001-B,3,2,Bidens cernua,nodding beggarticks,2,N,,2
15-001-B,3,2,Callitriche stagnalis,pond water-starwort,3,E,,2
15-001-B,3,2,Eleocharis parvula,small spike-rush,1,N,,2
15-001-B,3,2,Equisetum fluvitale,swamp horsetail,7,N,,2
15-001-B,4,2,Elodea canadensis,Canadian waterweed,4,N,,2
15-001-B,4,2,Eleocharis palustris,common spike-rush,25,N,65,2
15-001-B,4,2,,ground,54,S,,2
15-001-B,4,2,Callitriche stagnalis,pond water-starwort,3,E,,2
15-001-B,4,2,Equisetum fluvitale,swamp horsetail,7,N,,2
15-001-B,5,2,Eleocharis palustris,common spike-rush,40,N,70,2
15-001-B,5,2,,ground,45,S,,2
15-001-B,5,2,Juncus oxymeris,pointed rush,5,N,85,2
15-001-B,5,2,Callitriche stagnalis,pond water-starwort,1,E,,2
15-001-B,5,2,Lythrum salicaria,purple loosestrife,2,I,,2
15-001-B,5,2,Leersia oryzoides,rice cutgrass,2,N,,2
15-001-B,5,2,Juncus supiniformis,spreading rush,1,N,,2
15-001-B,5,2,Equisetum fluvitale,swamp horsetail,3,N,,2
15-001-B,5,2,Alisma sp.,water-plantain,1,U,,2
15-001-B,6,2,Eleocharis palustris,common spike-rush,15,N,72,2
15-001-B,6,2,,ground,70,S,,2
15-001-B,6,2,Persicaria sp.,persicaria,2,U,,2
15-001-B,6,2,Crassula aquatica,pigmyweed,0.5,N,,2
15-001-B,6,2,Juncus oxymeris,pointed rush,10,N,83,2
15-001-B,6,2,Eleocharis parvula,small spike-rush,1,N,,2
15-001-B,6,2,Equisetum fluvitale,swamp horsetail,0.5,N,,2
15-001-B,6,2,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,,2
15-001-B,7,2,Eleocharis palustris,common spike-rush,32,N,66,2
15-001-B,7,2,,ground,49,S,,2
15-001-B,7,2,Persicaria sp.,persicaria,1,U,,2
15-001-B,7,2,Crassula aquatica,pigmyweed,0.5,N,,2
15-001-B,7,2,Juncus oxymeris,pointed rush,15,N,65,2
15-001-B,7,2,Callitriche stagnalis,pond water-starwort,0.5,E,,2
15-001-B,7,2,Eleocharis parvula,small spike-rush,0.5,N,,2
15-001-B,7,2,Equisetum fluvitale,swamp horsetail,1,N,,2
15-001-B,7,2,Alisma sp.,water-plantain,0.5,U,,2
15-001-B,1,3,Sagittaria cuneata,arum-leaved arrowhead,4,N,,3
15-001-B,1,3,,bare ground,69,S,,3
15-001-B,1,3,Juncus articulatus,jointed rush,15,N,32,3
15-001-B,1,3,Crassula aquatica,pigmyweed,0.5,N,,3
15-001-B,1,3,Callitriche stagnalis,pond water-starwort,4,E,,3
15-001-B,1,3,Equisetum fluvitale,swamp horsetail,5,N,,3
15-001-B,1,3,Limosella aquatica,water mudwort,3,N,,3
15-001-B,2,3,Sagittaria cuneata,arum-leaved arrowhead,20,N,,3
15-001-B,2,3,,bare ground,53,S,,3
15-001-B,2,3,Juncus articulatus,jointed rush,20,N,32,3
15-001-B,2,3,Callitriche stagnalis,pond water-starwort,2,E,,3
15-001-B,2,3,Eleocharis parvula,small spike-rush,1,N,,3
15-001-B,2,3,Equisetum fluvitale,swamp horsetail,4,N,,3
15-001-B,3,3,,bare ground,36.5,S,,3
15-001-B,3,3,Gratiola ebracteata,bractless hedge-hyssop,1,N,,3
15-001-B,3,3,Crassula aquatica,pigmyweed,0.5,N,,3
15-001-B,3,3,Callitriche stagnalis,pond water-starwort,50,E,,3
15-001-B,3,3,Eleocharis parvula,small spike-rush,4,N,,3
15-001-B,3,3,Limosella aquatica,water mudwort,8,N,,3
15-001-B,4,3,Sagittaria cuneata,arum-leaved arrowhead,0.5,N,,3
15-001-B,4,3,Persicaria minor,Asian knotweed,3,E,,3
15-001-B,4,3,,bare ground,76,S,,3
15-001-B,4,3,Gratiola ebracteata,bractless hedge-hyssop,5,N,,3
15-001-B,4,3,Juncus articulatus,jointed rush,0.5,N,,3
15-001-B,4,3,Crassula aquatica,pigmyweed,1,N,,3
15-001-B,4,3,Callitriche stagnalis,pond water-starwort,1,E,,3
15-001-B,4,3,Eleocharis parvula,small spike-rush,1,N,,3
15-001-B,4,3,Limosella aquatica,water mudwort,12,N,,3
15-001-B,5,3,Persicaria minor,Asian knotweed ,5,E,,3
15-001-B,5,3,,bare ground,80.5,S,,3
15-001-B,5,3,Gratiola ebracteata,bractless hedge-hyssop,1,N,,3
15-001-B,5,3,Potamogeton natans,floating-leaved pondweed,1,N,,3
15-001-B,5,3,Crassula aquatica,pigmyweed,5,N,,3
15-001-B,5,3,Callitriche stagnalis,pond water-starwort,1,E,,3
15-001-B,5,3,Eleocharis parvula,small spike-rush,4,N,,3
15-001-B,5,3,Equisetum fluvitale,swamp horsetail,0.5,N,,3
15-001-B,5,3,Bidens tripartita,three-parted beggarticks,1,E,,3
15-001-B,5,3,Limosella aquatica,water mudwort,1,N,,3
15-001-B,6,3,Sagittaria cuneata,arum-leaved arrowhead,15,N,,3
15-001-B,6,3,Persicaria minor,Asian knotweed ,20,E,,3
15-001-B,6,3,,bare ground,18.5,S,,3
15-001-B,6,3,Gratiola ebracteata,bractless hedge-hyssop,25,N,,3
15-001-B,6,3,Eleocharis palustris,common spike-rush,4,N,,3
15-001-B,6,3,Agrostis stolonifera,creeping bentgrass,5,E,,3
15-001-B,6,3,Crassula aquatica,pigmyweed,0.5,N,,3
15-001-B,6,3,Callitriche stagnalis,pond water-starwort,2,E,,3
15-001-B,6,3,Eleocharis parvula,small spike-rush,2,N,,3
15-001-B,6,3,Limosella aquatica,water mudwort,5,N,,3
15-001-B,6,3,Lilaeopsis occidentalis,western lilaeopsis,3,N,,3
15-001-B,7,3,Sagittaria cuneata,arum-leaved arrowhead,9,N,,3
15-001-B,7,3,,bare ground,69.5,S,,3
15-001-B,7,3,Gratiola ebracteata,bractless hedge-hyssop,0.5,N,,3
15-001-B,7,3,Potamogeton natans,floating-leaved pondweed,5,N,,3
15-001-B,7,3,Callitriche stagnalis,pond water-starwort,4,E,,3
15-001-B,7,3,Eleocharis parvula,small spike-rush,3,N,,3
15-001-B,7,3,Equisetum fluvitale,swamp horsetail,2,N,,3
15-001-B,7,3,Limosella aquatica,water mudwort,7,N,,3
