SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE, PERCENT_COVER,ORIGIN,MAX_LH
REF-12-001,28-Jan,1,Myosotis scorpiodes,European forget-me-not,17,E,
REF-12-001,28-Jan,1,Agrostis capillaris,colonial bentgrass,2,E,
REF-12-001,20-Jan,1,Myosotis scorpiodes,European forget-me-not,15,E,
REF-12-001,16-Jan,1,Myosotis scorpiodes,European forget-me-not,20,E,
REF-12-001,15-Jan,1,Nasturtium officinale,common watercress ,2,E,
REF-12-001,15-Jan,1,Agrostis stolonifera,creeping bentgrass,5,E,
REF-12-001,15-Jan,1,Myosotis scorpiodes,European forget-me-not,4,E,
REF-12-001,25-Jan,1,Myosotis scorpiodes,European forget-me-not,10,E,
REF-12-001,25-Jan,1,Nasturtium officinale,common watercress ,2,E,
REF-12-001,17-Jan,1,Callitriche stagnalis,pond water-starwort,6,E,
REF-12-001,17-Jan,1,Myosotis scorpiodes,European forget-me-not,10,E,
REF-12-001,4-Jan,1,Agrostis capillaris,colonial bentgrass,10,E,
REF-12-001,3-Jan,1,Myosotis scorpiodes,European forget-me-not,27,E,
REF-12-001,3-Jan,1,Agrostis capillaris,colonial bentgrass,10,E,
REF-12-001,11-Jan,1,Myosotis scorpiodes,European forget-me-not,30,E,
REF-12-001,11-Jan,1,Agrostis capillaris,colonial bentgrass,15,E,
REF-12-001,29-Jan,1,Myosotis scorpiodes,European forget-me-not,20,E,
REF-12-001,29-Jan,1,Agrostis capillaris,colonial bentgrass,25,E,
REF-12-001,13-Jan,1,Myosotis scorpiodes,European forget-me-not,6,E,
REF-12-001,13-Jan,1,Agrostis capillaris,colonial bentgrass,30,E,
REF-12-001,1-Jan,1,Myosotis scorpiodes,European forget-me-not,20,E,
REF-12-001,1-Jan,1,Callitriche stagnalis,pond water-starwort,2,E,
REF-12-001,1-Jan,1,Agrostis capillaris,colonial bentgrass,5,E,
REF-12-001,22-Jan,1,Myosotis scorpiodes,European forget-me-not,50,E,
REF-12-001,22-Jan,1,Lotus pedunculatus,stalked birds-foot trefoil,30,E,
REF-12-001,2-Jan,1,Myosotis scorpiodes,European forget-me-not,13,E,
REF-12-001,2-Jan,1,Callitriche stagnalis,pond water-starwort,3,E,
REF-12-001,2-Jan,1,Agrostis capillaris,colonial bentgrass,12,E,
REF-12-001,5-Jan,1,Myosotis scorpiodes,European forget-me-not,17,E,
REF-12-001,5-Jan,1,Agrostis capillaris,colonial bentgrass,25,E,
REF-12-001,19-Jan,1,Myosotis scorpiodes,European forget-me-not,25,E,
REF-12-001,9-Jan,1,Myosotis scorpiodes,European forget-me-not,5,E,
REF-12-001,9-Jan,1,Agrostis capillaris,colonial bentgrass,5,E,
REF-12-001,8-Jan,1,Myosotis scorpiodes,European forget-me-not ,20,E,
REF-12-001,8-Jan,1,Agrostis capillaris,colonial bentgrass,10,E,
REF-12-001,6-Jan,1,Callitriche stagnalis,pond water-starwort,40,E,
REF-12-001,24-Jan,1,Rumex aquaticus,western dock,3,E,
REF-12-001,24-Jan,1,Myosotis scorpiodes,European forget-me-not ,45,E,
REF-12-001,24-Jan,1,Agrostis capillaris,colonial bentgrass,20,E,
REF-12-001,24-Jan,1,Callitriche stagnalis,pond water-starwort,2,E,
REF-12-001,23-Jan,1,Myosotis scorpiodes,European forget-me-not ,10,E,
REF-12-001,23-Jan,1,Agrostis capillaris,colonial bentgrass,15,E,
REF-12-001,10-Jan,1,Callitriche stagnalis,pond water-starwort,2,E,
REF-12-001,10-Jan,1,Agrostis capillaris,colonial bentgrass,12,E,
REF-12-001,10-Jan,1,Myosotis scorpiodes,European forget-me-not ,6,E,
REF-12-001,26-Jan,1,Myosotis scorpiodes,European forget-me-not ,5,E,
REF-12-001,30-Jan,1,Myosotis scorpiodes,European forget-me-not ,3,E,
REF-12-001,30-Jan,1,Agrostis capillaris,colonial bentgrass,3,E,
REF-12-001,7-Jan,1,Callitriche stagnalis,pond water-starwort,1,E,
REF-12-001,18-Jan,1,Myosotis scorpiodes,European forget-me-not,5,E,
REF-12-001,18-Jan,1,Agrostis capillaris,colonial bentgrass,5,E,
REF-12-001,1-Feb,2,Callitriche stagnalis,pond water-starwort,3,E,
REF-12-001,2-Feb,2,Persicaria minor,Asian knotweed ,1,E,
REF-12-001,2-Feb,2,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-12-001,4-Feb,2,Callitriche stagnalis,pond water-starwort,2,E,
REF-12-001,4-Feb,2,Persicaria minor,Asian knotweed ,2,E,
REF-12-001,5-Feb,2,Myosotis scorpiodes,European forget-me-not,1,E,
REF-12-001,6-Feb,2,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-12-001,7-Feb,2,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-12-001,8-Feb,2,Callitriche stagnalis,pond water-starwort,2,E,
REF-12-001,28-Jan,1,Lythrum salicaria,purple loosestrife,6,I,
REF-12-001,20-Jan,1,Lythrum salicaria,purple loosestrife,30,I,
REF-12-001,20-Jan,1,Iris pseudacorus,yellow iris,7,I,
REF-12-001,14-Jan,1,Lythrum salicaria,purple loosestrife,7,I,
REF-12-001,15-Jan,1,Lythrum salicaria,purple loosestrife,7,I,
REF-12-001,27-Jan,1,Phalaris arundinacea,reed canarygrass,100,I,
REF-12-001,27-Jan,1,Lythrum salicaria,purple loosestrife,3,I,
REF-12-001,25-Jan,1,Phalaris arundinacea,reed canarygrass,15,I,
REF-12-001,12-Jan,1,Phalaris arundinacea,reed canarygrass,100,I,
REF-12-001,4-Jan,1,Lythrum salicaria,purple loosestrife,50,I,
REF-12-001,3-Jan,1,Iris pseudacorus,yellow iris,30,I,
REF-12-001,3-Jan,1,Lythrum salicaria,purple loosestrife,7,I,
REF-12-001,11-Jan,1,Lythrum salicaria,purple loosestrife,25,I,
REF-12-001,29-Jan,1,Lythrum salicaria,purple loosestrife,10,I,
REF-12-001,29-Jan,1,Iris pseudacorus,yellow iris,5,I,
REF-12-001,13-Jan,1,Lythrum salicaria,purple loosestrife,8,I,
REF-12-001,1-Jan,1,Lythrum salicaria,purple loosestrife,8,I,
REF-12-001,5-Jan,1,Lythrum salicaria,purple loosestrife,43,I,
REF-12-001,19-Jan,1,Lythrum salicaria,purple loosestrife,7,I,
REF-12-001,9-Jan,1,Lythrum salicaria,purple loosestrife,12,I,
REF-12-001,8-Jan,1,Lythrum salicaria,purple loosestrife,30,I,
REF-12-001,24-Jan,1,Lythrum salicaria,purple loosestrife,15,I,
REF-12-001,23-Jan,1,Lythrum salicaria,purple loosestrife,6,I,
REF-12-001,7-Jan,1,Phalaris arundinacea,reed canarygrass,4,I,
REF-12-001,7-Jan,1,Lythrum salicaria,purple loosestrife,10,I,
REF-12-001,18-Jan,1,Lythrum salicaria,purple loosestrife,5,I,
REF-12-001,4-Feb,2,Phalaris arundinacea,reed canarygrass,1,I,
REF-12-001,28-Jan,1,Carex lyngbei,Lyngbye's sedge ,75,N,101
REF-12-001,28-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,4,N,
REF-12-001,28-Jan,1,Leersia oryzoides,rice cutgrass,5,N,
REF-12-001,28-Jan,1,Eleocharis palustris,common spike-rush,1,N,
REF-12-001,28-Jan,1,Epilobium ciliatum ssp. ciliatum,purple-leaved willowherb,1,N,
REF-12-001,28-Jan,1,Juncus supiniformis,spreading rush,2,N,
REF-12-001,20-Jan,1,Carex lyngbei,Lyngbye's sedge ,30,N,138
REF-12-001,20-Jan,1,Epilobium ciliatum ssp. ciliatum,purple-leaved willowherb,6,N,
REF-12-001,16-Jan,1,Carex lyngbei,Lyngbye's sedge ,5,N,108
REF-12-001,16-Jan,1,Juncus balticus,Baltic rush ,87,N,117
REF-12-001,16-Jan,1,Equisetum fluviatile,swamp horsetail,1,N,
REF-12-001,14-Jan,1,Juncus balticus,Baltic rush ,83,N,109
REF-12-001,14-Jan,1,Carex lyngbei,Lyngbye's sedge ,3,N,
REF-12-001,15-Jan,1,Carex lyngbei,Lyngbye's sedge ,,N,121
REF-12-001,15-Jan,1,Epilobium ciliatum ssp. ciliatum,purple-leaved willowherb,6,N,
REF-12-001,15-Jan,1,Juncus balticus,Baltic rush ,5,N,112
REF-12-001,15-Jan,1,Equisetum fluviatile,swamp horsetail,1,N,
REF-12-001,15-Jan,1,Juncus tenuis,slender rush,2,N,
REF-12-001,15-Jan,1,Leersia oryzoides,rice cutgrass,1,N,
REF-12-001,27-Jan,1,Epilobium ciliatum ssp. ciliatum,purple-leaved willowherb,1,N,
REF-12-001,27-Jan,1,Carex lyngbei,Lyngbye's sedge ,1,N,
REF-12-001,27-Jan,1,Equisetum fluviatile,swamp horsetail,0.5,N,
REF-12-001,25-Jan,1,Carex lyngbei,Lyngbye's sedge ,55,N,
REF-12-001,25-Jan,1,Epilobium ciliatum ssp. ciliatum,purple-leaved willowherb,8,N,
REF-12-001,25-Jan,1,Caltha palustris var. radicans,yellow marsh marigold,9,N,
REF-12-001,25-Jan,1,Leersia oryzoides,rice cutgrass,5,N,
REF-12-001,25-Jan,1,Symphyotrichum subspicatum ,Douglas' aster,1,N,
REF-12-001,17-Jan,1,Juncus balticus,Baltic rush ,30,N,114
REF-12-001,17-Jan,1,Eleocharis palustris,common spike-rush,25,N,97
REF-12-001,17-Jan,1,Epilobium ciliatum ssp. ciliatum,purple-leaved willowherb,,N,
REF-12-001,17-Jan,1,Sagittaria latifolia,broad-leaved arrowhead,5,N,
REF-12-001,17-Jan,1,Equisetum fluviatile,swamp horsetail,2,N,
REF-12-001,17-Jan,1,Symphyotrichum subspicatum ,Douglas' aster,6,N,
REF-12-001,17-Jan,1,Carex lyngbei,Lyngbye's sedge ,4,N,
REF-12-001,17-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,0.5,N,
REF-12-001,4-Jan,1,Carex lyngbei,Lyngbye's sedge ,50,N,119
REF-12-001,4-Jan,1,Juncus balticus,Baltic rush ,20,N,120
REF-12-001,4-Jan,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
REF-12-001,4-Jan,1,Eleocharis palustris,common spike-rush,2,N,
REF-12-001,3-Jan,1,Lysichiton americanus,skunk cabbage,18,N,
REF-12-001,3-Jan,1,Carex lyngbei,Lyngbye's sedge ,17,N,128
REF-12-001,3-Jan,1,Leersia oryzoides,rice cutgrass,3,N,
REF-12-001,3-Jan,1,Bidens cernua,nodding beggarticks,1,N,
REF-12-001,3-Jan,1,Juncus articulatus,jointed rush,3,N,
REF-12-001,3-Jan,1,Equisetum fluviatile,swamp horsetail,2,N,
REF-12-001,3-Jan,1,Juncus tenuis,slender rush,1,N,
REF-12-001,3-Jan,1,Galium trifidum,small bedstraw,5,N,
REF-12-001,11-Jan,1,Typha latifolia,common cattail,16,N,
REF-12-001,11-Jan,1,Sagittaria latifolia,broad-leaved arrowhead,14,N,
REF-12-001,11-Jan,1,Juncus tenuis,slender rush,5,N,80
REF-12-001,11-Jan,1,Eleocharis palustris,common spike-rush,1,N,
REF-12-001,11-Jan,1,Carex lyngbei,Lyngbye's sedge ,10,N,132
REF-12-001,11-Jan,1,Equisetum fluviatile,swamp horsetail,3,N,
REF-12-001,11-Jan,1,Epilobium ciliatum ssp. ciliatum,purple-leaved willowherb,3,N,
REF-12-001,29-Jan,1,Carex lyngbei,Lyngbye's sedge ,75,N,115
REF-12-001,29-Jan,1,Leersia oryzoides,rice cutgrass,5,N,
REF-12-001,13-Jan,1,Carex lyngbei,Lyngbye's sedge ,45,N,112
REF-12-001,13-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,4,N,
REF-12-001,13-Jan,1,Leersia oryzoides,rice cutgrass,9,N,
REF-12-001,13-Jan,1,Epilobium ciliatum ssp. ciliatum,purple-leaved willowherb,2,N,
REF-12-001,1-Jan,1,Carex lyngbei,Lyngbye's sedge ,12,N,11
REF-12-001,1-Jan,1,Leersia oryzoides,rice cutgrass,3,N,
REF-12-001,1-Jan,1,Menyanthes trifoliata ,buckbean,55,N,
REF-12-001,1-Jan,1,Oenanthe sarmentosa,Pacific water-parsley,4,N,
REF-12-001,22-Jan,1,Galium trifidum,small bedstraw,20,N,
REF-12-001,22-Jan,1,Eleocharis palustris,common spike-rush,2,N,
REF-12-001,22-Jan,1,Leersia oryzoides,rice cutgrass,2,N,
REF-12-001,22-Jan,1,Sium suave,water-parsnip,5,N,
REF-12-001,22-Jan,1,Juncus supiniformis,spreading rush,15,N,77
REF-12-001,22-Jan,1,Caltha palustris var. radicans,yellow marsh marigold,6,N,
REF-12-001,22-Jan,1,Oenanthe sarmentosa,Pacific water-parsley,4,N,
REF-12-001,2-Jan,1,Carex lyngbei,Lyngbye's sedge ,25,N,136
REF-12-001,2-Jan,1,Sagittaria latifolia,broad-leaved arrowhead,1,N,
REF-12-001,2-Jan,1,Epilobium ciliatum ssp. ciliatum,purple-leaved willowherb,8,N,
REF-12-001,2-Jan,1,Equisetum fluviatile,swamp horsetail,3,N,
REF-12-001,2-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,1,N,
REF-12-001,2-Jan,1,Leersia oryzoides,rice cutgrass,0.5,N,
REF-12-001,2-Jan,1,Lysimachia thyrsiflora,tufted loosestrife,12,N,
REF-12-001,21-Jan,1,Symphyotrichum subspicatum ,Douglas' aster,7,N,
REF-12-001,21-Jan,1,Carex lyngbei,Lyngbye's sedge ,27,N,124
REF-12-001,21-Jan,1,Epilobium ciliatum ssp. ciliatum,purple-leaved willowherb,5,N,
REF-12-001,5-Jan,1,Carex lyngbei,Lyngbye's sedge ,63,N,123
REF-12-001,5-Jan,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,4,N,
REF-12-001,5-Jan,1,Leersia oryzoides,rice cutgrass,5,N,
REF-12-001,5-Jan,1,Juncus tenuis,slender rush,3,N,
REF-12-001,19-Jan,1,Carex lyngbei,Lyngbye's sedge ,73,N,134
