SITE_ID,PLOT,COMMUNITY,Scientific,Common,PERCENT_COVER,ORIGIN,MAX_LH
REF-02-001,10,1,Carex lyngbyei,Lyngbye's sedge ,67,N,
REF-02-001,10,1,Lilaeopsis occidentalis,western lilaeopsis,2,N,
REF-02-001,10,1,Potentilla anserina,common silverweed,1,N,
REF-02-001,10,1,Agrostis capillaris,colonial bentgrass ,0.5,E,
REF-02-001,10,1,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-02-001,10,1,Limosella aquatica,water mudwort,0.5,N,
REF-02-001,10,1,,ground,28.5,,
REF-02-001,24,1,Carex lyngbyei,Lyngbye's sedge ,43,N,
REF-02-001,24,1,Phalaris arundinacea,reed canarygrass,10,I,
REF-02-001,24,1,Persicaria hydropiper,marshpepper smartweed,1,E,
REF-02-001,24,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,1,N,
REF-02-001,24,1,Callitriche stagnalis,pond water-starwort,1,E,
REF-02-001,24,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
REF-02-001,24,1,Alisma sp.,water-plantain,0.5,U,
REF-02-001,24,1,Agrostis capillaris,colonial bentgrass ,1,E,
REF-02-001,24,1,,ground,41.5,,
REF-02-001,22,1,Carex lyngbyei,Lyngbye's sedge ,50,N,
REF-02-001,22,1,Phalaris arundinacea,reed canarygrass,11,I,
REF-02-001,22,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
REF-02-001,22,1,Agrostis capillaris,colonial bentgrass ,0.5,E,
REF-02-001,22,1,Persicaria hydropiper,marshpepper smartweed,2,E,
REF-02-001,22,1,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-02-001,22,1,Limosella aquatica,water mudwort,0.5,N,
REF-02-001,22,1,Equisetum fluvitale,swamp horsetail,0.5,N,
REF-02-001,22,1,,ground,34,,
REF-02-001,21,1,Carex lyngbyei,Lyngbye's sedge ,60,N,
REF-02-001,21,1,Agrostis stolonifera,creeping bentgrass ,1,E,
REF-02-001,21,1,Eleocharis palustris,common spike-rush,1,N,
REF-02-001,21,1,Limosella aquatica,water mudwort,0.5,N,
REF-02-001,21,1,Agrostis capillaris,colonial bentgrass ,1,E,
REF-02-001,21,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
REF-02-001,21,1,Potentilla anserina,common silverweed,1,N,
REF-02-001,21,1,,ground,34.5,,
REF-02-001,5,1,Carex lyngbyei,Lyngbye's sedge ,50,N,
REF-02-001,5,1,Juncus balticus,Baltic rush ,1,N,
REF-02-001,5,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
REF-02-001,5,1,Agrostis capillaris,colonial bentgrass ,15,E,
REF-02-001,5,1,,ground,33,,
REF-02-001,23,1,Carex lyngbyei,Lyngbye's sedge ,55,N,
REF-02-001,23,1,Lycopus sp.,horehound,2,U,
REF-02-001,23,1,Potentilla anserina,common silverweed,1,N,
REF-02-001,23,1,Agrostis capillaris,colonial bentgrass ,15,E,
REF-02-001,23,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
REF-02-001,23,1,Limosella aquatica,water mudwort,0.5,N,
REF-02-001,23,1,Eleocharis parvula,small spike-rush,0.5,T,
REF-02-001,23,1,Lythrum salicaria,purple loosestrife,1,I,
REF-02-001,8,1,Carex lyngbyei,Lyngbye's sedge ,65,N,
REF-02-001,8,1,Agrostis capillaris,colonial bentgrass ,3,E,
REF-02-001,8,1,Lycopus sp.,horehound,13,U,
REF-02-001,8,1,Potentilla anserina,common silverweed,4,N,
REF-02-001,8,1,Trifolium wormskioldii,springbank clover,1,N,
REF-02-001,8,1,Eleocharis palustris,common spike-rush,0.5,N,
REF-02-001,8,1,Ranunculus flammula ,lesser spearwort,5,N,
REF-02-001,8,1,Galium trifidum,small bedstraw,0.5,N,
REF-02-001,8,1,Juncus balticus,Baltic rush ,0.8,N,
REF-02-001,8,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
REF-02-001,8,1,,ground,12,,
REF-02-001,6,1,Carex lyngbyei,Lyngbye's sedge ,33,N,
REF-02-001,6,1,Potentilla anserina,common silverweed,4,N,
REF-02-001,6,1,Lilaeopsis occidentalis,western lilaeopsis,2,N,
REF-02-001,6,1,Agrostis capillaris,colonial bentgrass ,5,E,
REF-02-001,6,1,Eleocharis parvula,small spike-rush,0.5,T,
REF-02-001,6,1,Juncus articulatus,jointed rush,5,N,
REF-02-001,6,1,Juncus balticus,Baltic rush ,2,N,
