SITE ID,PLOT,COMMUNITY,ROBEL (cm),,,,,Scientific,Common,% Cover,FWR/SEED,N/E/I/T/U,Max LH (cm),Comments
REF-02-001,10-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,67,,N,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,2,,N,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,1,,N,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,0.5,,E,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,E,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,Limosella aquatica,water mudwort,0.5,,N,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,,ground,28.5,,,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,43,,N,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Phalaris arundinacea,reed canarygrass,10,,I,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Persicaria hydropiper,marshpepper smartweed,1,,E,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Schoenoplectus tabernaemontani,soft-stemmed bulrush,1,,N,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,1,,E,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Alisma sp.,water-plantain,0.5,,U,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,1,,E,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,,ground,41.5,,,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,50,,N,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Phalaris arundinacea,reed canarygrass,11,,I,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,0.5,,E,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Persicaria hydropiper,marshpepper smartweed,2,,E,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,E,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Limosella aquatica,water mudwort,0.5,,N,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Equisetum fluvitale,swamp horsetail,0.5,,N,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,,ground,34,,,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,60,,N,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Agrostis stolonifera,creeping bentgrass ,1,,E,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Eleocharis palustris,common spike-rush,1,,N,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Limosella aquatica,water mudwort,0.5,,N,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,1,,E,,
