Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
08-005,1,1,DISTSPI,0.1,N,,
08-005,1,1,MUD,10,,,
08-005,1,1,SALIPAC,45,N,,
08-005,1,1,SPERSAL,45,E,,
08-005,1,1,TRIGMAR,0.1,N,,
08-005,1,2,JUNCGER,0.1,E,,
08-005,1,2B,JUNCGER,30,E,,
08-005,1,2,MUD,80,,,
08-005,1,2B,MUD,67,,,
08-005,1,2,SALIPAC,15,N,,
08-005,1,2B,SALIPAC,1,N,,
08-005,1,2,SPERSAL,1,E,,
08-005,1,2,TRIGMAR,5,N,,
08-005,1,2B,TRIGMAR,2,N,,
08-005,1,3,DISTSPI,0.1,N,,
08-005,1,3,MUD,15,,,
08-005,1,3,SALIPAC,45,N,,
08-005,1,3,SPERSAL,40,E,,
08-005,1,4,MUD,77,,,
08-005,1,4,SALIPAC,3,N,,
08-005,1,4,SPERSAL,0.1,E,,
08-005,1,4,TRIGMAR,20,N,,
08-005,1,5,DISTSPI,0.1,N,,
08-005,1,5,MUD,29,,,
08-005,1,5,PLANTMAR,1,N,,
08-005,1,5,SALIPAC,35,N,,
08-005,1,5,SPERSAL,35,E,,
08-005,1,5,TRIGMAR,0.1,N,,
08-005,1,6,DISTSPI,95,N,,
08-005,1,6,MUD,4,,,
08-005,1,6,SALIPAC,1,N,,
08-005,1,6,SPERSAL,0.1,E,,
08-005,1,6,TRIGMAR,0.1,N,,
08-005,1,7,JUNCGER,0.1,E,,
08-005,1,7,MUD,25,,,
08-005,1,7,SALIPAC,15,N,,
08-005,1,7,SPERSAL,15,E,,
08-005,1,7,TRIGMAR,45,N,,
08-005,1,8,MUD,33,,,
08-005,1,8,SALIPAC,35,N,,
08-005,1,8,SPERSAL,30,E,,
08-005,1,8,TRIGMAR,2,N,,
08-005,1,9,ATRIPRO,0.1,E,,
08-005,1,9,MUD,93,,,
08-005,1,9,POLYAVI,0.1,E,,
08-005,1,9,SALIPAC,3,N,,
08-005,1,9,SPERSAL,2,E,,
08-005,1,9,TRIGMAR,0.1,N,,
08-005,1,9,WOOD,1,,,
08-005,1,10,MUD,20,,,
08-005,1,10,SALIPAC,40,N,,
08-005,1,10,SCHOAME,0.1,N,,
08-005,1,10,SPERSAL,40,E,,
