Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
08-008C,1,1C,DISTSPI,95,N,,
08-008C,1,1C,SALIPAC,2,N,,
08-008C,1,1C,MUD,3,,,
08-008C,1,2C,DISTSPI,15,N,,
08-008C,1,2C,SALIPAC,0.1,N,,
08-008C,1,2C,MUD,85,,,
08-008C,1,2C,ROCK,0.1,,,
08-008C,1,3C,DISTSPI,25,N,,
08-008C,1,3C,SALIPAC,0.1,N,,
08-008C,1,3C,SPERCAN,0.1,N,,
08-008C,1,3C,ATRIPAT,1,E,,
08-008C,1,3C,MUD,70,,,
08-008C,1,4C,DISTSPI,0.1,N,,
08-008C,1,4C,SALIPAC,0.1,N,,
08-008C,1,4C,COTUCOR,0.1,E,,
08-008C,1,4C,WOOD,25,,,
08-008C,1,4C,LITTER,60,,,
08-008C,1,4C,MUD,15,,,
08-008C,1,5C,DISTSPI,3,N,,
08-008C,1,5C,SALIPAC,0.1,N,,
08-008C,1,5C,SPERCAN,,N,,
08-008C,1,5C,TRIGMAR,30,N,,
08-008C,1,5C,MUD,62,,,
08-008C,1,5C,ROCK,5,,,
