Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
11-001,1,15,ACORAME,25,N,,
11-001,1,1,AGROSTO,0.1,E,,
11-001,1,2,AGROSTO,1,E,,
11-001,1,3,AGROSTO,0.1,E,,
11-001,1,4,AGROSTO,1,E,,
11-001,1,5,AGROSTO,0.1,E,,
11-001,1,6,AGROSTO,0.1,E,,
11-001,1,7,AGROSTO,0.1,E,,
11-001,1,9,AGROSTO,0.1,E,,
11-001,1,11,AGROSTO,0.1,E,,
11-001,1,12,AGROSTO,0.1,E,,
11-001,1,16,AGROSTO,40,E,,
11-001,1,17,AGROSTO,0.1,E,,
11-001,1,18,AGROSTO,0.1,E,,
11-001,1,19,AGROSTO,2,E,,
11-001,1,20,AGROSTO,1,E,,
11-001,1,4,ALISTRI,0.1,N,,
11-001,1,5,ALISTRI,1,N,,
11-001,1,6,ALISTRI,0.1,N,,
11-001,1,7,ALISTRI,0.1,N,,
11-001,1,9,ALISTRI,1,N,,
11-001,1,13,ALISTRI,0.1,N,,
11-001,1,14,ALISTRI,1,N,,
11-001,1,16,ALISTRI,0.1,N,,
11-001,1,19,ALISTRI,0.1,N,,
11-001,1,9,BIDECER,0.1,N,,
11-001,1,1,CALLSTA,0.1,E,,
11-001,1,3,CALLSTA,0.1,E,,
11-001,1,7,CALLSTA,0.1,E,,
11-001,1,9,CALLSTA,0.1,E,,
11-001,1,11,CALLSTA,0.1,E,,
11-001,1,12,CALLSTA,0.1,E,,
11-001,1,13,CALLSTA,0.1,E,,
11-001,1,18,CALLSTA,0.1,E,,
11-001,1,20,CALLSTA,0.1,E,,
11-001,1,1,CARELYN,15,N,104,503364 5446878
11-001,1,3,CARELYN,0.1,N,107,
11-001,1,4,CARELYN,7,N,105,
11-001,1,5,CARELYN,6,N,118,
11-001,1,6,CARELYN,3,N,,
11-001,1,7,CARELYN,8,N,135,
11-001,1,9,CARELYN,8,N,130,
11-001,1,11,CARELYN,1,N,142,
11-001,1,14,CARELYN,0.1,N,121,
11-001,1,17,CARELYN,8,N,137,
11-001,1,18,CARELYN,0.1,N,134,
11-001,1,19,CARELYN,25,N,111,
11-001,1,20,CARELYN,0.1,N,90,
11-001,1,20,CIRSARV,0.1,E,,
11-001,1,2,CRASAQU,0.1,N,,
11-001,1,4,CRASAQU,0.1,N,,
11-001,1,8,CRASAQU,0.1,N,,
11-001,1,18,CRASAQU,0.1,N,,
11-001,1,20,CRASAQU,1,N,,
11-001,1,2,ELEOPAL,0.1,N,,
11-001,1,4,ELEOPAL,0.1,N,,
11-001,1,8,ELEOPAL,0.1,N,,
11-001,1,9,ELEOPAL,0.1,N,,
11-001,1,14,ELEOPAL,1,N,,
11-001,1,16,ELEOPAL,0.1,N,,
11-001,1,18,ELEOPAL,1,N,,
11-001,1,19,ELEOPAL,0.1,N,,
11-001,1,4,ELEOPAR,0.1,N,,
11-001,1,8,ELEOPAR,0.1,N,,
11-001,1,17,ELEOPAR,0.1,N,,
11-001,1,19,ELEOPAR,0.1,N,,
11-001,1,2,EQUIFLU,0.1,N,,
11-001,1,7,EQUIFLU,0.1,N,,
11-001,1,8,EQUIFLU,0.1,N,,
11-001,1,12,EQUIFLU,0.1,N,,
11-001,1,14,EQUIFLU,0.1,N,,
11-001,1,15,EQUIFLU,0.1,N,,
11-001,1,17,EQUIFLU,0.1,N,,
11-001,1,19,EQUIFLU,0.1,N,,
11-001,1,7,GALITRI,0.1,N,,
11-001,1,19,GALITRI,0.1,N,,
11-001,1,4,IMPACAP,1,N,,
11-001,1,6,IMPACAP,1,N,,
11-001,1,7,IMPACAP,1,N,,
11-001,1,8,IMPACAP,0.1,N,,
11-001,1,9,IMPACAP,0.1,N,,
11-001,1,5,IRISPSE,3,I,,
11-001,1,6,IRISPSE,4,I,,
11-001,1,8,IRISPSE,7,I,,
11-001,1,9,IRISPSE,1,I,,
11-001,1,12,IRISPSE,15,I,,
11-001,1,14,JUNCART,1,N,,
11-001,1,16,JUNCART,0.1,N,,
11-001,1,17,JUNCART,0.1,N,,
11-001,1,19,JUNCART,1,N,,
11-001,1,3,JUNCEFF,2,N,,
11-001,1,4,JUNCOXY,0.1,N,,
11-001,1,5,JUNCOXY,0.1,N,,
11-001,1,6,JUNCOXY,1,N,,
11-001,1,8,JUNCOXY,2,N,,
11-001,1,18,JUNCOXY,0.1,N,,
11-001,1,20,JUNCOXY,0.1,N,,
11-001,1,12,LILASCI,0.1,N,,
11-001,1,18,LILASCI,0.1,N,,
11-001,1,1,LILLOCC,0.1,N,,
11-001,1,2,LILLOCC,0.1,N,,
11-001,1,3,LILLOCC,0.1,N,,
