Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
13-002,1,1,LYTHSAL,20,I,,
13-002,1,1,IRISPSE,6,I,,
13-002,1,1,LYSITER,15,E,,
13-002,1,1,LOTUCOR,1,E,,
13-002,1,1,JUNCEFF,3,N,,
13-002,1,1,LYCOEUR,2,E,,
13-002,1,1,MYOSSCO,1,E,,
13-002,1,1,GALITRI,0.1,N,,
13-002,1,1,MENTARV,0.1,E,,
13-002,1,1,POTEANS,0.1,N,,
13-002,1,1,IMPACAP,0.1,N,,
13-002,1,1,SYMPSUB,0.1,N,,
13-002,1,1,MUD,47,N,,
13-002,1,1,LITTER,5,N,,
13-002,2,5,MENTARV,0.1,E,,
13-002,2,5,MYOSSCO,2,E,,
13-002,2,5,LILLOCC,0.1,N,,
13-002,2,5,LYCOEUR,0.1,E,,
13-002,2,5,MUD,98,N,,
13-002,1,7,IRISPSE,5,I,,
13-002,1,7,LYTHSAL,15,I,,
13-002,1,7,LILLOCC,0.1,N,,
13-002,1,7,LOTUCOR,0.1,E,,
13-002,1,7,LYSITER,2,E,,
13-002,1,7,JUNCART,0.1,N,,
13-002,1,7,MYOSSCO,1,E,,
13-002,1,7,LYSINUM,20,E,,
13-002,1,7,PHALARU,0.1,I,,
13-002,1,7,MUD,56,N,,
13-002,1,7,GALITRI,0.1,N,,
13-002,1,8,LYTHSAL,25,I,,
13-002,1,8,JUNCOXY,1,N,,
13-002,1,8,PERSSP,25,U,,
13-002,1,8,LYSITER,0.1,E,,
13-002,1,8,MUD,49,N,,
13-002,1,8,MYOSSCO,0.1,E,,
13-002,1,13,PERSSP,10,U,,
13-002,1,13,IRISPSE,25,I,,
13-002,1,13,JUNCOXY,0.1,N,,
13-002,1,13,LYSITER,0.1,E,,
13-002,1,13,IMPACAP,0.1,N,,
13-002,1,13,MYOSSCO,2,E,,
13-002,1,13,LYTHSAL,1,I,,
13-002,1,13,CALLSTA,0.1,E,,
13-002,1,13,MUD,61,N,,
13-002,1,13,LITTER,1,N,,
13-002,1,11,LYTHSAL,5,I,,
13-002,1,11,JUNCEFF,3,N,,
13-002,1,11,LYCOEUR,7,E,,
13-002,1,11,IRISPSE,1,I,,
13-002,1,11,LOTUCOR,1,E,,
13-002,1,11,MYOSSCO,2,E,,
13-002,1,11,IMPACAP,1,N,,
13-002,1,11,POTEANS,0.1,N,,
13-002,1,11,SCIRMIC,0.1,N,,
13-002,1,11,CAREUTR,1,N,,
13-002,1,11,GALITRI,0.1,N,,
13-002,1,11,AGROSTO,0.1,E,,
13-002,1,11,LYSINUM,0.1,E,,
13-002,1,11,JUNCART,0.1,N,,
13-002,1,11,MUD,18,N,,
13-002,1,11,LITTER,60,N,,
13-002,1,11,UNKNOWN SEDGE,0.1,U,,
13-002,2,9,MYOSSCO,1,E,,Mud flat
13-002,2,9,CALLSTA,1,E,,
13-002,2,9,PERSSP,0.1,U,,
13-002,2,9,MUD,98,N,,
13-002,2,15,MYOSSCO,80,E,,
13-002,2,15,CALLSTA,0.1,E,,
13-002,2,15,LYSINUM,0.1,E,,
13-002,2,15,LILLOCC,0.1,N,,
13-002,2,15,MUD,20,N,,
13-002,2,4,MYOSSCO,83,E,,
13-002,2,4,PERSSP,1,U,,
13-002,2,4,LYTHSAL,1,I,,
13-002,2,4,LYSINUM,0.1,E,,
13-002,2,4,GALITRI,0.1,N,,
13-002,2,4,LILLOCC,0.1,N,,
13-002,2,4,AGROSTO,0.1,E,,
13-002,2,4,MUD,15,N,,
13-002,2,19,MYOSSCO,68,E,,
13-002,2,19,PERSSP,2,U,,
13-002,2,19,AGROSTO,0.1,E,,
13-002,2,19,LYSITER,0.1,E,,
13-002,2,19,CALLSTA,0.1,E,,
13-002,2,19,LYTHSAL,1,I,,
13-002,2,19,IMPACAP,0.1,N,,
13-002,2,19,GALITRI,0.1,N,,
13-002,2,19,LYSINUM,0.1,E,,
13-002,2,19,MUD,30,N,,
13-002,1,10,TYPHGLA,5,I,,Dense typha litter
13-002,1,10,PHALARU,1,I,,
13-002,1,10,LYTHSAL,5,I,,
13-002,1,10,IRISPSE,1,I,,
13-002,1,10,IMPACAP,0.1,N,,
13-002,1,10,MUD,2,N,,
13-002,1,10,LITTER,86,N,,
13-002,1,3,TYPHGLA,15,I,,
13-002,1,3,LYTHSAL,4,I,,
13-002,1,3,ALISTRI,1,N,,
13-002,1,3,LITTER,80,N,,
13-002,2,16,LYTHSAL,1,I,,
13-002,2,16,POTEANS,40,N,,
13-002,2,16,CALLSTA,0.1,E,,
13-002,2,16,LILLOCC,0.1,N,,
13-002,2,16,PERSSP,0.1,U,,
13-002,2,16,LYSINUM,0.1,E,,
13-002,2,16,AGROSTO,0.1,E,,
13-002,2,16,MUD,58,N,,
13-002,2,16,MYOSSCO,2,E,,
