Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
AFN,2,18,PERSSP,0.1,U,,
AFN,2,18,CALLSTA,0.1,E,,
AFN,2,18,MYOSSCO,0.1,E,,
AFN,2,18,LITTER,5,,,
AFN,2,18,MUD,95,,,
AFN,2,10,TYPHLAT,2,N,,
AFN,2,10,CALLSTA,0.1,E,,
AFN,2,10,MYOSSCO,0.1,E,,
AFN,2,10,LITTER,4,,,
AFN,2,10,MUD,94,,,
AFN,2,10,ELODCAN,0.1,N,,
AFN,1,19,CARELYN,80,N,139,
AFN,1,19,TYPHLAT,1,N,,
AFN,1,19,AGROSTO,0.1,E,,
AFN,1,19,MYOSSCO,0.1,E,,
AFN,1,19,MUD,19,,,
AFN,1,4,CARELYN,75,N,132,
AFN,1,4,MYOSSCO,0.1,E,,
AFN,1,4,AGROSTO,0.1,E,,
AFN,1,4,MUD,25,,,
AFN,1,2,CARELYN,2,N,139,
AFN,1,2,PHALARU,25,I,,
AFN,1,2,SCHOTAB,3,N,,
AFN,1,2,SAGILAT,0.1,N,,
AFN,1,2,ALISTRI,0.1,N,,
AFN,1,2,CALLSTA,0.1,E,,
AFN,1,2,ELODCAN,4,N,,
AFN,1,2,LITTER,2,,,
AFN,1,2,MUD,64,,,
AFN,2,8,TYPHLAT,3,N,,
AFN,2,8,CALLSTA,0.1,E,,
AFN,2,8,CARELYN,1,N,87,
AFN,2,8,LITTER,10,,,
AFN,2,8,MUD,86,,,
AFN,2,12,TYPHLAT,2,N,,
AFN,2,12,CALLSTA,1,E,,
AFN,2,12,ELODCAN,0.1,N,,
AFN,2,12,LITTER,4,,,
AFN,2,12,MUD,93,,,
AFN,2,11,CALLSTA,5,E,,
AFN,2,11,PERSSP,0.1,U,,
AFN,2,11,SAGILAT,0.1,N,,
AFN,2,11,VEROANA,0.1,E,,
AFN,2,11,ALISTRI,0.1,N,,
AFN,2,11,MUD,95,,,
AFN,1,1,CARELYN,25,N,76,
AFN,1,1,LYTHSAL,0.1,I,,
AFN,1,1,IRISPSE,1,I,,
AFN,1,1,PERSSP,5,U,,
AFN,1,1,AGROSTO,0.1,E,,
AFN,1,1,PHALARU,0.1,I,,
AFN,1,1,MUD,69,,,
AFN,1,1,ELEOPAL,0.1,N,,
AFN,1,15,CARELYN,60,N,107,
AFN,1,15,MYOSSCO,1,E,,
AFN,1,15,AGROSTO,0.1,E,,
AFN,1,15,MUD,39,,,
AFN,1,7,CARELYN,90,N,104,
AFN,1,7,AGROSTO,0.1,E,,
AFN,1,7,MYOSSCO,0.1,E,,
AFN,1,7,MUD,10,,,
AFN,2,14,TYPHLAT,10,N,,Bird's nest
AFN,2,14,LITTER,50,,,
AFN,2,14,LILLOCC,1,N,,
AFN,2,14,SAGILAT,0.1,N,,
AFN,2,14,MYOSSCO,0.1,E,,
AFN,2,14,CALLSTA,0.1,E,,
AFN,2,14,MUD,39,,,
AFN,1,3,CARELYN,90,N,127,
AFN,1,3,AGROSTO,4,E,,
AFN,1,3,MUD,6,,,
AFN,1,17,CARELYN,40,N,128,
AFN,1,17,PHALARU,1,I,,
AFN,1,17,AGROSTO,5,E,,
AFN,1,17,MUD,49,,,
AFN,1,17,LITTER,5,,,
AFN,1,6,CARELYN,55,N,127,
AFN,1,6,AGROSTO,7,E,,
AFN,1,6,MUD,38,,,
AFN,1,20,CARELYN,60,N,112,
AFN,1,20,AGROSTO,1,E,,
AFN,1,20,MYOSSCO,0.1,E,,
AFN,1,20,MUD,39,,,
AFN,1,9,CARELYN,40,N,121,
AFN,1,9,AGROSTO,0.1,E,,
AFN,1,9,MUD,60,,,
AFN,2,13,PHALARU,10,I,,
AFN,2,13,MYOSSCO,0.1,,,
AFN,2,13,MUD,88,,,
AFN,2,13,LITTER,2,,,
AFN,2,13,AGROSTO,0.1,,,
AFN,2,13,CALLSTA,0.1,,,
AFN,1,5,CARELYN,18,N,115,
AFN,1,5,PHALARU,10,I,,
AFN,1,5,SAGILAT,3,N,,
AFN,1,5,ELODCAN,2,N,,
AFN,1,5,ALISTRI,0.1,N,,
AFN,1,5,CALLSTA,0.1,E,,
AFN,1,5,MUD,67,,,
AFN,2,24,SAGILAT,1,N,,
