Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
Frenchies,1,1-02A,AGROSTO,0.1,E,,
Frenchies,1,1-03A,AGROSTO,0.1,E,,
Frenchies,1,1-03A,ALISTRI,2,N,,
Frenchies,1,5-03B,ALISTRI,0.5,N,,
Frenchies,1,7-04A,ALISTRI,0.5,N,,
Frenchies,1,8-01A,ALISTRI,1,N,,
Frenchies,1,8-03B,ALISTRI,0.5,N,,
Frenchies,1,9-04A,ALISTRI,1,N,,
Frenchies,1,1-02A,BIDECER,0.1,N,,
Frenchies,1,1-03A,ELEOPAL,0.1,N,,
Frenchies,1,1-02A,IRISPSE,2,I,,
Frenchies,1,4-03A,IRISPSE,1,I,,
Frenchies,1,5-03B,LILAOCC,1.5,N,,
Frenchies,1,1-02A,LITTER,70,S,,
Frenchies,1,1-03A,LITTER,31,S,,
Frenchies,1,2-01A,LITTER,85,S,,
Frenchies,1,2-02A,LITTER,86,S,,
Frenchies,1,3-01B,LITTER,72,S,,
Frenchies,1,3-03A,LITTER,78,S,,
Frenchies,1,3-04A,LITTER,93,S,,
Frenchies,1,4-02A,LITTER,84,S,,
Frenchies,1,4-03A,LITTER,93,S,,
Frenchies,1,5-01B,LITTER,90,S,,
Frenchies,1,5-02B,LITTER,95,S,,
Frenchies,1,5-03B,LITTER,5,S,,
Frenchies,1,7-03A,LITTER,87,S,,
Frenchies,1,7-04A,LITTER,45,S,,
Frenchies,1,8-01A,LITTER,37,S,,
Frenchies,1,8-02B,LITTER,94,S,,
Frenchies,1,8-03B,LITTER,10,S,,
Frenchies,1,8-04B,LITTER,95,S,,
Frenchies,1,9-03A,LITTER,98,S,,
Frenchies,1,9-04A,LITTER,84,S,,
Frenchies,1,1-02A,LYTHSAL,0.1,I,,
Frenchies,1,2-01A,LYTHSAL,0.5,I,,
Frenchies,1,2-02A,LYTHSAL,1,I,,
Frenchies,1,3-01B,LYTHSAL,2,I,,
Frenchies,1,3-03A,LYTHSAL,5,I,,
Frenchies,1,5-01B,LYTHSAL,5,I,,
Frenchies,1,5-02B,LYTHSAL,0.1,I,,
Frenchies,1,7-03A,LYTHSAL,5,I,,
Frenchies,1,8-02B,LYTHSAL,0.5,I,,
Frenchies,1,8-04B,LYTHSAL,3,I,,
Frenchies,1,9-03A,LYTHSAL,0.3,I,,
Frenchies,1,1-02A,MUD,10,S,,
Frenchies,1,1-03A,MUD,40,S,,
Frenchies,1,4-02A,MUD,4,S,,
Frenchies,1,5-03B,MUD,83,S,,
Frenchies,1,7-04A,MUD,15,S,,
Frenchies,1,8-01A,MUD,37,S,,
Frenchies,1,8-03B,MUD,70,S,,
Frenchies,1,9-04A,MUD,10,S,,
Frenchies,1,2-02A,PERSAMP,1,N,,
Frenchies,1,3-01B,PERSAMP,1,N,,
Frenchies,1,3-03A,PERSAMP,5,N,,
Frenchies,1,4-02A,PERSAMP,0.1,N,,
Frenchies,1,5-01B,PERSAMP,2,N,,
Frenchies,1,8-02B,PERSAMP,0.1,N,,
Frenchies,1,8-04B,PERSAMP,0.5,N,,
Frenchies,1,1-02A,PHALARU,0.5,I,,
Frenchies,1,2-02A,PHALARU,5,I,,
Frenchies,1,3-03A,PHALARU,2,I,,
Frenchies,1,7-03A,PHALARU,1,I,,
Frenchies,1,1-03A,SAGILAT,2,N,,
Frenchies,1,5-03B,SAGILAT,0.1,N,,
Frenchies,1,8-02B,SCHOETAB,0.1,N,,
Frenchies,1,8-03B,SCHOETAB,0.1,N,,
Frenchies,1,8-04B,SCHOETAB,0.5,N,,
Frenchies,1,4-02A,SIUMSUA,0.1,N,,
Frenchies,1,8-03B,SIUMSUA,0.1,N,,
Frenchies,1,1-02A,TYPHGLA,20,I,,
Frenchies,1,1-03A,TYPHGLA,25,I,,
Frenchies,1,2-01A,TYPHGLA,15,I,,
Frenchies,1,2-02A,TYPHGLA,7,I,,
Frenchies,1,3-01B,TYPHGLA,25,I,,
Frenchies,1,3-03A,TYPHGLA,10,I,,
Frenchies,1,3-04A,TYPHGLA,7,I,,
Frenchies,1,4-02A,TYPHGLA,12,I,,
Frenchies,1,4-03A,TYPHGLA,6,I,,
Frenchies,1,5-01B,TYPHGLA,3,I,,
Frenchies,1,5-02B,TYPHGLA,5,I,,
Frenchies,1,5-03B,TYPHGLA,10,I,,
Frenchies,1,7-03A,TYPHGLA,7,I,,
Frenchies,1,7-04A,TYPHGLA,40,I,,
Frenchies,1,8-01A,TYPHGLA,25,I,,
Frenchies,1,8-02B,TYPHGLA,6,I,,
Frenchies,1,8-03B,TYPHGLA,20,I,,
Frenchies,1,8-04B,TYPHGLA,2,I,,
Frenchies,1,9-03A,TYPHGLA,2,I,,
Frenchies,1,9-04A,TYPHGLA,5,I,,
Frenchies,1,8-04B,TYPHLAT,2,N,,
