Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
Glenrose down,1,11,SAGILAT,0.1,N,,
Glenrose down,1,11,CARELYN,32,N,116,
Glenrose down,1,11,JUNCBAL,1,N,,
Glenrose down,1,11,WOOD,15,N,,
Glenrose down,1,11,MUD,55,N,,
Glenrose down,1,8,CARELYN,60,N,138,
Glenrose down,1,8,LYTHSAL,4,I,,
Glenrose down,1,8,JUNCBAL,3,N,,
Glenrose down,1,8,SCHOTAB,0.1,N,,
Glenrose down,1,8,MUD,40,N,,
Glenrose down,1,1,CARELYN,45,N,135,
Glenrose down,1,1,TYPHLAT,3,N,,
Glenrose down,1,1,TYPHANG,1,I,,
Glenrose down,1,1,JUNCBAL,1,N,,
Glenrose down,1,1,LITTER,1,N,,
Glenrose down,1,1,MUD,50,N,,
Glenrose down,1,6,CARELYN,30,N,131,evidence of herbivory
Glenrose down,1,6,JUNCBAL,30,N,,
Glenrose down,1,6,MUD,40,N,,
Glenrose down,1,15,CARELYN,35,N,122,
Glenrose down,1,15,JUNCBAL,30,N,,
Glenrose down,1,15,OENASAR,0.1,N,,
Glenrose down,1,15,MUD,40,N,,
Glenrose down,1,17,CARELYN,20,N,135,herbivory
Glenrose down,1,17,JUNCBAL,50,N,,
Glenrose down,1,17,MUD,30,N,,
Glenrose down,1,20,CARELYN,65,N,145,
Glenrose down,1,20,SCHOTAB,32,N,,
Glenrose down,1,20,SAGILAT,0.1,N,,
Glenrose down,1,20,LITTER,4,N,,
Glenrose down,1,20,MUD,30,N,,
Glenrose down,1,7,JUNCBAL,20,N,,
Glenrose down,1,7,CARELYN,65,N,127,
Glenrose down,1,7,MUD,20,N,,
Glenrose down,1,4,TYPHLAT,0.1,N,,
Glenrose down,1,4,CARELYN,70,N,137,
Glenrose down,1,4,JUNCBAL,2,N,,
Glenrose down,1,4,LYTHSAL,1,I,,
Glenrose down,1,4,MUD,30,N,,
Glenrose down,1,18,JUNCBAL,70,N,,
Glenrose down,1,18,CARELYN,15,N,128,
Glenrose down,1,18,MUD,15,N,,
Glenrose down,1,13,JUNCEFF,3,N,,
Glenrose down,1,13,JUNCBAL,2,N,,
Glenrose down,1,13,CARELYN,70,N,,
Glenrose down,1,13,MUD,25,N,,
Glenrose down,1,16,CARELYN,45,N,154,
Glenrose down,1,16,JUNCBAL,13,N,,
Glenrose down,1,16,MUD,50,N,,
Glenrose down,1,10,JUNCBAL,0.1,N,,
Glenrose down,1,10,PHALARU,17,I,,
Glenrose down,1,10,CARELYN,22,N,132,
Glenrose down,1,10,MUD,61,N,,
Glenrose down,1,9,JUNCBAL,95,N,,
Glenrose down,1,9,CARELYN,0.1,N,94,
