Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
Glenrose upstream,1,11,AGROSTO,0.1,E,,
Glenrose upstream,1,14,AGROSTO,0.1,E,,
Glenrose upstream,1,3,AGROSTO,1,E,,
Glenrose upstream,1,9,AGROSTO,1,E,,
Glenrose upstream,1,16,AGROSTO,20,E,,
Glenrose upstream,1,21,AGROSTO,3,E,,
Glenrose upstream,1,19,BIDECER,0.1,N,,
Glenrose upstream,1,9,BIDECER,0.1,N,,
Glenrose upstream,1,9,CALLSTA,0.1,E,,
Glenrose upstream,1,7,CARDSP,0.1,U,,
Glenrose upstream,1,18,CARDSP,0.1,U,,
Glenrose upstream,1,4,CARELYN,2,N,74,
Glenrose upstream,1,5,CARELYN,5,N,92,
Glenrose upstream,1,6,CARELYN,5,N,91,
Glenrose upstream,1,10,CARELYN,0.1,N,98,
Glenrose upstream,1,17,CARELYN,0.1,N,31,
Glenrose upstream,1,15,CARELYN,0.1,N,7,
Glenrose upstream,1,20,CARELYN,8,N,85,
Glenrose upstream,1,12,CARELYN,2,N,77,
Glenrose upstream,1,13,CARELYN,1,N,90,
Glenrose upstream,1,14,CARELYN,1,N,51,
Glenrose upstream,1,19,CARELYN,4,N,83,
Glenrose upstream,1,8,CARELYN,0.1,N,62,planted in rip-rap
Glenrose upstream,1,9,CARELYN,0.1,N,18,heavily grazed
Glenrose upstream,1,21,CARELYN,2,N,60,"49.162533, -122.934228"
Glenrose upstream,1,3,CAREOBN,50,N,,
Glenrose upstream,1,11,CIRSARV,1,E,,
Glenrose upstream,1,20,CREPCAP,0.1,E,,
Glenrose upstream,1,4,ELEOPAL,5,N,,"A=4, B=5, C=6, D=10, Z=15, Y=16, X=21"
Glenrose upstream,1,1,ELEOPAL,0.1,N,,
Glenrose upstream,1,18,ELEOPAL,25,N,,
Glenrose upstream,1,16,ELEOPAL,1,N,,"49.162503, -122.934294"
Glenrose upstream,1,21,ELEOPAL,0.1,N,,
Glenrose upstream,1,3,GALITRI,0.1,N,,
Glenrose upstream,1,16,GALITRI,0.1,N,,
Glenrose upstream,1,21,GALITRI,0.1,N,,
Glenrose upstream,1,16,GRATEBR,0.1,N,,
Glenrose upstream,1,1,IMPAPAR,0.1,E,,
Glenrose upstream,1,4,JUNCART,10,N,,
Glenrose upstream,1,6,JUNCART,0.1,N,,
Glenrose upstream,1,2,JUNCART,0.1,N,,
Glenrose upstream,1,15,JUNCART,0.1,N,,
Glenrose upstream,1,1,JUNCART,2,N,,
Glenrose upstream,1,11,JUNCART,3,N,,
Glenrose upstream,1,20,JUNCART,1,N,,
Glenrose upstream,1,18,JUNCART,3,N,,
Glenrose upstream,1,13,JUNCART,0.1,N,,
Glenrose upstream,1,14,JUNCART,5,N,,
Glenrose upstream,1,19,JUNCART,4,N,,
Glenrose upstream,1,3,JUNCART,0.1,N,,
Glenrose upstream,1,8,JUNCART,6,N,,
Glenrose upstream,1,9,JUNCART,1,N,,
Glenrose upstream,1,16,JUNCART,15,N,,
Glenrose upstream,1,21,JUNCART,1,N,,
Glenrose upstream,1,5,JUNCBAL,72,N,,
Glenrose upstream,1,6,JUNCBAL,35,N,,
Glenrose upstream,1,10,JUNCBAL,95,N,,
Glenrose upstream,1,2,JUNCBAL,4,N,,
Glenrose upstream,1,17,JUNCBAL,50,N,,
Glenrose upstream,1,15,JUNCBAL,0.1,N,,
Glenrose upstream,1,7,JUNCBAL,100,N,,
Glenrose upstream,1,1,JUNCBAL,0.1,N,,
Glenrose upstream,1,20,JUNCBAL,3,N,,
Glenrose upstream,1,13,JUNCBAL,35,N,,
Glenrose upstream,1,14,JUNCBAL,0.1,N,,
Glenrose upstream,1,1,JUNCEFF,5,N,,
Glenrose upstream,1,3,JUNCEFF,0.1,N,,
Glenrose upstream,1,21,JUNCTEN,2,N,,
Glenrose upstream,1,4,LILLOCC,3,N,,location on ipad
Glenrose upstream,1,6,LILLOCC,2,N,,
Glenrose upstream,1,15,LILLOCC,1,N,,
Glenrose upstream,1,12,LILLOCC,0.1,N,,
Glenrose upstream,1,18,LILLOCC,1,N,,
Glenrose upstream,1,9,LIMOAQU,0.1,N,,
Glenrose upstream,1,4,LITTER,0.1,S,,
Glenrose upstream,1,2,LOG,15,S,,
Glenrose upstream,1,12,LOG,6,S,,
Glenrose upstream,1,21,LOTUCOR,3,E,,
Glenrose upstream,1,17,LYCOEUR,0.1,E,,
Glenrose upstream,1,11,LYCOEUR,0.1,E,,
Glenrose upstream,1,13,LYCOEUR,1,E,,
Glenrose upstream,1,14,LYCOEUR,0.1,E,,
Glenrose upstream,1,3,LYCOEUR,0.1,E,,
Glenrose upstream,1,9,LYCOEUR,0.1,E,,
