Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
REF14,1,5,ALISTRI,0.1,N,,
REF14,1,2,CALLSTA,0.1,E,,
REF14,1,13,CALLSTA,0.1,E,,
REF14,1,8,CALLSTA,0.1,E,,
REF14,1,7,CALLSTA,1,E,,
REF14,1,12,CALLSTA,0.1,E,,
REF14,1,4,CALLSTA,0.1,E,,
REF14,1,1,CALYSEP,0.1,I,,
REF14,1,16,CARELYN,40,N,87,
REF14,1,17,CARELYN,45,N,17,Foreshore
REF14,1,2,CARELYN,87,N,129,
REF14,1,20,CARELYN,80,N,140,
REF14,1,19,CARELYN,75,N,90,
REF14,1,13,CARELYN,40,N,139,
REF14,1,8,CARELYN,10,N,89,
REF14,1,7,CARELYN,85,N,139,
REF14,1,6,CARELYN,47,N,102,
REF14,1,12,CARELYN,68,N,113,
REF14,1,4,CARELYN,73,N,109,
REF14,1,11,CARELYN,4,N,85,
REF14,1,3,CARELYN,57,N,117,
REF14,1,14,CARELYN,43,N,95,
REF14,1,10,CARELYN,25,N,,
REF14,1,9,CARELYN,60,N,66,Herbivory 
REF14,1,18,CARELYN,50,N,113,Channel adjacent
REF14,1,5,CARELYN,50,N,72,
REF14,1,15,CARELYN,60,N,85,
REF14,1,1,CARELYN,2,N,120,
REF14,1,16,ELEOPAL,15,N,,
REF14,1,17,ELEOPAL,2,N,,
REF14,1,2,ELEOPAL,1,N,,
REF14,1,20,ELEOPAL,0.1,N,,
REF14,1,13,ELEOPAL,0.1,N,,
REF14,1,12,ELEOPAL,3,N,,
REF14,1,4,ELEOPAL,7,N,,
REF14,1,20,JUNCBAL,3,N,,
REF14,1,19,JUNCBAL,1,N,,
REF14,1,13,JUNCBAL,10,N,,
REF14,1,8,JUNCBAL,25,N,,
REF14,1,11,JUNCBAL,90,N,,
REF14,1,1,JUNCBAL,45,N,,
REF14,1,11,LILLOCC,1,N,,
REF14,1,1,LILLOCC,0.1,N,,
REF14,1,3,LITTER,0.1,S,,
REF14,1,14,LITTER,0.1,S,,
REF14,1,10,LITTER,0.1,S,,
REF14,1,1,LYTHSAL,1,I,,
REF14,1,16,MUD,45,S,,
REF14,1,17,MUD,53,S,,
REF14,1,2,MUD,11,S,,
REF14,1,20,MUD,17,S,,
REF14,1,19,MUD,20,S,,
REF14,1,13,MUD,48,S,,
REF14,1,8,MUD,65,S,,
REF14,1,7,MUD,14,S,,
REF14,1,6,MUD,52,S,,
REF14,1,12,MUD,27,S,,
REF14,1,4,MUD,20,S,,
REF14,1,11,MUD,5,S,,
REF14,1,3,MUD,43,S,,
REF14,1,14,MUD,55,S,,
REF14,1,10,MUD,75,S,,
REF14,1,9,MUD,40,S,,
REF14,1,18,MUD,40,S,,
REF14,1,5,MUD,50,S,,
REF14,1,15,MUD,40,S,,
REF14,1,1,MUD,20,S,,
REF14,1,13,POTAFOL,0.1,N,,
REF14,1,6,POTAFOL,1,N,,
REF14,1,12,POTAFOL,2,N,,
REF14,1,18,POTAFOL,0.1,N,,
REF14,1,2,SCHOTAB,1,N,,
REF14,1,6,SCHOTAB,0.1,N,,
REF14,1,14,SCHOTAB,1,N,,
REF14,1,9,SCHOTAB,0.1,N,,
REF14,1,3,SIUMSUA,0.1,N,,
REF14,1,16,TRIGMAR,0.1,N,,
REF14,1,19,TRIGMAR,0.1,N,,
REF14,1,13,WOOD,2,S,,
REF14,1,3,WOOD,0.1,S,,
REF14,1,1,WOOD,33,S,,
