Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
Ref9,1,12,CARELYN,20,N,113,
Ref9,1,12,AGROSTO,13,E,,
Ref9,1,12,EQUIFLU,18,N,,
Ref9,1,12,LYTHSAL,4,I,,
Ref9,1,12,MYOSSCO,0.1,E,,
Ref9,1,12,PHALARU,0.1,I,,
Ref9,1,12,ELEOPAL,0.1,N,,
Ref9,1,12,SCHOTAB,0.1,N,,
Ref9,1,12,MUD,40,N,,
Ref9,1,12,LITTER,5,N,,
Ref9,1,9,MYOSSCO,2,E,,
Ref9,1,9,EQUIFLU,5,N,,
Ref9,1,9,SCHOTAB,0.1,N,,
Ref9,1,9,SAGILAT,0.1,N,,
Ref9,1,9,CARELYN,2,N,108,
Ref9,1,9,AGROSTO,30,E,,
Ref9,1,9,MUD,50,N,,
Ref9,1,9,LITTER,10,N,,
Ref9,1,9,ELEOPAL,2,N,,
Ref9,1,16,CARELYN,5,N,149,
Ref9,1,16,EQUIFLU,1,N,,
Ref9,1,16,ALISTRI,1,N,,
Ref9,1,16,SAGILAT,0.1,N,,
Ref9,1,16,PHALARU,0.1,I,,
Ref9,1,16,OENASAR,1,N,,
Ref9,1,16,MYOSSCO,1,E,,
Ref9,1,16,SCHOTAB,0.1,N,,
Ref9,1,16,AGROSTO,45,E,,
Ref9,1,16,BIDECER,0.1,N,,
Ref9,1,16,GLYCSP,1,N,,
Ref9,1,16,MUD,32,N,,
Ref9,1,16,LITTER,13,N,,
Ref9,1,18,LYTHSAL,3,I,,
Ref9,1,18,MYOSSCO,0.1,E,,
Ref9,1,18,SCHOTAB,1,N,,
Ref9,1,18,EQUIFLU,3,N,,
Ref9,1,18,AGROSTO,43,E,,
Ref9,1,18,GLYCSP,0.1,N,,
Ref9,1,18,SIUMSUA,0.1,N,,
Ref9,1,18,BIDECER,0.1,N,,
Ref9,1,18,CARELYN,1,N,104,
Ref9,1,18,EQUIARV,0.1,N,,
Ref9,1,18,MUD,50,N,,
Ref9,1,14,GLYCSP,1,N,,
Ref9,1,14,EPILCIL,1,N,,
Ref9,1,14,ALISTRI,0.1,N,,
Ref9,1,14,LYTHSAL,5,I,,
Ref9,1,14,EQUIFLU,0.1,N,,
Ref9,1,14,AGROSTO,5,E,,
Ref9,1,14,MYOSSCO,0.1,E,,
Ref9,1,14,SCHOTAB,0.1,N,,
Ref9,1,14,BIDECER,0.1,N,,
Ref9,1,14,CALLSTA,5,N,,
Ref9,1,14,CARELYN,2,N,101,
Ref9,1,14,MUD,76,N,,
Ref9,1,14,LITTER,5,N,,
Ref9,1,13,LYTHSAL,45,I,,
Ref9,1,13,CARELYN,1,N,123,
Ref9,1,13,EQUIFLU,0.1,N,,
Ref9,1,13,GLYCSP,0.1,N,,
