PLOT_CODE,RIVER,CARELYN,IRISPSE,LYTHSAL,PHALARU,TYPHGLA,ELEVATION,KM_UPRIVER
01-001-1-1,Fraser,NA,NA,NA,NA,0,NA,0.44
01-001-1-2,Fraser,NA,NA,NA,NA,0,NA,0.44
01-001-1-3,Fraser,NA,NA,NA,NA,0,NA,0.44
01-003-A-2-1,Fraser,NA,NA,NA,NA,0,0.261447,24.56
01-003-A-2-2,Fraser,NA,NA,NA,NA,NA,0.393227,24.56
01-003-A-2-3,Fraser,NA,NA,NA,NA,NA,-0.02978,24.56
01-003-A-2-4,Fraser,NA,NA,NA,NA,NA,0.040111,24.56
01-003-A-2-5,Fraser,NA,NA,NA,NA,NA,0.158774,24.56
01-003-B-1-1,Fraser,0,5.9829,0,3.4188,0,1.330323935,24.43
01-003-B-1-2,Fraser,45.1613,0,3.2258,0,0,0.876319528,24.43
01-003-B-1-3,Fraser,9.7826,0,21.7391,0,0,1.150216222,24.43
01-003-B-1-4,Fraser,51.1945,0,0,1.3652,0,1.288917065,24.43
01-003-B-1-5,Fraser,2.1739,0,0,10.8696,0,1.290433288,24.43
01-003-B-1-6,Fraser,0.6993,0,0,5.5944,0,1.209460139,24.43
01-003-B-1-7,Fraser,12.2951,0,16.3934,0,0,1.210000038,24.43
01-003-B-2-1,Fraser,0,0,0,0,0,0.859675467,24.43
01-003-B-2-2,Fraser,12.6984,0,6.3492,0,0,1.009783745,24.43
01-003-B-2-3,Fraser,0,0,2.5641,0,0,0.569351196,24.43
01-008-1-01,Fraser,0,NA,0.7634,0,70.229,1.13994503,21.42
01-008-1-02,Fraser,0,NA,20.1835,0,0,1.049945235,21.42
01-008-1-03,Fraser,0,NA,0,0,0,1.200000048,21.42
01-008-1-04,Fraser,84.507,NA,1.8779,0,0,0.950054407,21.42
01-008-1-05,Fraser,0,NA,2.381,0,0,1.469779491,21.42
01-008-1-06,Fraser,0,NA,12.0482,0,0,1.100000024,21.42
01-008-1-07,Fraser,0,NA,0,0,0,1.159944654,21.42
01-008-1-08,Fraser,0,NA,6.8966,0,0,0.93005383,21.42
01-008-1-09,Fraser,0,NA,0,0,0,1.200330377,21.42
01-008-1-10,Fraser,0.9259,NA,0,0,0,1.080000043,21.42
01-008-1-11,Fraser,0,NA,1.7241,0,0,0.959671855,21.42
01-008-1-12,Fraser,0,NA,0,0,0,1.119944692,21.42
01-008-1-13,Fraser,0,NA,2.7778,0,0,1.080164075,21.42
01-008-1-14,Fraser,41.5584,NA,0,0,0,1.080108285,21.42
01-008-1-15,Fraser,10.8696,NA,0,0,0,0.970107675,21.42
01-008-1-16,Fraser,0,NA,0,0,0,1.049945951,21.42
01-008-1-17,Fraser,0,NA,0,0,0,1.320055127,21.42
01-008-1-18,Fraser,0,NA,2.9126,0.9709,0,1.109834552,21.42
01-008-1-19,Fraser,0,NA,0,2.3392,0,1.060054779,21.42
01-008-1-20,Fraser,6.25,NA,7.5,0,0,1.000054479,21.42
02-001-1-10,Fraser,NA,0,NA,0,0,1.070034266,10.46
02-001-1-13,Fraser,NA,0,NA,0,0,1.099979281,10.46
02-001-1-14,Fraser,NA,0,NA,0,0,1.219967484,10.46
02-001-1-16,Fraser,NA,0,NA,0,0,0.900076091,10.46
02-001-1-2,Fraser,NA,0,NA,0,0,0.790003538,10.46
02-001-1-20,Fraser,NA,0,NA,0,0,0.800013542,10.46
02-001-1-21,Fraser,NA,0,NA,0,0,1.129989505,10.46
02-001-1-22,Fraser,NA,0,NA,0,0,0.920010686,10.46
02-001-1-23,Fraser,NA,0,NA,0,0,0.99000001,10.46
02-001-1-24,Fraser,NA,35.2941,NA,0,0,1.009994626,10.46
02-001-1-25,Fraser,NA,0,NA,0,0,1.130012631,10.46
02-001-1-26,Fraser,NA,0,NA,0,0,0.839960694,10.46
02-001-1-27,Fraser,NA,0,NA,0,0,1.069963098,10.46
02-001-1-28,Fraser,NA,0,NA,0,0,1.00999999,10.46
02-001-1-29,Fraser,NA,0,NA,0,0,0.980033815,10.46
02-001-1-3,Fraser,NA,0,NA,0,0,0.740012884,10.46
02-001-1-33,Fraser,NA,0,NA,0,0,0.710033298,10.46
02-001-1-36,Fraser,NA,0,NA,0,0,0.880021036,10.46
02-001-1-37,Fraser,NA,0,NA,0,0,1.129973412,10.46
02-001-1-38,Fraser,NA,0,NA,0,0,0.680007041,10.46
02-001-1-4,Fraser,NA,0,NA,50,0,0.400024146,10.46
02-001-1-40,Fraser,NA,0,NA,0,0,0.660033345,10.46
02-001-1-5,Fraser,NA,0,NA,0,0,1.009995341,10.46
02-001-1-6,Fraser,NA,0,NA,0,0,1.099995375,10.46
02-001-1-7,Fraser,NA,0,NA,0,0,1.150019526,10.46
02-001-2-1,Fraser,NA,0,NA,0,0,0.630083561,10.46
02-001-2-11,Fraser,NA,0,NA,0,0,0.490007281,10.46
02-001-2-15,Fraser,NA,0,NA,0,0,0.47999236,10.46
02-001-2-17,Fraser,NA,0,NA,0,0,0.53000927,10.46
02-001-2-18,Fraser,NA,0,NA,0,0,0.640004337,10.46
02-001-2-30,Fraser,NA,0,NA,0,0,0.569998026,10.46
02-001-2-34,Fraser,NA,0,NA,0,0,0.450004041,10.46
02-001-2-35,Fraser,NA,0,NA,0,0,0.389959484,10.46
02-001-2-39,Fraser,NA,0,NA,0,0,0.420049936,10.46
02-001-2-8,Fraser,NA,0,NA,0,0,0.410063028,10.46
02-001-2-9,Fraser,NA,0,NA,0,0,0.059999999,10.46
02-001-3-1,Fraser,NA,NA,NA,NA,NA,0.680030465,10.46
02-001-3-15,Fraser,NA,0,NA,0,0,0.580040932,10.46
02-001-3-2,Fraser,NA,NA,NA,NA,NA,0.760023236,10.46
02-001-3-3,Fraser,NA,NA,NA,NA,NA,0.560043454,10.46
02-001-3-31,Fraser,NA,31.5789,NA,0,0,1.050044537,10.46
02-001-3-4,Fraser,NA,0,NA,0,0,0.840057075,10.46
02-001-3-5,Fraser,NA,0,NA,0,0,0.850038469,10.46
02-001-3-6,Fraser,NA,0,NA,0,0,0.690098405,10.46
02-001-3-7,Fraser,NA,0,NA,0.8197,0,0.520121753,10.46
02-001-3-8,Fraser,NA,0,NA,0,0,1.010062337,10.46
02-002-1-01,Fraser,44.0529,0,1.7621,0,0,1.169999957,12.36
02-002-1-02,Fraser,0,0,23.5294,0,0,1.179999948,12.36
02-002-1-03,Fraser,19.0476,0,0,0,0,1.190000057,12.36
02-002-1-04,Fraser,0,14.7368,0,0,0,1.330000043,12.36
02-002-1-05,Fraser,0,0,25,0,0,1.149999976,12.36
02-002-1-06,Fraser,3.6036,0,7.2072,0,0,1.200000048,12.36
02-002-1-07,Fraser,20.4819,0,0,0,0,1.220000029,12.36
02-002-1-08,Fraser,45.5696,0,0,2.5316,0,0.920000017,12.36
02-002-1-09,Fraser,0,0,0,0,0,1.129999995,12.36
02-002-1-10,Fraser,11.3636,0,0,0,0,0.589999974,12.36
02-002-1-11,Fraser,4,0,13.3333,9.3333,0,1.200000048,12.36
02-002-1-12,Fraser,34.8718,0,4.1026,0,0,1.24000001,12.36
02-002-1-13,Fraser,10.989,0,13.1868,0,0,0.879999995,12.36
02-002-1-14,Fraser,0,0,0,0,0,0.899999976,12.36
02-002-1-15,Fraser,0,0,0,0,0,1.25999999,12.36
02-003-A-1-1,Fraser,0,0,3.8462,0,0,1.190000057,13.05
02-003-A-1-10,Fraser,1.2903,0,29.6774,0,0,1.25999999,13.05
02-003-A-1-11,Fraser,50.3876,0,0,0,0,1.090000033,13.05
02-003-A-1-12,Fraser,72.0339,3.3898,5.9322,1.6949,0,1.549999952,13.05
02-003-A-1-13,Fraser,42.5532,0,0,2.5532,0,1.220000029,13.05
02-003-A-1-14,Fraser,51.3834,0,3.9526,0,0,1.379999995,13.05
02-003-A-1-15,Fraser,50.1845,0,14.7601,0.738,0,1.909999967,13.05
