SITE_ID,REFERENCE,SAMPLE_YEAR,TYPE,INLAND,SHEAR_BOOM,DEBRIS_FENCE,OFFSHORE_STRUCTURE,SLOUGH,CREATION_YR,AGE,SAMPLING_AGE,AREA_MAPPED,AREA_MAPPED_K,AREA_MAPPED_K2,AREA_INTENDED,RIVER,ARM,Easting,DIST_UPRIVER,DIST_UPRIVER_KM,SW_INFL,PRCNT_EDGE,PRCNT_EDGE2,PRCNT_LOG1,PRCNT_LOG2,PRCNT_MUDFLAT,PRCNT_MARSH,RECESSED_AREA,GRAZING,ELEV_MEAN,ELEV_SD,ELEV_MIN,ELEV_MAX,CARELYN_MH,CARELYN_SD,COM1_ARich,COM1_ARich_SD,COM1_NRich,COM1_NRICH_SD,COM1_ShannDiv,COM1_ShannDiv_SD,COM1_SimpDiv,COM1_SimpDiv_SD,RC_Native,RC_NativeSD,RC_NonNative,RC_NonNativeSD,RC_Invasive,RC_InvasiveSD,RC_Unknown,RC_UnknownSD,TYPHA_PRES,CARELYN,IRISPSE,LYTHSAL,PHALARU,TYPHGLA
00-001,NO,2021,Inline,No,Absent,Absent,Absent,No,2003,19,18,20.59,0.02,0.00002,20,Fraser,North,484450,443,0.443,Yes,0,0,0,0,0,100,0,0,1.19,0.11,0.98,1.37,NA,NA,3,1.73,3,1.73,0.09,0.1,0.03,0.04,100,0,0,0,0,0,0,0,N,0,0,0,0,0
02-011,NO,2021,Basin,Yes,Absent,Present,Absent,No,2013,9,8,4214.35,4.21,0.00421,5210,Fraser,North,491563,8477,8.477,Yes,0,0,0,0,0,100,0,0,0.98,0.34,0.31,3,170.95,19.34,2.95,1.23,2.45,1,0.31,0.39,0.17,0.23,95.74,10.22,0.28,1.24,3.98,10.26,0,0,Y,100,0,5,10,15
05-002,NO,2021,Basin,Yes,Absent,Present,Absent,No,1991,31,30,4356.1,4.36,0.00436,4500,Fraser,North,487841,3224,3.224,Yes,0,0,0,0,0,100,0,0,1.2,0.3,0.71,2.9,141.33,8.5,2.21,1.18,0.63,0.76,0.01,0.04,0.53,0.51,28.03,38.99,0.03,0.07,71.94,39.04,0,0,Y,21,0,11,11,74
09-003,NO,2021,Basin,Yes,Absent,Absent,Absent,Yes,1990,32,31,59309,59.31,0.05931,60349,Fraser,Main,493724,10403,10.403,Yes,0,0,0.1,0,2,100,1186.18,0,1.1,0.38,-0.86,2.9,NA,NA,3.1,2.13,1.45,1.57,0.19,0.32,0.51,0.44,23.17,34.33,1.91,8.53,74.92,36.05,0,0,Y,10,20,20,55,35
10-002-A,NO,2015,Basin,Yes,Absent,Absent,Absent,No,1988,34,27,15320.29,15.32,0.01532,10000,Fraser,Main,497956,15062,15.062,Yes,1.19,0,1.25,0,4,96,612.8116,0,1.22,0.28,0.38,2.88,193.2,59.34,4.05,2.84,2.55,2.19,0.51,0.51,0.47,0.36,47.82,41.65,5,19.11,45.73,43.78,1.45,3.89,Y,15,5,10,20,25
10-002-B,NO,2015,Basin,Yes,Absent,Absent,Absent,No,1988,34,27,3742.3,3.74,0.00374,10000,Fraser,Main,498469,15504,15.504,Yes,2.96,0,0,55,0,45,0,0,1.23,0.22,0.48,2.23,114.6,30.64,10.89,2.62,4.67,2.28,0.85,0.39,0.4,0.19,70.31,15.42,15.43,12.26,12.5,17.26,1.75,2.41,N,89,44,22,56,0
Frenchies,NO,2021,Basin,Yes,Present,Absent,Present,Yes,2010,12,11,19100.32,19.1,0.0191,NA,Fraser,Main,491678,7640,7.64,Yes,0,0,0,0,0,100,0,0,0.96,0.44,-0.1,2.6,NA,NA,3.15,1.31,1.2,1.11,0.23,0.36,0.45,0.43,7.63,10.36,0.04,0.12,92.33,10.36,0,0,Y,0,10,55,20,100
03-004,NO,2015,Basin,Yes,Absent,Present,Absent,No,1994,28,21,6306.73,6.31,0.00631,5365,Fraser,North,488242,4895,4.895,Yes,0,0.650071349,0,0,0,100,0,0,1.15,0.36,0.65,3.01,234,78.63,2.05,1.5,2.4,0.83,0.05,0.11,0.67,0.46,21.12,34.91,1.14,3.5,77.21,36.26,0.53,1.55,Y,10,15,20,0,85
02-013,NO,2021,Basin,Yes,Absent,Present,Absent,No,2007,15,14,539.9,0.54,0.00054,1610,Fraser,North,491467,8372,8.372,Yes,0,0.740740741,0.18,0,0,100,0,0,1.14,0.24,0.67,1.64,159.82,18.1,2.64,1.86,1.55,1.21,0.04,0.12,0.02,0.05,99.25,0.97,0.69,0.99,0.04,0.1,0.03,0.09,N,100,0,9,9,0
09-006,NO,2021,Basin,Yes,Absent,Absent,Absent,Yes,1992,30,29,6583.38,6.58,0.00658,6185,Fraser,Main,493975,9825,9.825,Yes,0.2,1.032963694,1.36,0,5.3,94.7,348.91914,1,1.2,0.32,-0.83,1.99,NA,NA,7.14,2.21,3.93,1.33,0.87,0.38,0.48,0.21,32.15,37.41,29.89,38.58,37.61,42.58,0.35,0.58,Y,29,0,43,64,29
Alex_Fraser_North,NO,2021,Basin,Yes,Absent,Absent,Absent,No,2010,12,11,4247.83,4.25,0.00425,NA,Fraser,Main,504114,21356,21.356,Yes,0,1.506591337,0,0,15.47,84.54,657.139301,1,0.61,0.24,0.16,2.2,118.33,15.67,4.74,2.49,2.52,1.5,0.4,0.45,0.23,0.27,87.64,18.92,6.3,12.48,5.15,16.05,0.91,3.34,N,78,4,9,30,0
