PLOT_CODE,SITE,REFERENCE,SAMPLE_YEAR,TYPE,INLAND,SHEAR_BOOM,LOG_FENCE,OFFSHORE_STRUCTURE,CREATION_YR,AGE,SAMPLING_AGE,AREA_MAPPED,AREA_INTENDED,RIVER,ARM,M_UPRIVER,KM_UPRIVER,GRAZING,ELEVATION,PROX_CHAN,CARELYN_MH,ALL_RICH,NAT_RICH,NN_RICH,SHANN,SIMP,RC_Native,RC_NonNative,RC_Invasive,RC_Unknown
02-005-D-2-3,02-005D,NO,2015,Protruding,N,NO,NO,YES,1992,29,23,193.97,1524,Fraser,North,16143,16.14,1,-0.059824049,0.514113317,NA,2,0,2,0,1,0,1,0,0
12-004-2-29,12-004,NO,2015,Basin,Y,YES,NO,YES,1992,29,23,7474.41,8560,Fraser,Main,21308,21.31,1,0.18008469,6.081593538,NA,1,0,1,0,1,0,1,0,0
12-004-2-08,12-004,NO,2015,Basin,Y,YES,NO,YES,1992,29,23,7474.41,8560,Fraser,Main,21308,21.31,1,0.219233647,7.53659124,NA,2,0,2,0,1,0,0.993789,0,0.006211
02-005-D-1-1,02-005D,NO,2015,Protruding,N,NO,NO,YES,1992,29,23,193.97,1524,Fraser,North,16143,16.14,1,0.27011472,5.703716302,NA,1,0,1,0,1,0,0,1,0
02-005-B-2-1,02-005B,NO,2015,Protruding,N,NO,NO,YES,1992,29,23,337.28,1524,Fraser,North,15965,15.97,1,0.350015283,0.990085179,NA,2,0,2,0,1,0,0.833333,0,0.166667
02-001-2-15,02-001,NO,2015,Protruding,N,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.47999236,25.42321112,NA,2,0,2,0,1,0,0.666667,0.333333,0
03-003-1-09,03-003,NO,2015,Protruding,N,NO,NO,YES,1990,31,25,1108.6,678,Fraser,North,6546,6.55,3,0.479999989,1.672515105,NA,1,0,1,0,1,0,0,1,0
02-001-2-17,02-001,NO,2015,Protruding,N,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.53000927,42.69965801,NA,1,0,1,0,1,0,1,0,0
02-001-2-30,02-001,NO,2015,Protruding,N,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.569998026,29.28170371,NA,2,0,2,0,1,0,0.5,0.5,0
02-005-B-2-3,02-005B,NO,2015,Protruding,N,NO,NO,YES,1992,29,23,337.28,1524,Fraser,North,15965,15.97,1,0.569999993,7.077017529,NA,2,0,2,0,1,0,1,0,0
02-005-B-2-2,02-005B,NO,2015,Protruding,N,NO,NO,YES,1992,29,23,337.28,1524,Fraser,North,15965,15.97,1,0.709999979,2.652566012,NA,2,0,2,0,1,0,0.985915,0,0.014085
09-004-1-1,09-004,NO,2015,Protruding,N,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,0.870394,3.964364749,NA,2,0,2,0,1,0,0,1,0
03-004-1-1,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,0.95,49.18512944,NA,3,0,3,0,1,0,0,1,0
03-004-1-13,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,0.96,56.57222163,NA,3,0,3,0,1,0,0,0.934426,0.065574
