PLOT_CODE,TYPHA_PRESENT,SITE,REFERENCE,SAMPLE_YEAR,TYPE,INLAND,SHEAR_BOOM,LOG_FENCE,OFFSHORE_STRUCTURE,CREATION_YR,AGE,SAMPLING_AGE,AREA_MAPPED,AREA_INTENDED,RIVER,ARM,M_UPRIVER,KM_UPRIVER,GRAZING,ELEVATION,PROX_CHAN,CARELYN_MH,ALL_RICH,NAT_RICH,NN_RICH,SHANN,SIMP,RC_Native,RC_NonNative,RC_Invasive,RC_Unknown
01-003-A-2-3,no,01-003A,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,112.88,627,Fraser,NORTH,24561,24.56,NA,-0.02978,0,NA,0,0,0,0,0,NA,NA,NA,NA
01-003-A-2-4,no,01-003A,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,112.88,627,Fraser,NORTH,24561,24.56,NA,0.040111,0,NA,0,0,0,0,0,NA,NA,NA,NA
01-003-A-2-5,no,01-003A,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,112.88,627,Fraser,NORTH,24561,24.56,NA,0.158774,0.727621,NA,0,0,0,0,0,NA,NA,NA,NA
01-003-A-2-1,no,01-003A,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,112.88,627,Fraser,NORTH,24561,24.56,NA,0.261447,2.771819,NA,2,1,1,0,0,50,50,0,0
01-003-A-2-2,no,01-003A,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,112.88,627,Fraser,NORTH,24561,24.56,NA,0.393227,3.037731,NA,0,0,0,0,0,NA,NA,NA,NA
01-003-B-2-3,no,01-003B,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,NORTH,24427,24.43,2,0.569351196,1.877830628,NA,8,6,2,1.537823,0.745069,94.8718,2.5641,2.5641,0
01-003-B-2-1,no,01-003B,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,NORTH,24427,24.43,2,0.859675467,3.015425804,NA,5,5,0,1.201471,0.642361,100,0,0,0
01-003-B-1-2,no,01-003B,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,NORTH,24427,24.43,2,0.876319528,2.40421328,62,10,6,4,1.246114,0.597551,75.2688,10.7527,3.2258,10.7527
01-003-B-2-2,no,01-003B,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,NORTH,24427,24.43,2,1.009783745,4.22619471,NA,8,7,1,1.70636,0.798621,93.6508,0,6.3492,0
01-003-B-1-3,no,01-003B,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,NORTH,24427,24.43,2,1.150216222,7.491082269,57,15,9,6,1.389689,0.69089,58.1522,20.1087,21.7391,0
01-003-B-1-6,no,01-003B,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,NORTH,24427,24.43,2,1.209460139,2.036390134,75,10,7,3,0.581275,0.238941,80.4196,3.4965,5.5944,10.4895
01-003-B-1-7,no,01-003B,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,NORTH,24427,24.43,2,1.210000038,3.228043222,90,13,9,4,1.33329,0.622737,64.7541,10.6557,16.3934,8.1967
01-003-B-1-4,no,01-003B,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,NORTH,24427,24.43,2,1.288917065,5.553693744,110,12,9,3,1.261503,0.59434,85.6655,0.6826,1.3652,12.2867
01-003-B-1-5,no,01-003B,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,NORTH,24427,24.43,2,1.290433288,7.122489328,90,8,5,3,0.855745,0.445982,73.913,0.7246,10.8696,14.4928
01-003-B-1-1,no,01-003B,NO,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,NORTH,24427,24.43,2,1.330323935,3.390094908,80,10,5,5,0.515441,0.235586,78.6325,3.4188,9.4017,8.547
01-008-1-08,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,0.93005383,16.83749985,130,9,7,2,0.991479,0.558678,96.4912,1.1696,2.3392,0
01-008-1-04,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,0.950054407,10.73597409,116,15,12,3,1.985816,0.83116,95.6522,2.1739,0,2.1739
01-008-1-11,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,0.959671855,8.51222144,77,5,5,0,1.217814,0.658206,100,0,0,0
01-008-1-15,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,0.970107675,10.82899753,45,11,9,2,1.590491,0.743211,77,23,0,0
01-008-1-20,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.000054479,15.38524149,85,9,7,2,1.711547,0.782007,94.4444,2.7778,2.7778,0
01-008-1-02,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.049945235,15.7331686,89,9,7,2,1.474824,0.714581,94.8052,2.5974,0,2.5974
01-008-1-16,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.049945951,7.66277888,115,15,10,5,1.387055,0.615634,51.2931,28.8793,6.8966,12.931
01-008-1-19,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.060054779,15.28961205,98,11,7,4,0.646835,0.282819,92.2414,2.5862,1.7241,3.4483
01-008-1-10,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.080000043,16.86486109,151,15,11,4,1.672909,0.746431,75.2294,3.6697,20.1835,0.9174
01-008-1-14,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.080108285,18.0580569,127,16,11,5,1.52963,0.675095,80.7229,6.0241,12.0482,1.2048
01-008-1-13,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.080164075,18.92679623,NA,8,6,2,1.638506,0.78,95.2381,2.381,2.381,0
01-008-1-06,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.100000024,17.94461287,NA,12,10,2,1.225245,0.532376,95.4545,4.5455,0,0
01-008-1-18,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.109834552,13.62144332,182,11,9,2,1.016651,0.433379,97.2222,2.7778,0,0
01-008-1-12,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.119944692,7.236656144,NA,10,7,3,0.547489,0.218233,95.7746,2.3474,1.8779,0
01-008-1-01,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.13994503,23.70262786,NA,5,2,3,0.214559,0.104938,27.4809,1.5267,70.9924,0
01-008-1-07,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.159944654,9.614544213,151,13,9,4,0.829226,0.343572,84.466,11.6505,3.8835,0
01-008-1-03,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.200000048,16.82574729,NA,5,4,1,0.936637,0.560628,96.1039,3.8961,0,0
01-008-1-09,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.200330377,20.33379137,92,9,7,2,0.994008,0.467724,91.25,1.25,7.5,0
01-008-1-17,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.320055127,11.32749664,142,12,9,3,1.115261,0.509803,95.814,4.186,0,0
01-008-1-05,yes,01-008,NO,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,NORTH,21422,21.42,1,1.469779491,10.16190213,154,6,6,0,1.451225,0.731302,100,0,0,0
02-001-2-9,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.059999999,0.771198522,NA,2,1,1,0,0,50,50,0,0
02-001-2-35,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.389959484,17.38431255,NA,3,2,1,0.636514,0.444444,5.8824,94.1176,0,0
02-001-1-4,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.400024146,26.59312529,62,14,8,6,1.237682,0.603189,79.397,2.0101,15.0754,3.5176
02-001-2-8,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.410063028,6.729595962,NA,5,5,0,1.56071,0.777778,100,0,0,0
02-001-2-39,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.420049936,7.33255913,NA,9,7,2,1.397205,0.622837,51.5152,12.1212,36.3636,0
02-001-2-34,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.450004041,22.01181802,NA,5,4,1,0.40451,0.170799,62.2642,37.7358,0,0
02-001-2-15,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.47999236,25.42321112,NA,2,0,2,0,1,0,66.6667,33.3333,0
02-001-2-11,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.490007281,29.27106724,NA,2,1,1,0,0,1.4085,98.5915,0,0
