PLOT_CODE,TYPHA_PRESENT,SITE,REFERENCE,SAMPLE_YEAR,TYPE,INLAND,SHEAR_BOOM,LOG_FENCE,OFFSHORE_STRUCTURE,CREATION_YR,AGE,SAMPLING_AGE,AREA_MAPPED,AREA_INTENDED,RIVER,ARM,M_UPRIVER,KM_UPRIVER,GRAZING,ELEVATION,ELEV_ADJ,ELEV_ADJ_D,PROX_CHAN,CARELYN_MH,ALL_RICH,NAT_RICH,NN_RICH,SHANN,SIMP,RC_Native,RC_NonNative,RC_Invasive,RC_Unknown
01-003-B-1-1,no,01-003B,No,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,North,24427,24.43,2,1.25,1.05,10.5,3.39,80,10,5,5,0.515441,0.235586,78.6325,3.4188,9.4017,8.547
01-003-B-1-2,no,01-003B,No,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,North,24427,24.43,2,1.159999967,0.959999967,9.59999967,2.4,62,10,6,4,1.246114,0.597551,75.2688,10.7527,3.2258,10.7527
01-003-B-1-3,no,01-003B,No,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,North,24427,24.43,2,1.120000005,0.920000005,9.20000005,7.49,57,15,9,6,1.389689,0.69089,58.1522,20.1087,21.7391,0
01-003-B-1-4,no,01-003B,No,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,North,24427,24.43,2,1.25999999,1.05999999,10.5999999,5.55,110,12,9,3,1.261503,0.59434,85.6655,0.6826,1.3652,12.2867
01-003-B-1-5,no,01-003B,No,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,North,24427,24.43,2,1.24000001,1.04000001,10.4000001,7.12,90,8,5,3,0.855745,0.445982,73.913,0.7246,10.8696,14.4928
01-003-B-1-6,no,01-003B,No,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,North,24427,24.43,2,1.179999948,0.979999948,9.79999948,2.04,75,10,7,3,0.581275,0.238941,80.4196,3.4965,5.5944,10.4895
01-003-B-1-7,no,01-003B,No,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,North,24427,24.43,2,1.139999986,0.939999986,9.39999986,3.23,90,13,9,4,1.33329,0.622737,64.7541,10.6557,16.3934,8.1967
01-003-B-2-1,no,01-003B,No,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,North,24427,24.43,2,0.819999993,0.819999993,8.19999993,3.02,NA,5,5,0,1.201471,0.642361,100,0,0,0
01-003-B-2-2,no,01-003B,No,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,North,24427,24.43,2,0.970000029,0.970000029,9.70000029,4.23,NA,8,7,1,1.70636,0.798621,93.6508,0,6.3492,0
01-003-B-2-3,no,01-003B,No,2015,Embayment,No,NO,NO,NO,1991,30,24,248.09,627,Fraser,North,24427,24.43,2,0.639999986,0.970000029,9.70000029,1.88,NA,8,6,2,1.537823,0.745069,94.8718,2.5641,2.5641,0
