SITE_ID,REFERENCE,TYPE,LOG_BOOM,LOG_FENCE,CREATION_YR,AGE,AREA_MAPPED,AREA_SQM,RIVER,ARM_1,Easting,DIST_UPRIVER,SW_INFL,PRCNT_EDGE,PRCNT_LOG1,PRCENT_LOG2,PRCNT_MUDFLAT,PRCNT_RIPARIAN,PRCNT_MARSH,GRAZING,ELEV_MEAN,ELEV_SD,ELEV_MIN,ELEV_MAX,CHANNEL_PRES,CARELYN_MH,CARELYN_SD,COM1_ARich,COM1_NRich,COM1_SimpDiv,COM1_SimpDiv_SD,COM1_ShanDiv,COM1_ShanDiv_SD,RC_Native,RC_NativeSD,RC_NonNative,RC_NonNativeSD,RC_Invasive,RC_InvasiveSD,RC_Unknown,RC_UnknownSD,Dominant_1,Dominant_2,Sub_Dom,REF_1,REF_2,,Site Description Progres,Kistritz96,
00-001,NO,Bench,NO,NO,2003,18,20.59,20,Fraser,North,484450,443.00,Yes,49.71%,0.00%,0.00%,0.00%,0.00%,100.00%,None,1.190,0.110,0.980,1.370,N,,,3,3,0.032709,,0.087697,,1,0,0,,0,0,0,,,,,REF-17,REF-05-2015,,,,
02-011,NO,Basin,NO,NO,2005,16,4266.09,5210,Fraser,North,491563,8477.00,Yes,0.00%,0.00%,0.00%,2.85%,0.00%,97.15%,None,1.006,0.4141,0.310,4.020,Y,170.950,19.340,2.950,2.450,0.173,,0.312,,96%,0.10,0%,,4%,0.10,0%,,CARELYN 47.2%,NA,NA,REF-05-2015,REF-02-2015,,Need percent cover summary results,,
02-012,NO,Bench,NO,NO,2006,15,103.81,800,Fraser,North,493347,10317.00,Yes,0.00%,,0.00%,100.00%,0.00%,0.00%,High,1.941,0.9410,0.030,2.990,Y,59,NA,6,1.25,0.583678,,0.168071,,0.033527,0.058164,0.017091,,0.935493,0.058164,0.013889,,,,,REF-02-2015,REF-05-2015,,,,
02-013,NO,Basin,NO,YES,2007,14,539.90,1610,Fraser,North,491467,8372.00,Yes,0.00%,0.18%,0.00%,0.00%,0.00%,100.00%,None,1.145,0.2369,0.670,1.640,Y,159.8182,18.09872,2.636364,1.545455,0.01702,,0.039186,,0.992453,0.009722,0.006853,,0.000422,0.009722,0.000271,,,,,REF-05-2015,REF-02-2015,,,,
02-015,NO,Bench,NO,NO,2007,14,354.41,445,Fraser,North,493343,10297.00,Yes,3.68%,2.00%,0.00%,16.77%,0.00%,83.23%,High,0.548,0.2829,-0.040,1.340,Y,,,5.800,4.000,0.346,,0.729,,25%,,0%,,75%,,0%,,,,,REF-02-2015,REF-05-2015,,,,
03-001A,NO,Bench,NO,NO,1985,36,4881.56,,Fraser,North,488892,5574.00,Yes,3.50%,7.00%,3.99%,0.00%,0.00%,96.01%,Low,1.067,0.5626,-0.630,2.580,Y,101.000,,5.154,3.000,0.131,,0.245,,68%,,12%,,20%,,0%,,,,,REF-05-2015,REF-17,,,YES,
03-001B,NO,Bench,NO,NO,1985,36,858.17,,Fraser,North,489031,5808.00,Yes,9.78%,0.00%,0.00%,0.00%,0.00%,100.00%,None,0.582,0.3988,-0.730,1.540,N,94.000,,3.000,2.300,0.105,,0.196,,98%,,1%,,1%,,0%,,,,,REF-05-2015,REF-17,,,YES,
03-002B,NO,Bench,NO,NO,2013,8,2569.27,5937,Fraser,North,489142,5954.00,Yes,8.79%,6.38%,0.00%,59.41%,0.00%,40.59%,High,0.943,0.5604,-0.200,2.100,N,71.000,,4.000,1.750,0.040,,0.077,,73%,,20%,,7%,,0%,,,,,REF-05-2015,REF-17,,,YES,
04-003,NO,Bench,NO,NO,1993,28,574.80,,Fraser,North,486619,4025.00,Yes,9.53%,2.55%,9.89%,0.00%,0.00%,90.11%,None,0.969,0.5550,-0.510,3.340,N,137.000,,5.273,3.273,0.178,,0.333,,80%,,5%,,14%,,0%,,,,,REF-17,REF-05-2015,,,,
05-002,NO,Basin,NO,YES,1991,30,4356.10,4500,Fraser,Middle,487841,3224.00,Yes,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,None,1.198,0.3018,0.712,2.902,Y,141.333,,2.211,0.632,0.531,,0.011,,28%,,0%,,72%,,0%,,,,,REF-17,REF-05-2015,,,YES table 10,
