"","PC_mean","PC_sd"
"blunt spike-rush",1,1.77281052085584
"colonial bentgrass",1.375,3.15945293637092
"common spike-rush",0.125,0.353553390593274
"European forget-me-not ",1.875,2.16712449375401
"little western bitter-cress",0.1875,0.258774584753383
"Lyngbye's sedge ",0.125,0.353553390593274
"marshpepper smartweed",0.125,0.353553390593274
"narrow-leaved bur-reed",37.125,23.4608336229921
"nodding beggarticks",0.1875,0.258774584753383
"pigmyweed",0.25,0.377964473009227
"pond water-starwort",10.125,14.5424256180715
"purple loosestrife",0.25,0.462910049886276
"reed canarygrass",3.125,8.83883476483184
"rice cutgrass",8.25,15.0309205116843
"small spike-rush",0.1875,0.372011904571422
"soft-stemmed bulrush",1.5,3.20713490294909
"spreading rush",0.4375,1.05008503057065
"Ussurian water-milfoil ",0.0625,0.176776695296637
"water-plantain",0.5,0.755928946018454
"water-purslane",0.375,0.744023809142845
"water mint",0.0625,0.176776695296637
"water mudwort",0.1875,0.258774584753383
