"","x"
"1","narrow-leaved bur-reed"
"2","pond water-starwort"
"3","European forget-me-not "
"4","colonial bentgrass"
"5","water mudwort"
"6","nodding beggarticks"
"7","water-plantain"
"8","little western bitter-cress"
"9","common spike-rush"
"10","pigmyweed"
"11","reed canarygrass"
"12","blunt spike-rush"
"13","soft-stemmed bulrush"
"14","marshpepper smartweed"
"15","spreading rush"
"16","rice cutgrass"
"17","Ussurian water-milfoil "
"18","Lyngbye's sedge "
"19","water-purslane"
"20","purple loosestrife"
"21","water mint"
