"","PC_mean","PC_sd"
"bog loosestrife",1.66666666666667,4.08248290463863
"bractless hedge-hyssop",0.0833333333333333,0.204124145231932
"clustered dock",0.5,0.836660026534076
"colonial bentgrass",3.83333333333333,2.31660671385254
"common spike-rush",1.75,2.18517733834122
"European forget-me-not ",37,38.9615194775563
"flowering quillwort",0.25,0.418330013267038
"jointed rush",0.166666666666667,0.408248290463863
"Lyngbye's sedge ",1.5,2.73861278752583
"marshpepper smartweed",0.0833333333333333,0.204124145231932
"narrow-leaved bur-reed",20.8333333333333,33.2290033956281
"nodding beggarticks",1.41666666666667,2.37521928812198
"pigmyweed",0.25,0.273861278752583
"pond water-starwort",1.5,2.04939015319192
"purple loosestrife",0.75,1.17260393995586
"reed canarygrass",14.1666666666667,34.7011046894284
"rice cutgrass",2,4
"water-plantain",1.58333333333333,1.80046290344085
"water mudwort",0.166666666666667,0.258198889747161
