"","PC_mean","PC_sd"
"Baltic rush ",2.91666666666667,8.64931246172816
"colonial bentgrass",12.25,9.31396800509858
"common rush",0.166666666666667,0.577350269189626
"common spike-rush",1.08333333333333,2.46644143115812
"European forget-me-not ",19.3333333333333,15.6398868476105
"horehound",0.333333333333333,1.15470053837925
"jointed rush",2.08333333333333,4.98102459947811
"Lyngbye's sedge",45.25,38.6525901754685
"Lyngbye's sedge ",2.91666666666667,10.1036297108185
"marshpepper smartweed",0.416666666666667,0.996204919895622
"narrow-leaved bur-reed",1.75,4.88271533994243
"nodding beggarticks",0.333333333333333,0.65133894727893
"pigmyweed",0.0833333333333333,0.194624736040381
"pointed rush",0.0833333333333333,0.288675134594813
"pond-water starwort",1.70833333333333,4.42337968964771
"purple-leaved willowherb",0.25,0.621581560508061
"purple loosestrife",0.416666666666667,0.792961461098759
"small bedstraw",0.625,0.979911869877732
"small spike-rush",0.0416666666666667,0.144337567297406
"spreading rush",12,20.9718425947312
"Ussurian water-milfoil ",0.0416666666666667,0.144337567297406
"water-parsnip",0.0833333333333333,0.288675134594813
"water mudwort",0.0416666666666667,0.144337567297406
"western lilaeopsis",0.166666666666667,0.246182981958665
"yellow monkey-flower",0.958333333333333,0.964325796826074
