"","x"
"1","European forget-me-not "
"2","spreading rush"
"3","small bedstraw"
"4","narrow-leaved bur-reed"
"5","colonial bentgrass"
"6","purple loosestrife"
"7","Lyngbye's sedge"
"8","pigmyweed"
"9","purple-leaved willowherb"
"10","Ussurian water-milfoil "
"11","water-parsnip"
"12","yellow monkey-flower"
"13","western lilaeopsis"
"14","jointed rush"
"15","common spike-rush"
"16","pond-water starwort"
"17","nodding beggarticks"
"18","Baltic rush "
"19","water mudwort"
"20","marshpepper smartweed"
"21","Lyngbye's sedge "
"22","common rush"
"23","horehound"
