"","x"
"1","Lyngbye’s sedge"
"2","horehound"
"3","purple loosestrife"
"4","common silverweed "
"5","creeping bentgrass"
"6","common spike-rush"
"7","water mudwort"
"8","European forget-me-not "
"9","nodding beggarticks"
"10","soft-stemmed bulrush"
"11","marshpepper smartweed"
"12","Baltic rush"
"13","Douglas' aster"
"14","jointed rush"
"15","yellow iris"
"16","reed canarygrass"
"17","western lilaeopsis"
"18","bog loosestrife"
"19","purple-leaved willowherb"
"20","pigmyweed"
"21","pond water-starwort"
"22","broad-leaved arrowhead"
"23","water-plantain"
"24","yellow monkey-flower"
