"","PC_mean","PC_sd"
"Baltic rush",20.7142857142857,15.6600796689575
"Bare ground",4,6.85565460040104
"common chickweed",0.142857142857143,0.377964473009227
"common dandelion",5.14285714285714,13.1678721569909
"common horsetail",0.285714285714286,0.393397896234722
"common plantain",0.142857142857143,0.377964473009227
"common spike-rush",2.85714285714286,2.41029537806548
"creeping bentgrass",1.42857142857143,2.69920623252731
"Douglas' aster",2.42857142857143,2.99205296617238
"European bittersweet",0.214285714285714,0.267261241912424
"European forget-me-not",0.0714285714285714,0.188982236504614
"horehound",4,6.85565460040104
"jointed rush",23.8571428571429,7.69043933353987
"little western bitter-cress",0.142857142857143,0.243975018237133
"Lyngbye's sedge",14.7142857142857,10.750415274371
"marsh yellow cress",0.285714285714286,0.755928946018454
"perennial ryegrass",2,3.65148371670111
"pointed rush",0.0714285714285714,0.188982236504614
"purple-leaved willowherb",0.214285714285714,0.267261241912424
"purple loosestrife",3.07142857142857,3.49319065502886
"red clover",0.214285714285714,0.393397896234722
"reed canarygrass",1,1.91485421551268
"rice cutgrass",0.285714285714286,0.487950036474267
"small bedstraw",7.28571428571429,7.25061573739973
"soft-stemmed bulrush",0.857142857142857,2.26778683805536
"tall fescue",2.14285714285714,5.66946709513841
"traveler's joy",0.142857142857143,0.243975018237133
"unidentified algae",0.428571428571429,1.13389341902768
"western dock",0.428571428571429,1.13389341902768
"western lilaeopsis",3.85714285714286,2.96808419852332
"wild carrot",0.285714285714286,0.487950036474267
"willow weed",0.0714285714285714,0.188982236504614
"yellow monkey-flower",0.357142857142857,0.377964473009227
