"","x"
"1","Lyngbye's sedge"
"2","spreading rush"
"3","common spike-rush"
"4","European forget-me-not "
"5","horehound"
"6","western lilaeopsis"
"7","jointed rush"
"8","Douglas' aster"
"9","swamp horestail"
"10","Baltic rush "
"11","clustered dock"
"12","reed canarygrass"
"13","tall fescue"
"14","colonial bentgrass"
"15","water-parsnip"
"16","small-flowered bulrush"
"17","yellow iris"
"18","small bedstraw"
"19","beaked sedge"
"20","purple loosestrife"
"21","soft-stemmed bulrush"
"22","spotted touch-me-not"
"23","field mint"
"24","common cattail"
"25","water-plantain"
"26","wool-grass"
"27","purple-leaved willowherb"
"28","rice cutgrass"
"29","pond-water starwort"
"30","common mugwort"
"31","willow"
"32","bluegrass"
"33","stalked birds-foot trefoil"
"34","common rush"
"35","marsh peavine"
"36","common horsetail"
"37","marsh cinquefoil"
