"","x"
"1","Lyngbye’s sedge"
"2","horehound"
"3","purple loosestrife"
"4","common silverweed"
"5","small bedstraw"
"6","jointed rush"
"7","nodding beggarticks"
"8","springbank clover"
"9","European forget-me-not"
"10","birds-foot trefoil"
"11","purple-leaved willowherb"
"12","hornwort"
"13","water-purslane"
"14","common spike-rush"
"15","colonial bentgrass"
"16","common cattail"
"17","Baltic rush"
"18","slough sedge"
"19","common rush"
"20","wool-grass"
"21","yellow iris"
"22","reed canarygrass "
"23","soft-stemmed bulrush"
"24","water-plantain"
"25","lesser spearwort"
"26","field mint"
"27","creeping loosestrife"
"28","rice cutgrass"
"29","pigmyweed"
"30","common beggarticks"
"31","pond water-starwort"
"32","western St. John's-wort"
"33","broad-leaved arrowhead"
"34","water mudwort"
"35","water-pepper"
"36","water-parsnip"
"37","swamp horsetail"
"38","western lilaeopsis"
"39","small-flowered bulrush"
"40","Sitka willow"
"41","shining willow"
