"","pcMean","pcSD","pcMax","pcMin"
"colonial bentgrass",15.1666666666667,15.8666316526224,45,0
"common rush",2.22222222222222,6.66666666666667,20,0
"common spike-rush",5.61111111111111,16.646654652245,50,0
"common watercress",0.0555555555555556,0.166666666666667,0.5,0
"European forget-me-not ",11.0555555555556,22.9706938897757,70,0
"ground",17.3333333333333,15.0166574176812,40,0
"little western bitter-cress",0.111111111111111,0.333333333333333,1,0
"Lyngbye's sedge ",47.2777777777778,32.1297283593317,80,0
"narrow-leaved bur-reed",1.38888888888889,3.98260104844951,12,0
"nodding beggarticks",0.111111111111111,0.333333333333333,1,0
"persicaria",0.388888888888889,0.993031273984415,3,0
"pigmyweed",0.444444444444444,0.463980363569168,1,0
"pointed rush",0.111111111111111,0.333333333333333,1,0
"pond water-starwort",0.666666666666667,1.6393596310755,5,0
"purple-leaved willowherb",0.111111111111111,0.333333333333333,1,0
"purple loosestrife",1.22222222222222,1.92209376577847,5,0
"reed canarygrass",0.333333333333333,0.707106781186548,2,0
"rice cutgrass",0.333333333333333,1,3,0
"small spike-rush",0.444444444444444,0.682112730989371,2,0
"swamp horsetail",0.166666666666667,0.353553390593274,1,0
"water-plantain",0.277777777777778,0.363241578628389,1,0
"water mudwort",0.388888888888889,0.650854139658888,2,0
"western lilaeopsis",0.166666666666667,0.353553390593274,1,0
