"","pcMean","pcSD","pcMax","pcMin"
"blunt spike-rush",1,1.77281052085584,5,0
"colonial bentgrass",1.375,3.15945293637092,9,0
"common spike-rush",0.125,0.353553390593274,1,0
"European forget-me-not ",1.875,2.16712449375401,5,0
"ground",34.125,12.1324535264483,56.5,20
"little western bitter-cress",0.1875,0.258774584753383,0.5,0
"Lyngbye's sedge ",0.125,0.353553390593274,1,0
"marshpepper smartweed",0.125,0.353553390593274,1,0
"narrow-leaved bur-reed",37.125,23.4608336229921,65,1
"nodding beggarticks",0.1875,0.258774584753383,0.5,0
"pigmyweed",0.25,0.377964473009227,1,0
"pond water-starwort",10.125,14.5424256180715,40,0.5
"purple loosestrife",0.25,0.462910049886276,1,0
"reed canarygrass",3.125,8.83883476483184,25,0
"rice cutgrass",8.25,15.0309205116843,35,0
"small spike-rush",0.1875,0.372011904571422,1,0
"soft-stemmed bulrush",1.5,3.20713490294909,9,0
"spreading rush",0.4375,1.05008503057065,3,0
"Ussurian water-milfoil ",0.0625,0.176776695296637,0.5,0
"water-plantain",0.5,0.755928946018454,2,0
"water-purslane",0.375,0.744023809142845,2,0
"water mint",0.0625,0.176776695296637,0.5,0
"water mudwort",0.1875,0.258774584753383,0.5,0
