"","pcMean","pcSD","pcMax","pcMin"
"bog loosestrife",1.66666666666667,4.08248290463863,10,0
"bractless hedge-hyssop",0.0833333333333333,0.204124145231932,0.5,0
"clustered dock",0.5,0.836660026534076,2,0
"colonial bentgrass",3.83333333333333,2.31660671385254,7,0
"common spike-rush",1.75,2.18517733834122,5,0
"European forget-me-not ",37,38.9615194775563,95,0
"flowering quillwort",0.25,0.418330013267038,1,0
"ground",15.4166666666667,21.6942772791966,58,0
"jointed rush",0.166666666666667,0.408248290463863,1,0
"Lyngbye's sedge ",1.5,2.73861278752583,7,0
"marshpepper smartweed",0.0833333333333333,0.204124145231932,0.5,0
"narrow-leaved bur-reed",20.8333333333333,33.2290033956281,75,0
"nodding beggarticks",1.41666666666667,2.37521928812198,6,0
"pigmyweed",0.25,0.273861278752583,0.5,0
"pond water-starwort",1.5,2.04939015319192,5,0
"purple loosestrife",0.75,1.17260393995586,3,0
"reed canarygrass",14.1666666666667,34.7011046894284,85,0
"rice cutgrass",2,4,10,0
"water-plantain",1.58333333333333,1.80046290344085,5,0
"water mudwort",0.166666666666667,0.258198889747161,0.5,0
