"","pcMean","pcSD","pcMax","pcMin"
"awl-fruited sedge",0.0384615384615385,0.138675049056307,0.5,0
"birds-foot trefoil",0.653846153846154,0.851092811836038,2,0
"blue water speedwell",0.0769230769230769,0.277350098112615,1,0
"common dandelion",0.0384615384615385,0.138675049056307,0.5,0
"common plantain",0.0769230769230769,0.277350098112615,1,0
"common rush",0.461538461538462,0.877058019307029,3,0
"common sow-thistle",0.384615384615385,1.38675049056307,5,0
"creeping buttercup",0.0384615384615385,0.138675049056307,0.5,0
"exotic turf grasses",28.5,31.3554886210798,66,0
"ground",2.61538461538462,5.75236851998754,19,0
"Himalayan blackberry ",0.230769230769231,0.832050294337844,3,0
"log",30.3846153846154,34.8939786150812,80,0
"log ",1.53846153846154,5.54700196225229,20,0
"mannagrass",0.153846153846154,0.554700196225229,2,0
"orchard-grass",1.30769230769231,4.71495166791445,17,0
"purple-leaved willowherb",0.5,1.38443731048635,5,0
"purple loosestrife",0.807692307692308,1.34688624764772,4,0
"reed canarygrass",22.1538461538462,23.3482553018641,86,0
"ribwort plantain",1.69230769230769,3.19855736712181,11,0
"rock",0.538461538461538,1.9414506867883,7,0
"slender rush",0.769230769230769,1.48064435037847,5,0
"slough sedge",4.03846153846154,8.38764353692765,30,0
"swamp horsetail",0.0769230769230769,0.277350098112615,1,0
"tufted vetch",0.384615384615385,0.740322175189237,2,0
"white clover",3.76923076923077,8.87086848579708,32,0
