"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush ",9.35,23.6246328196243,87,0
"broad-leaved arrowhead",1.83333333333333,4.44183352428603,17,0
"buckbean",2.4,10.4075569361551,55,0
"coast silverweed",0.183333333333333,0.91428635570585,5,0
"colonial bentgrass",7.63333333333333,9.3826080240695,30,0
"common cattail",0.533333333333333,2.92118697336089,16,0
"common spike-rush",1.31666666666667,4.62840430783457,25,0
"common watercress ",0.133333333333333,0.507416263404925,2,0
"creeping bentgrass",0.166666666666667,0.912870929175277,5,0
"Douglas' aster",2.96666666666667,11.8684842983521,65,0
"European forget-me-not",9.8,12.2429430764181,50,0
"European forget-me-not ",2.96666666666667,8.96538682486931,45,0
"ground",2.53333333333333,5.3416601664027,20,0
"horehound",7.86666666666667,14.8480425584012,63,0
"jointed rush",0.533333333333333,2.41737009183938,13,0
"Lyngbye's sedge ",29.2333333333333,26.5598651499139,75,0
"Lyngbyei's sedge ",0.166666666666667,0.912870929175277,5,0
"nodding beggarticks",1.68333333333333,6.5422807018355,35,0
"Pacific water-parsley",0.333333333333333,1.06133726101046,4,0
"persicaria",0.5,1.00858384842825,4,0
"pigmyweed",0.05,0.201288949968224,1,0
"pointed rush",0.2,0.66436383882992,3,0
"pond water-starwort",1.86666666666667,7.3190037636248,40,0
"purple-leaved willowherb",2.1,2.94020876575234,8,0
"purple loosestrife",9.63333333333333,13.1161478084586,50,0
"reed canarygrass",7.3,25.3542487767728,100,0
"rice cutgrass",2.15,2.47452538117292,9,0
"skunk cabbage",0.6,3.286335345031,18,0
"slender rush",2.36666666666667,8.03219098092314,40,0
"small bedstraw",0.933333333333333,3.75024903387654,20,0
"small spike-rush",0.266666666666667,1.46059348668044,8,0
"soft-stemmed bulrush",1.05,1.89532091723548,7,0
"spreading rush",0.566666666666667,2.75033958195928,15,0
"stalked birds-foot trefoil",1,5.47722557505166,30,0
"swamp horsetail",1.08333333333333,1.81033114390012,8,0
"tufted loosestrife",0.4,2.19089023002066,12,0
"water-parsnip",0.166666666666667,0.912870929175277,5,0
"water-plantain",0.683333333333333,1.48836483600543,6,0
"western dock",0.1,0.547722557505166,3,0
"western lilaeopsis",0.0333333333333333,0.182574185835055,1,0
"yellow iris",1.4,5.61770599886245,30,0
"yellow marsh marigold",0.5,1.94315775709681,9,0
