"","x"
"1","Lyngbye's sedge "
"2","western lilaeopsis"
"3","common silverweed"
"4","colonial bentgrass "
"5","pond water-starwort"
"6","water mudwort"
"7","reed canarygrass"
"8","marshpepper smartweed"
"9","soft-stemmed bulrush"
"10","water-plantain"
"11","swamp horsetail"
"12","creeping bentgrass "
"13","common spike-rush"
"14","Baltic rush "
"15","horehound"
"16","purple loosestrife"
"17","springbank clover"
"18","lesser spearwort"
"19","small bedstraw"
"20","jointed rush"
"21","water mint"
"22","European forget-me-not"
"23","Douglas' aster"
"24","European forget-me-not "
"25","yellow monkey-flower"
"26","purple-leaved willowherb"
"27","western dock"
"28","spreading rush"
