"","PLOT_CODE","CARELYN"
"01-003-A-2-1-Feb","01-003-A-2-1-Feb",NA
"01-003-A-2-2-Feb","01-003-A-2-2-Feb",NA
"01-003-A-2-3-Feb","01-003-A-2-3-Feb",NA
"01-003-A-2-4-Feb","01-003-A-2-4-Feb",NA
"01-003-A-2-5-Feb","01-003-A-2-5-Feb",NA
"01-003-B-1-1-1","01-003-B-1-1-1",80
"01-003-B-1-1-2","01-003-B-1-1-2",62
"01-003-B-1-1-3","01-003-B-1-1-3",57
"01-003-B-1-1-4","01-003-B-1-1-4",110
"01-003-B-1-1-5","01-003-B-1-1-5",90
"01-003-B-1-1-6","01-003-B-1-1-6",75
"01-003-B-1-1-7","01-003-B-1-1-7",90
"01-003-B-2-2-1","01-003-B-2-2-1",NA
"01-003-B-2-2-2","01-003-B-2-2-2",NA
"01-003-B-2-2-3","01-003-B-2-2-3",NA
"01-008-1-1","01-008-1-1",NA
"01-008-1-10","01-008-1-10",151
"01-008-1-11","01-008-1-11",77
"01-008-1-12","01-008-1-12",NA
"01-008-1-13","01-008-1-13",NA
"01-008-1-14","01-008-1-14",127
"01-008-1-15","01-008-1-15",45
"01-008-1-16","01-008-1-16",115
"01-008-1-17","01-008-1-17",142
"01-008-1-18","01-008-1-18",182
"01-008-1-19","01-008-1-19",98
"01-008-1-2","01-008-1-2",89
"01-008-1-20","01-008-1-20",85
"01-008-1-3","01-008-1-3",NA
"01-008-1-4","01-008-1-4",116
"01-008-1-5","01-008-1-5",154
"01-008-1-6","01-008-1-6",NA
"01-008-1-7","01-008-1-7",151
"01-008-1-8","01-008-1-8",130
"01-008-1-9","01-008-1-9",92
"02-001-1-10-Jan","02-001-1-10-Jan",NA
"02-001-1-13-Jan","02-001-1-13-Jan",NA
"02-001-1-14-Jan","02-001-1-14-Jan",167
"02-001-1-16-Jan","02-001-1-16-Jan",NA
"02-001-1-2-Jan","02-001-1-2-Jan",167
"02-001-1-20-Jan","02-001-1-20-Jan",NA
"02-001-1-21-Jan","02-001-1-21-Jan",99
"02-001-1-22-Jan","02-001-1-22-Jan",NA
"02-001-1-23-Jan","02-001-1-23-Jan",126
"02-001-1-24-Jan","02-001-1-24-Jan",48
"02-001-1-25-Jan","02-001-1-25-Jan",90
"02-001-1-26-Jan","02-001-1-26-Jan",153
"02-001-1-27-Jan","02-001-1-27-Jan",158
"02-001-1-28-Jan","02-001-1-28-Jan",NA
"02-001-1-29-Jan","02-001-1-29-Jan",96
"02-001-1-3-Jan","02-001-1-3-Jan",141
"02-001-1-4-Jan","02-001-1-4-Jan",62
"02-001-1-5-Jan","02-001-1-5-Jan",85
"02-001-1-6-Jan","02-001-1-6-Jan",112
"02-001-1-7-Jan","02-001-1-7-Jan",163
"02-001-1-Jan-33","02-001-1-Jan-33",171
"02-001-1-Jan-36","02-001-1-Jan-36",135
"02-001-1-Jan-37","02-001-1-Jan-37",89
"02-001-1-Jan-38","02-001-1-Jan-38",184
"02-001-1-Jan-40","02-001-1-Jan-40",134
"02-001-2-1-Feb","02-001-2-1-Feb",NA
"02-001-2-11-Feb","02-001-2-11-Feb",NA
"02-001-2-15-Feb","02-001-2-15-Feb",NA
"02-001-2-17-Feb","02-001-2-17-Feb",NA
"02-001-2-18-Feb","02-001-2-18-Feb",NA
"02-001-2-8-Feb","02-001-2-8-Feb",NA
"02-001-2-9-Feb","02-001-2-9-Feb",NA
"02-001-2-Feb-30","02-001-2-Feb-30",NA
"02-001-2-Feb-34","02-001-2-Feb-34",NA
"02-001-2-Feb-35","02-001-2-Feb-35",NA
"02-001-2-Feb-39","02-001-2-Feb-39",NA
"02-001-3-1-Mar","02-001-3-1-Mar",NA
"02-001-3-15-Mar","02-001-3-15-Mar",51
"02-001-3-2-Mar","02-001-3-2-Mar",NA
"02-001-3-3-Mar","02-001-3-3-Mar",NA
"02-001-3-31-Mar","02-001-3-31-Mar",69
"02-001-3-4-Mar","02-001-3-4-Mar",NA
"02-001-3-5-Mar","02-001-3-5-Mar",NA
"02-001-3-6-Mar","02-001-3-6-Mar",56
"02-001-3-7-Mar","02-001-3-7-Mar",63
"02-001-3-8-Mar","02-001-3-8-Mar",NA
"02-002-1-1-Jan","02-002-1-1-Jan",98
"02-002-1-10-Jan","02-002-1-10-Jan",NA
"02-002-1-11-Jan","02-002-1-11-Jan",96
"02-002-1-12-Jan","02-002-1-12-Jan",NA
"02-002-1-13-Jan","02-002-1-13-Jan",NA
"02-002-1-14-Jan","02-002-1-14-Jan",NA
"02-002-1-15-Jan","02-002-1-15-Jan",120
"02-002-1-2-Jan","02-002-1-2-Jan",94
"02-002-1-3-Jan","02-002-1-3-Jan",114
"02-002-1-4-Jan","02-002-1-4-Jan",120
"02-002-1-5-Jan","02-002-1-5-Jan",132
"02-002-1-6-Jan","02-002-1-6-Jan",125
"02-002-1-7-Jan","02-002-1-7-Jan",101
"02-002-1-8-Jan","02-002-1-8-Jan",NA
"02-002-1-9-Jan","02-002-1-9-Jan",NA
"02-003-A-1-1","02-003-A-1-1",NA
"02-003-A-1-10","02-003-A-1-10",230
"02-003-A-1-11","02-003-A-1-11",110
"02-003-A-1-12","02-003-A-1-12",163
"02-003-A-1-13","02-003-A-1-13",115
"02-003-A-1-14","02-003-A-1-14",128
"02-003-A-1-15","02-003-A-1-15",160
"02-003-A-1-2","02-003-A-1-2",94
"02-003-A-1-3","02-003-A-1-3",97
"02-003-A-1-4","02-003-A-1-4",65
"02-003-A-1-5","02-003-A-1-5",105
"02-003-A-1-6","02-003-A-1-6",95
"02-003-A-1-7","02-003-A-1-7",82
"02-003-A-1-8","02-003-A-1-8",NA
"02-003-A-1-9","02-003-A-1-9",128
"02-003-B-1-1","02-003-B-1-1",170
"02-003-B-1-10","02-003-B-1-10",99
"02-003-B-1-11","02-003-B-1-11",NA
"02-003-B-1-2","02-003-B-1-2",149
"02-003-B-1-3","02-003-B-1-3",NA
"02-003-B-1-4","02-003-B-1-4",NA
"02-003-B-1-5","02-003-B-1-5",149
"02-003-B-1-6","02-003-B-1-6",154
"02-003-B-1-7","02-003-B-1-7",208
"02-003-B-1-8","02-003-B-1-8",150
"02-003-B-1-9","02-003-B-1-9",131
"02-003-B-2-1","02-003-B-2-1",NA
"02-003-B-2-2","02-003-B-2-2",59
"02-003-B-2-3","02-003-B-2-3",NA
"02-003-B-2-4","02-003-B-2-4",NA
"02-003-B-2-5","02-003-B-2-5",NA
"02-004-1-1-Jan","02-005-A-1-1",NA
"02-004-1-10-Jan","02-005-A-1-10",NA
"02-004-1-11-Jan","02-005-A-1-2",300
"02-004-1-12-Jan","02-005-A-1-3",NA
"02-004-1-13-Jan","02-005-A-1-4",NA
"02-004-1-14-Jan","02-005-A-1-5",NA
"02-004-1-15-Jan","02-005-A-1-6",NA
"02-004-1-16-Jan","02-005-A-1-7",NA
"02-004-1-17-Jan","02-005-A-1-8",NA
"02-004-1-18-Jan","02-005-A-1-9",NA
"02-004-1-19-Jan","02-005-A-2-1",147
"02-004-1-2-Jan","02-005-A-2-2",NA
"02-004-1-20-Jan","02-005-A-2-3",NA
"02-004-1-3-Jan","02-005-A-2-4",NA
"02-004-1-4-Jan","02-005-A-2-5",NA
"02-004-1-5-Jan","02-005-B-1-1",NA
"02-004-1-6-Jan","02-005-B-1-2",NA
"02-004-1-7-Jan","02-005-B-1-3",NA
"02-004-1-8-Jan","02-005-B-1-4",255
"02-004-1-9-Jan","02-005-B-1-5",NA
"02-005-A-1-1","02-005-B-1-6",112
"02-005-A-1-10","02-005-B-1-7",97
"02-005-A-1-2","02-005-B-1-8",32
"02-005-A-1-3","02-005-B-1-9",NA
"02-005-A-1-4","02-005-B-2-1",NA
"02-005-A-1-5","02-005-B-2-2",NA
"02-005-A-1-6","02-005-B-2-3",NA
"02-005-A-1-7","02-005-B-2-4",118
"02-005-A-1-8","02-005-B-2-5",114
"02-005-A-1-9","02-005-B-2-6",84
"02-005-A-2-1","02-005-C-1-1",NA
"02-005-A-2-2","02-005-C-1-2",NA
"02-005-A-2-3","02-005-C-1-3",NA
"02-005-A-2-4","02-005-C-1-4",NA
"02-005-A-2-5","02-005-C-1-5",NA
"02-005-B-1-1","02-005-C-1-6",NA
"02-005-B-1-2","02-005-C-1-7",NA
"02-005-B-1-3","02-005-C-1-8",NA
"02-005-B-1-4","02-005-C-2-1",85
"02-005-B-1-5","02-005-C-2-2",83
"02-005-B-1-6","02-005-C-2-3",112
"02-005-B-1-7","02-005-C-2-4",NA
"02-005-B-1-8","02-005-C-2-5",100
"02-005-B-1-9","02-005-D-1-1",NA
"02-005-B-2-1","02-005-D-1-2",NA
"02-005-B-2-2","02-005-D-1-3",NA
"02-005-B-2-3","02-005-D-1-4",NA
"02-005-B-2-4","02-005-D-1-5",NA
"02-005-B-2-5","02-005-D-1-6",NA
"02-005-B-2-6","02-005-D-2-1",NA
"02-005-C-1-1","02-005-D-2-2",NA
"02-005-C-1-2","02-005-D-2-3",NA
"02-005-C-1-3","02-005-E-1-1",NA
"02-005-C-1-4","02-005-E-1-10",200
"02-005-C-1-5","02-005-E-1-11",NA
"02-005-C-1-6","02-005-E-1-12",NA
"02-005-C-1-7","02-005-E-1-2",NA
"02-005-C-1-8","02-005-E-1-3",NA
"02-005-C-2-1","02-005-E-1-4",NA
"02-005-C-2-2","02-005-E-1-5",NA
"02-005-C-2-3","02-005-E-1-6",NA
"02-005-C-2-4","02-005-E-1-7",NA
"02-005-C-2-5","02-005-E-1-8",NA
"02-005-D-1-1","02-005-E-1-9",NA
"02-005-D-1-2","02-007-A-1-1-Jan",NA
"02-005-D-1-3","02-007-A-1-10-Jan",63
"02-005-D-1-4","02-007-A-1-2-Jan",NA
"02-005-D-1-5","02-007-A-1-3-Jan",NA
"02-005-D-1-6","02-007-A-1-4-Jan",NA
"02-005-D-2-1","02-007-A-1-5-Jan",NA
"02-005-D-2-2","02-007-A-1-6-Jan",NA
"02-005-D-2-3","02-007-A-1-7-Jan",NA
"02-005-E-1-1","02-007-A-1-8-Jan",NA
"02-005-E-1-10","02-007-A-1-9-Jan",107
"02-005-E-1-11","02-007-A-2-1-Feb",NA
"02-005-E-1-12","02-007-A-2-2-Feb",NA
"02-005-E-1-2","02-007-A-2-3-Feb",NA
"02-005-E-1-3","02-007-A-2-4-Feb",NA
"02-005-E-1-4","02-007-A-2-5-Feb",NA
"02-005-E-1-5","02-007-B-1-1-Jan",55
"02-005-E-1-6","02-007-B-1-10-Jan",NA
"02-005-E-1-7","02-007-B-1-2-Jan",NA
"02-005-E-1-8","02-007-B-1-3-Jan",NA
"02-005-E-1-9","02-007-B-1-4-Jan",115
"02-007-A-1-1-Jan","02-007-B-1-5-Jan",103
"02-007-A-1-10-Jan","02-007-B-1-6-Jan",148
"02-007-A-1-2-Jan","02-007-B-1-7-Jan",141
"02-007-A-1-3-Jan","02-007-B-1-8-Jan",122
"02-007-A-1-4-Jan","02-007-B-1-9-Jan",84
"02-007-A-1-5-Jan","02-007-B-2-1-Feb",96
"02-007-A-1-6-Jan","02-007-B-2-2-Feb",176
"02-007-A-1-7-Jan","02-007-B-2-3-Feb",129
"02-007-A-1-8-Jan","02-007-C-1-1-1",202
"02-007-A-1-9-Jan","02-007-C-1-1-10",166
"02-007-A-2-1-Feb","02-007-C-1-1-2",NA
"02-007-A-2-2-Feb","02-007-C-1-1-3",NA
"02-007-A-2-3-Feb","02-007-C-1-1-4",NA
"02-007-A-2-4-Feb","02-007-C-1-1-5",NA
"02-007-A-2-5-Feb","02-007-C-1-1-6",2
"02-007-B-1-1-Jan","02-007-C-1-1-7",71
"02-007-B-1-10-Jan","02-007-C-1-1-8",174
"02-007-B-1-2-Jan","02-007-C-1-1-9",136
"02-007-B-1-3-Jan","02-007-C-2-2-1",126
"02-007-B-1-4-Jan","02-007-C-2-2-2",112
"02-007-B-1-5-Jan","02-007-C-2-2-3",130
"02-007-B-1-6-Jan","02-007-C-2-2-4",177
"02-007-B-1-7-Jan","02-007-C-2-2-5",97
"02-007-B-1-8-Jan","02-007-C-2-2-6",111
"02-007-B-1-9-Jan","02-009-1-1-Jan",183
"02-007-B-2-1-Feb","02-009-1-2-Jan",2
"02-007-B-2-2-Feb","02-009-1-3-Jan",NA
