"","Lyngbye's sedge","yellow iris","purple loosestrife","reed canarygrass","EXO_TYPHA","SITE"
"1",0,0,0,0,NA,"01-003-A"
"2",0.857142857142857,0.142857142857143,0.428571428571429,0.571428571428571,0,"01-003-B"
"3",0.25,0,0.5,0.1,0.05,"01-008"
"4",0,0.04,0,0.04,0,"02-001"
"5",0.6,0.0666666666666667,0.466666666666667,0.133333333333333,0,"02-002"
"6",0.866666666666667,0.0666666666666667,0.666666666666667,0.333333333333333,0,"02-003-A"
"7",0,0,0.727272727272727,0,0.272727272727273,"02-003-B"
"8",0,0,0.9,0.3,0,"02-005-A"
"9",0,0,0.444444444444444,0.222222222222222,0,"02-005-B"
"10",0,0,0.25,0.125,0,"02-005-C"
"11",0,0,0.5,0.166666666666667,0,"02-005-D"
"12",0.75,0,0.25,0,0,"02-005-E"
"13",0,0,0.5,0.1,0,"02-007-A"
"14",0,0.1,0.3,0.2,0,"02-007-B"
"15",1,0,0.6,0,0,"02-007-C"
"16",0,0,0.571428571428571,0.428571428571429,0,"02-009"
"17",0,0,0.65,0.3,0.95,"02-014"
"18",0,0,0,0,0,"03-002"
"19",0,0.125,0.625,0,0,"03-003"
"20",0.1,0.15,0.2,0,0.85,"03-004"
"21",0,0.0833333333333333,0.333333333333333,0.0833333333333333,0,"03-006"
"22",0,0,0,0,0,"04-001"
"23",0,0.2,0.2,0,0,"04-005"
"24",1,0.1,0.5,0.1,0,"05-001"
"25",0,0.15,0,0,0,"09-001-A"
"26",0,0.3,0,0,0,"09-001-B"
"27",1,0.461538461538462,0.384615384615385,0.0769230769230769,0,"09-002-A"
"28",0,0,0,0,0,"09-002-B"
"29",0.8,0,0.6,0,0.2,"09-004"
"30",0,0,0,0.8,0,"09-008-A"
"31",0.5,0.1,0.6,0.8,0,"09-008-B"
"32",0.733333333333333,0,0.0666666666666667,0,0,"09-009"
"33",0.9375,0.0625,0.0625,0.3125,0,"09-013"
"34",0,0,0.333333333333333,0,0,"09-015"
"35",0.15,0.05,0.1,0.2,0.4,"10-002-A"
"36",0.888888888888889,0.444444444444444,0.222222222222222,0.555555555555556,0,"10-002-B"
"37",0,0.25,0.375,0.125,0,"10-003"
"38",0,0,0.4,0.35,0,"10-004"
"39",0.588235294117647,0.117647058823529,0.529411764705882,0.235294117647059,0,"11-002"
"40",1,0,0.857142857142857,0.285714285714286,0,"11-010"
"41",0.48,0.32,0.8,0.88,0,"11-012-A"
"42",1,0.142857142857143,0.0714285714285714,0.642857142857143,0,"11-012-B"
"43",0,0,0.777777777777778,0.111111111111111,0,"11-013"
"44",0,0.4,0.666666666666667,0.866666666666667,0,"12-001"
"45",0,0.0714285714285714,0.464285714285714,0.392857142857143,0.0357142857142857,"12-004"
"46",0,0,0.1,0.1,0,"12-007"
"47",0.857142857142857,0.142857142857143,0.428571428571429,0.857142857142857,0,"13-001"
"48",0,0.285714285714286,0.571428571428571,0,0,"13-005"
"49",0.0666666666666667,0.2,0.2,0.0666666666666667,0,"13-010"
"50",0.65,0.3,0.6,0.6,0,"13-012-A"
"51",0.105263157894737,0.473684210526316,0.473684210526316,0.894736842105263,0,"13-012-B"
"52",0,0.3,0,1,0,"14-004"
"53",0,0.25,0.333333333333333,0.75,0,"15-001-B"
"54",0,0,0.384615384615385,0.923076923076923,0,"15-003-A"
"55",0,0.0869565217391304,0.434782608695652,0.782608695652174,0,"15-003-B"
"56",0,0,0.15,0.1,0,"REF-02-2015"
"57",0,0.08,0.56,0.16,0.16,"REF-03-2015"
"58",0.633333333333333,0.0666666666666667,0.1,0.133333333333333,0,"REF-05-2015"
"59",0,0.0333333333333333,0.333333333333333,0.233333333333333,0,"REF-09-2015"
"60",0,0.206896551724138,0.586206896551724,0.172413793103448,0,"REF-10-2015"
"61",0,0.1,0.5,0.433333333333333,0,"REF-11-2015"
"62",0,0.1,0.633333333333333,0.133333333333333,0,"REF-12-2015"
