,Code,Scientific,Common,Origin,
1,LYTHSAL,Lythrum salicaria,purple loosestrife,Invasive,
2,IRISPSE,Iris pseudocorus,yellow-flag iris,Invasive,
3,LYSITER,Lysimachia terrestris,Bog loosestrife,Exotic,
4,LOTUCOR,Lotus corniculatus,common bird's-foot trefoil,Exotic,
5,JUNCEFF,Juncus effusus,soft rush,Native,
6,LYCOEUR,Lycopus europaeus,European horehound,Exotic,
7,MYOSSCO,Myosotis scorpioides,European forget-me-not,Exotic,
8,GALITRI,Galium trifidum,small bedstraw,Native,
9,MENTARV,Mentha arvensis,field mint,Exotic,
10,POTEANS,Potentilla anserina,silverweed,Native,
11,IMPACAP,Impatiens capensis,jewelweed,Native,
12,SYMPSUB,Symphiotrichum subspicatum,Douglas' aster,Native,
13,LILLOCC,Lillaeopsis occidentalis,western grasswort,Native,
14,JUNCART,Juncus articulatus,jointed rush,Native,
15,LYSINUM,Lysimachia nummularia,creeping jenny,Exotic,
16,PHALARU,Phalarus arundinacea,reed canary grass,Invasive,
17,JUNCOXY,Juncus oxymeris,Pointed rush,Native,
18,PERSSP,Persicaria sp.,smartweeds,Unknown,
19,CALLSTA,Callitriche stagnalis,water starwort,Exotic,
20,SCIRMIC,Scirpus microcarpus,small-flowered bulrush,Native,
21,CAREUTR,Carex utriculata,beaked sedge,Native,
22,AGROSTO,Agrostis stolonifera,bent grass,Exotic,
23,UNKNOWN SEDGE,Unknown Sedge,,Unknown,
24,TYPHGLA,Typha x glauca,hybrid cattail,Invasive,
25,ALISTRI,Alisma triviale,water plantain,Native,
