"","x"
"1","LILLOCC"
"2","ELEOPAL"
"3","MENTARV"
"4","JUNCART"
"5","PHALARU"
"6","CARELYN"
"7","MUD"
"8","LITTER"
"9","JUNCBAL"
"10","MYOSSCO"
"11","SYMPSUB"
"12","LYTHSAL"
"13","MENTSPI"
"14","TARAOFF"
"15","LYCOEUR"
"16","SCHEARU"
"17","MENTAQU"
"18","POAANN"
"19","POLYAVI"
"20","JUNCEFF"
"21","RANUREP"
"22","IMPAPAR"
"23","CIRSARV"
"24","PLANMAJ"
"25","SAGIPRO"
"26","AGROSTO"
"27","RUMECON"
"28","CREPCAP"
"29","PLANLAN"
"30","TRIFREP"
"31","RUMECLO"
"32","BIDECER"
"33","CAREOBN"
"34","SIUMSUA"
"35","GALITRI"
"36","LIMOAQU"
"37","CALLSTA"
"38","LYSIVUL"
"39","GRATEBR"
"40","LOTUCOR"
"41","JUNCTEN"
