"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",3.50769230769231,12.4669871753672,45,0
"ALISTRI",0.0846153846153846,0.27642405179408,1,0
"CALLSTA",0.0153846153846154,0.0375533808099405,0.1,0
"CARELYN",26.2384615384615,39.4747501250597,98,0
"ELEOPAL",0.184615384615385,0.547488437999918,2,0
"ELODCAN",0.00769230769230769,0.0277350098112615,0.1,0
"EQUIFLU",0.0153846153846154,0.0375533808099405,0.1,0
"IRISPSE",0.853846153846154,1.86038319736167,5,0
"JUNCART",0.00769230769230769,0.0277350098112615,0.1,0
"JUNCBAL",15.7538461538462,37.1267113047694,99.7,0
"LILLOCC",0.0307692307692308,0.0480384461415261,0.1,0
"LITTER",5.16923076923077,14.0405593796083,51,0
"LYCOEUR",0.00769230769230769,0.0277350098112615,0.1,0
"LYSITER",0.00769230769230769,0.0277350098112615,0.1,0
"LYTHSAL",0.938461538461538,3.32378761393746,12,0
"LYTSHAL",0.153846153846154,0.554700196225229,2,0
"MUD",29.2461538461538,30.0147634613539,84,0
"MYRIHIP",0.0846153846153846,0.27642405179408,1,0
"PERSSP",0.00769230769230769,0.0277350098112615,0.1,0
"PHALARU",1.02307692307692,2.8199154379029,10,0
"PLANMAJ",0.076923076923077,0.277350098112615,1,0
"POTEANS",0.853846153846154,1.56876564247999,5,0
"SCHOTAB",0.0846153846153846,0.27642405179408,1,0
"SOLICAN",0.076923076923077,0.277350098112615,1,0
"SYMPSUB",0.00769230769230769,0.0277350098112615,0.1,0
"TRIFPRA",1.15384615384615,4.16025147168922,15,0
"TYPHGLA",0.615384615384616,2.21880078490092,8,0
"WOOD",7,13.0639452948436,40,0
