"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",1.5,4.99332888295307,20,0
"ATRIPAT",0.00625,0.025,0.1,0
"BOLBMAR",0.20625,0.538477792794961,2,0
"CARELYN",1.5625,4.36606229914324,15,0
"DISTSPI",0.25,0.774596669241483,3,0
"ELEOPAR",0.1875,0.485626742811116,2,0
"LITTER",14.6375,25.6201971108733,78,0
"LYSIMAR",0.06875,0.249582985531199,1,0
"MUD",57.5,32.7861759486118,98,3
"SCHOTAB",3.8125,6.3688696014285,20,0
"SPERCAN",3.26875,7.0383443839206,20,0
"TRIGMAR",16.94375,25.5754561705815,75,0
"WOOD",0.1875,0.403112887414928,1,0
