,pcMean,pcSD,pcMax,pcMin
CALLSTA,0.033333333,0.057735027,0.1,0
CARDSP,0.033333333,0.057735027,0.1,0
ELEOPAL,0.033333333,0.057735027,0.1,0
EQUIFLU,0.033333333,0.057735027,0.1,0
GRATEBR,0.033333333,0.057735027,0.1,0
LOTUCOR,0.033333333,0.057735027,0.1,0
MYOSSCO,0.033333333,0.057735027,0.1,0
PERSSP,0.033333333,0.057735027,0.1,0
ELEOPAR,0.066666667,0.057735027,0.1,0
LIMOAQU,0.066666667,0.057735027,0.1,0
AGROSTO,0.1,0,0.1,0.1
CRASAQU,0.1,0,0.1,0.1
LILLOCC,0.1,0,0.1,0.1
LYSITERR,0.333333333,0.577350269,1,0
LYTHSAL,0.4,0.519615242,1,0.1
POTEANS,0.4,0.519615242,1,0.1
CARELYN,1.033333333,0.950438495,2,0.1
MUD,97.66666667,1.527525232,99,96
