"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",1.36153846153846,2.36239231202132,7,0
"ALISTRI",0.323076923076923,1.10540629495361,4,0
"BIDECER",0.00769230769230769,0.0277350098112615,0.1,0
"CALLSTA",0.0153846153846154,0.0375533808099405,0.1,0
"CARELYN",49.0769230769231,30.6878410733566,90,2
"ELEOPAL",0.00769230769230769,0.0277350098112615,0.1,0
"ELODCAN",0.461538461538462,1.19828937903056,4,0
"IRISPSE",0.0769230769230769,0.277350098112615,1,0
"LITTER",0.538461538461538,1.45002210416397,5,0
"LYTHSAL",0.00769230769230769,0.0277350098112615,0.1,0
"MUD",44.3846153846154,25.5099276803446,92,6
"MYOSSCO",0.115384615384615,0.270327436781624,1,0
"PERSSP",0.384615384615385,1.38675049056307,5,0
"PHALARU",2.77692307692308,7.22128264762729,25,0
"SAGILAT",0.238461538461538,0.830199234660433,3,0
"SCHOTAB",0.230769230769231,0.832050294337844,3,0
"TYPHLAT",0.0769230769230769,0.277350098112615,1,0
