"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",0.78695652173913,1.86920117790415,7,0
"ALISTRI",0.969565217391304,1.78896485625543,6,0
"BIDECER",0.0739130434782609,0.207183255080546,1,0
"CALLSTA",0.0304347826086957,0.0470471968896965,0.1,0
"CARELYN",27.9652173913043,33.4635433745123,90,0
"ELEOPAL",0.00434782608695652,0.0208514414057075,0.1,0
"ELODCAN",0.260869565217391,0.91539317456032,4,0
"EPILCIL",0.00869565217391304,0.028810406552003,0.1,0
"IMPACAP",0.00869565217391304,0.028810406552003,0.1,0
"IRISPSE",0.0434782608695652,0.208514414057075,1,0
"LITTER",1.08695652173913,3.27404453068873,15,0
"LYTHSAL",0.00869565217391304,0.028810406552003,0.1,0
"MUD",61.3913043478261,33.3354017803552,98,0
"MYOSSCO",0.478260869565217,1.6629537034334,8,0
"PERSSP",0.230434782608696,1.04029488066374,5,0
"PHALARU",1.58260869565217,5.51210668965168,25,0
"SAGILAT",0.665217391304348,1.45933007533413,6,0
"SCHOTAB",0.147826086956522,0.622947221766595,3,0
"TYPHLAT",0.260869565217391,0.751809411556112,3,0
"WOOD",0.0434782608695652,0.208514414057075,1,0
