"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",0.01,0.0307793505625546,0.1,0
"ALISTRI",0.275,0.52503132738613,2,0
"BIDECER",0.005,0.0223606797749979,0.1,0
"ELEOPAL",0.005,0.0223606797749979,0.1,0
"IRISPSE",0.15,0.489360484929593,2,0
"LILAOCC",0.075,0.335410196624969,1.5,0
"LITTER",71.6,29.2959490643151,98,5
"LYTHSAL",1.125,1.83958662404585,5,0
"MUD",13.45,24.6885334560505,83,0
"PERSAMP",0.485,1.18244839655958,5,0
"PHALARU",0.425,1.18404969668107,5,0
"SAGILAT",0.105,0.446595307208946,2,0
"SCHOETAB",0.035,0.113670808176853,0.5,0
"SIUMSUA",0.01,0.0307793505625546,0.1,0
"TYPHGLA",12.6,10.1431854230471,40,2
"TYPHLAT",0.1,0.447213595499958,2,0
