"","pcMean","pcSD","pcMax","pcMin"
"CARELYN",41.0071428571429,22.5589983508445,70,0.1
"JUNCBAL",22.65,29.9110154651066,95,0
"JUNCEFF",0.214285714285714,0.801783725737273,3,0
"LITTER",0.357142857142857,1.08181776206978,4,0
"LYTHSAL",0.357142857142857,1.08181776206978,4,0
"MUD",34.7142857142857,16.6983581478888,61,0
"OENASAR",0.00714285714285714,0.0267261241912424,0.1,0
"PHALARU",1.21428571428571,4.54344111251122,17,0
"SAGILAT",0.0142857142857143,0.0363136519601282,0.1,0
"SCHOTAB",2.29285714285714,8.55034540784211,32,0
"TYPHANG",0.0714285714285715,0.267261241912424,1,0
"TYPHLAT",0.221428571428571,0.800171684874393,3,0
"WOOD",1.07142857142857,4.00891862868637,15,0
