"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",0.305882352941176,0.767683681794864,3,0
"BIDECER",0.0117647058823529,0.0332105582077536,0.1,0
"CALLSTA",0.00588235294117647,0.0242535625036333,0.1,0
"CARDSP",0.0117647058823529,0.0332105582077536,0.1,0
"CARELYN",1.25882352941176,2.29266733945677,8,0
"CAREOBN",2.94117647058824,12.1267812518166,50,0
"CIRSARV",0.0588235294117647,0.242535625036333,1,0
"CREPCAP",0.00588235294117647,0.0242535625036333,0.1,0
"ELEOPAL",1.47647058823529,6.06192310778567,25,0
"GALITRI",0.00588235294117647,0.0242535625036333,0.1,0
"IMPAPAR",0.00588235294117647,0.0242535625036333,0.1,0
"JUNCART",1.49411764705882,1.9857210869843,6,0
"JUNCBAL",18.9529411764706,33.4415370020402,100,0
"JUNCEFF",0.3,1.21140414395857,5,0
"LILLOCC",0.182352941176471,0.527061777827855,2,0
"LIMOAQU",0.00588235294117647,0.0242535625036333,0.1,0
"LOG",1.23529411764706,3.83290705217179,15,0
"LOTUCOR",0.176470588235294,0.727606875108999,3,0
"LYCOEUR",0.264705882352941,0.744094396288694,3,0
"LYSIVUL",0.294117647058824,1.21267812518166,5,0
"LYTHSAL",0.0176470588235294,0.0392952623996688,0.1,0
"MENTARV",0.0588235294117647,0.242535625036333,1,0
"MENTSPI",0.00588235294117647,0.0242535625036333,0.1,0
"MOSS",0.352941176470588,0.996316746232607,4,0
"MUD",44.4117647058824,35.8609446744111,98,0
"MYOSSCO",0.0705882352941177,0.241776513236793,1,0
"PERSSP",0.0764705882352941,0.241167503420097,1,0
"PHALARU",0.905882352941176,2.88410960875174,12,0
"PLANLAN",0.0588235294117647,0.242535625036333,1,0
"PLANMAJ",0.0117647058823529,0.0332105582077536,0.1,0
"POAPRA",0.00588235294117647,0.0242535625036333,0.1,0
"POLYAVI",0.00588235294117647,0.0242535625036333,0.1,0
"RANUREP",0.0647058823529412,0.242232265786859,1,0
"ROCK",15.7647058823529,30.6992048182129,92,0
"RUMECON",0.123529411764706,0.330774492223754,1,0
"SAGIPRO",0.117647058823529,0.485071250072666,2,0
"SALISP",0.476470588235294,1.93892025743863,8,0
"SCHEARU",0.952941176470588,1.51208368115774,5,0
"SIUMSUA",0.00588235294117647,0.0242535625036333,0.1,0
"SYMPSUB",0.264705882352941,0.551068480851732,2,0
"TARAOFF",0.00588235294117647,0.0242535625036333,0.1,0
"TRIFREP",0.00588235294117647,0.0242535625036333,0.1,0
