"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",0.206666666666667,0.558654847016687,2,0
"ALISTRI",0.0666666666666667,0.258198889747161,1,0
"CALLSTA",0.246666666666667,0.544933372947905,2,0
"CALTPAL",0.0666666666666667,0.258198889747161,1,0
"CARELYN",9.74666666666667,13.593741557195,40,0
"ELEOPAL",1.94666666666667,3.54740683289854,10,0
"GALITRI",0.413333333333333,1.29442026000979,5,0
"IMPACAP",0.0133333333333333,0.0351865775274498,0.1,0
"IRISPSE",0.00666666666666667,0.0258198889747161,0.1,0
"JUNCART",1.48,3.90205074287867,15,0
"JUNCBAL",3.66666666666667,12.8822506167355,50,0
"JUNCEFF",0.14,0.515197604253525,2,0
"JUNCOXY",0.00666666666666667,0.0258198889747161,0.1,0
"JUNCTEN",0.933333333333333,2.63131326979695,10,0
"LILLOCC",0.0266666666666667,0.0457737708217063,0.1,0
"LITTER",9.93333333333333,15.3272244559741,47,0
"LYCOEUR",0.4,1.2983506020002,5,0
"LYSIAME",0.2,0.774596669241483,3,0
"LYSINUM",0.00666666666666667,0.0258198889747161,0.1,0
"LYTHSAL",0.293333333333333,0.582441495120407,2,0
"MOSSSP",0.266666666666667,1.03279555898864,4,0
"MUD",47.6,30.8679213979265,85,0
"MYOSSCO",0.293333333333333,0.79053929753832,3,0
"PERSSP",0.226666666666667,0.768548415304245,3,0
"PHALARU",8.80666666666667,18.0092225050971,50,0
"RUMEOCC",0.00666666666666667,0.0258198889747161,0.1,0
"SCHOTAB",0.806666666666667,3.09664949505721,12,0
"SCIRMIC",1.33333333333333,5.16397779494322,20,0
"SYMPSUB",0.0666666666666667,0.258198889747161,1,0
"TYPHLAT",0.866666666666667,2.03071650503204,7,0
"VEROANA",0.00666666666666667,0.0258198889747161,0.1,0
"WOOD",3.73333333333333,9.51289851177012,35,0
