"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",0.281818181818182,0.6431456783936,2,0
"ALISTRI",0.0909090909090909,0.301511344577764,1,0
"CALLSTA",0.336363636363636,0.618502590572954,2,0
"CARELYN",10.8272727272727,13.013384717981,40,0
"ELEOPAL",2.48181818181818,4.0159228532974,10,0
"EQUIFLU",0.00909090909090909,0.0301511344577764,0.1,0
"GALITRI",0.00909090909090909,0.0301511344577764,0.1,0
"JUNCART",2.01818181818182,4.48571469931341,15,0
"JUNCBAL",4.54545454545454,15.0755672288882,50,0
"JUNCEFF",0.181818181818182,0.603022689155527,2,0
"JUNCTEN",0.454545454545454,0.934198732993827,3,0
"LILLOCC",0.0272727272727273,0.0467099366496914,0.1,0
"LITTER",7.90909090909091,15.0296676307532,47,0
"LYCOEUR",0.1,0.3,1,0
"LYTHSAL",0.2,0.397492138287036,1,0
"MUD",64.5454545454545,17.4834987137222,85,35
"MYOSSCO",0.109090909090909,0.298176274893042,1,0
"PERSSP",0.309090909090909,0.893817146238027,3,0
"PHALARU",0.1,0.3,1,0
"SCHOTAB",1.1,3.61524549650504,12,0
"SCIRMIC",2.09090909090909,6.00757098092974,20,0
"TYPHLAT",1.18181818181818,2.31595258233764,7,0
"VEROANA",0.00909090909090909,0.0301511344577764,0.1,0
"WOOD",1.45454545454545,4.50252454437811,15,0
