"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",0.845,2.42584223030184,10,0
"ALISTRI",0.005,0.0223606797749979,0.1,0
"BETUPEN",0.05,0.223606797749979,1,0
"BIDECER",0.005,0.0223606797749979,0.1,0
"CALLSTA",0.015,0.0366347548532523,0.1,0
"CALTPAL",0.505,2.23500264923898,10,0
"CARELYN",31.965,33.0261503246012,98,0
"ELEOPAL",1.795,7.81580551123643,35,0
"EQUIARV",0.02,0.0410391340834062,0.1,0
"EQUIFLU",0.16,0.487096661756922,2,0
"GLYCSP",0.01,0.0307793505625546,0.1,0
"IMPACAP",0.005,0.0223606797749979,0.1,0
"IRISPSE",0.065,0.223076574060875,1,0
"JUNCBAL",0.005,0.0223606797749979,0.1,0
"LATHPAL",0.02,0.0410391340834062,0.1,0
"LITTER",21.65,31.6830936155646,90,0
"LYCOEUR",0.2,0.523148363780597,2,0
"LYTHSAL",0.66,1.26299560360947,5,0
"MENYTRI",0.25,1.11803398874989,5,0
"MUD",33.75,22.6178201751116,70,0
"PHALARU",1.805,4.62743250398613,20,0
"POTEANS",0.815,1.87427880867057,7,0
"RUMEOCC",0.35,1.18210338847862,5,0
"SAGILAT",0.005,0.0223606797749979,0.1,0
"SALISP",0.005,0.0223606797749979,0.1,0
"SCHEARU",0.05,0.223606797749979,1,0
"SCHOTAB",0.355,0.873272731257478,3,0
"SIUMSUA",0.005,0.0223606797749979,0.1,0
"SYMPSUB",0.05,0.223606797749979,1,0
"TYPHANG",0.75,3.35410196624968,15,0
"TYPHLAT",0.25,0.550119604220181,2,0
"WOOD",3.85,9.92750034791713,40,0
