"","pcMean","pcSD","pcMax","pcMin"
"AGROCAP",8.905,14.786248056182,50,0
"ALISTRI",0.3,0.656946685331786,2,0
"ATHYFIL",0.005,0.0223606797749979,0.1,0
"BIDECER",0.21,0.892601166314084,4,0
"CALLSTA",0.015,0.0366347548532523,0.1,0
"CALTPAL",0.05,0.223606797749979,1,0
"CARELYN",7.815,14.3573665302593,60,0
"ELEOPAL",0.06,0.223371298160944,1,0
"EQUIARV",0.015,0.0366347548532523,0.1,0
"EQUIFLU",3.085,5.11306633718174,17,0
"GALITRI",0.01,0.0307793505625546,0.1,0
"GLYCSP",0.01,0.0307793505625546,0.1,0
"IMPACAP",2.47,3.8183904021404,12,0
"IRISPSE",0.75,2.73139640400098,12,0
"JUNCART",0.005,0.0223606797749979,0.1,0
"JUNCOXY",0.005,0.0223606797749979,0.1,0
"LILLAOCC",0.005,0.0223606797749979,0.1,0
"LITTER",34.1,19.6626817253288,60,7
"LYCOEUR",1.515,2.77323201147572,10,0
"LYSIAME",4,14.7434195847718,65,0
"LYTHSAL",1.155,1.72183347810286,4,0
"MENYTRI",0.05,0.223606797749979,1,0
"MIMUGUT",0.07,0.222663304943632,1,0
"MUD",28.15,20.949249452703,80,2
"MYOSSCO",0.81,2.0117810909477,8,0
"OENASAR",0.25,1.11803398874989,5,0
"PHALARU",1.97,5.68202150832366,25,0
"POTEANS",0.455,1.39301830569451,5,0
"RUMESAL",0.05,0.223606797749979,1,0
"SAGILAT",0.11,0.305906762541172,1,0
"SALIX SP",0.1,0.307793505625546,1,0
"SCHOTAB",0.55,1.31689427302111,5,0
"SCIRMIC",0.75,3.35410196624968,15,0
"SIUMSUA",0.005,0.0223606797749979,0.1,0
"SPARAME",0.005,0.0223606797749979,0.1,0
"TYPHLAT",0.85,1.34848843251679,5,0
"WOOD",2.5,5.73539334676404,20,0
