"","x"
"1","TYPHLAT"
"2","LYTHSAL"
"3","ALISTRI"
"4","GLYCSP"
"5","MYOSSCO"
"6","ELEOPAR"
"7","CRASAQU"
"8","AGROSTO"
"9","CALLSTA"
"10","EQUIFLU"
"11","TRIGSCH"
"12","CARELYN"
"13","ELEOPAL"
"14","LYSINUM"
"15","SCIRCYP"
"16","LILLOCC"
"17","CRASSAQU"
"18","PERSSP"
"19","LIMOAQU"
"20","IRISPSE"
"21","LYSITER"
"22","LOTUCOR"
"23","GALITRI"
"24","LYCOEUR"
"25","LEERORY"
"26","RUMESP"
"27","IMPAGLA"
"28","JUNCART"
"29","LYTHSLA"
"30","SCIRMIC"
"31","JUNCEFF"
"32","JUNCOXY"
"33","SALISIT"
"34","MENTPIP"
"35","POTONAT"
"36","VEROAQU"
