,Scientific,Common,Origin
1,Lythrum salicaria,purple loosestrife,Invasive
2,Iris pseudocorus,yellow-flag iris,Invasive
3,Lysimachia terrestris,Bog loosestrife,Exotic
4,Lotus corniculatus,common bird's-foot trefoil,Exotic
5,Juncus effusus,soft rush,Native
6,Lycopus europaeus,European horehound,Exotic
7,Myosotis scorpioides,European forget-me-not,Exotic
8,Galium trifidum,small bedstraw,Native
9,Mentha arvensis,field mint,Exotic
10,Potentilla anserina,silverweed,Native
11,Impatiens capensis,jewelweed,Native
12,Symphiotrichum subspicatum,Douglas' aster,Native
13,Lillaeopsis occidentalis,western grasswort,Native
14,Juncus articulatus,jointed rush,Native
15,Lysimachia nummularia,creeping jenny,Exotic
16,Phalarus arundinacea,reed canary grass,Invasive
17,Juncus oxymeris,Pointed rush,Native
18,Persicaria sp.,smartweeds,Unknown
19,Callitriche stagnalis,water starwort,Exotic
20,Scirpus microcarpus,small-flowered bulrush,Native
21,Carex utriculata,beaked sedge,Native
22,Agrostis stolonifera,bent grass,Exotic
23,Unknown Sedge,,Unknown
24,Typha x glauca,hybrid cattail,Invasive
25,Alisma triviale,water plantain,Native
